Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
6.64245022e-07,1.44767716e-12,-0.486133486
6.66790015e-07,4.12966272e-14,-0.802193046
6.69335009e-07,3.23978718e-13,1.41729736
6.71880002e-07,3.93914197e-15,2.16720343
6.74424996e-07,2.81580221e-16,2.85063434
6.76969989e-07,9.6481871e-19,2.12266707
6.79514983e-07,8.42502582e-19,-1.24402642
6.82059976e-07,8.51545434e-23,-3.11447382
6.84605027e-07,2.39338279e-25,-3.0128231
7.10055019e-07,3.94458006e-20,-2.68716145
7.12600013e-07,2.59911518e-21,-2.74340916
7.15145006e-07,1.68638153e-22,2.29145169
7.1769e-07,6.7146657e-24,2.0791235
7.20234993e-07,4.9802425e-28,2.06407833
7.22779987e-07,2.27620772e-32,1.52061975
7.55865017e-07,1.80073941e-26,1.07476068
7.5841001e-07,5.03930933e-28,-1.05743039
7.60955004e-07,1.27540994e-29,-1.82868516
7.81315009e-07,4.14498791e-21,0.493500471
7.83860003e-07,7.36488808e-23,-2.18948317
7.86404996e-07,8.36439315e-23,-1.77024925
7.8894999e-07,1.79455482e-24,-1.3272177
7.91494983e-07,1.37569748e-29,-2.50119066
8.27125007e-07,1.49130456e-26,-0.695389152
8.2967e-07,2.76723151e-29,-2.68757367
8.95840003e-07,9.33813314e-30,-0.858487189
8.98384997e-07,1.03792205e-28,-0.573139608
9.0092999e-07,5.02348404e-31,1.95771897
