Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60335003e-06,2.39595433e-14,3.08110595
1.60589502e-06,1.61281971e-13,-1.64521074
1.79931499e-06,1.75019427e-16,-2.72021341
1.82731003e-06,9.36848933e-15,-1.81246567
1.82985502e-06,9.48125923e-14,-0.897147775
1.83240002e-06,8.41108349e-17,-2.29737759
1.83494501e-06,5.60147189e-18,-0.526684761
1.83749e-06,8.23765391e-20,-0.0555991307
1.840035e-06,9.65068248e-22,3.11770511
1.84257999e-06,4.35671864e-24,0.0252504386
1.84512498e-06,6.86006796e-20,1.04948938
1.84766998e-06,6.53472028e-22,-1.04302776
1.85021497e-06,1.22540273e-24,0.649522185
1.85275997e-06,1.31812879e-27,0.0652353689
1.85530496e-06,6.03150327e-30,-3.06577134
1.86039495e-06,2.82879274e-30,-2.69114852
1.86294005e-06,1.81376032e-27,1.81249094
1.86548505e-06,1.40521209e-30,0.690494299
1.86803004e-06,1.07559065e-34,-2.45944595
1.97746499e-06,1.3365847e-23,2.70105362
1.98000998e-06,7.86288666e-24,2.42113948
1.98255498e-06,3.70405423e-25,-0.321766347
1.98509997e-06,3.9758267e-28,-2.99929762
1.98764496e-06,2.59529404e-31,0.529276311
1.99527994e-06,1.44164005e-28,0.658545911
1.99782494e-06,4.93709433e-29,0.0228587836
2.12762006e-06,5.4859569e-32,2.52544808
2.13016506e-06,1.59831436e-29,-0.686538815
2.13271005e-06,5.66171436e-34,2.38030124
2.13525504e-06,1.48916274e-34,-1.04076982
3.3695801e-06,2.84914376e-23,0.883243203
3.37212509e-06,1.4829615e-25,-2.28542089
3.37467009e-06,1.28160286e-27,0.789037287
3.37721508e-06,4.14723693e-32,-0.764854312
3.37976007e-06,1.8520934e-34,2.19366193
3.38739505e-06,2.19347893e-28,-2.76659465
3.38994005e-06,4.61165891e-35,2.42933655
3.51973495e-06,1.96220002e-28,2.48203945
3.52227994e-06,1.37859119e-34,1.66829085
4.90930506e-06,6.19961692e-31,-0.617662728
4.91184983e-06,4.11697236e-32,2.0967319
4.91439505e-06,1.35785541e-39,2.30580306
4.91693982e-06,1.37471942e-37,-0.435372144
