Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60657203e-06,1.86973036e-13,-2.01126933
1.80130803e-06,1.75019427e-16,-2.72021341
1.89056198e-06,2.99822341e-13,2.35387015
1.89867603e-06,3.33053593e-16,-1.74987042
1.90678998e-06,2.2731206e-20,2.7291007
1.91490403e-06,1.06116693e-23,-0.764104664
1.92301809e-06,4.68342097e-27,-0.883594275
1.93113192e-06,1.52730599e-30,-0.775712907
2.04472803e-06,1.0416229e-23,3.13342094
2.05284209e-06,4.11096758e-29,0.664533317
2.06095592e-06,7.1898931e-29,-0.800581872
2.19077992e-06,7.28916938e-30,0.376484513
2.19889398e-06,1.17934087e-29,2.98205018
3.36731e-06,4.55465978e-23,-1.74298036
3.37542406e-06,2.00794375e-27,-0.710797787
3.38353789e-06,6.68680999e-28,0.343101412
3.39165194e-06,1.33637059e-36,0.0617274567
3.52147595e-06,2.82645242e-28,1.69392693
4.84405791e-06,3.15261801e-31,1.03391886
4.85217197e-06,1.30327214e-37,1.69415987
