Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60349998e-06,2.39595433e-14,3.08110595
1.60499997e-06,1.61281971e-13,-1.64521074
1.79949996e-06,1.75019427e-16,-2.72021341
1.96199994e-06,3.79976507e-14,-0.84046334
1.96249994e-06,1.41731228e-14,1.25967753
1.96299993e-06,8.06795603e-13,2.73752308
1.96349993e-06,2.59691238e-14,2.49565244
1.96399992e-06,2.3349882e-16,-0.60217011
1.96449992e-06,7.06679429e-16,1.65725422
1.96499991e-06,2.84082039e-16,-1.62637091
1.96549991e-06,4.26768815e-17,0.924996555
1.9659999e-06,2.62288566e-17,0.552949131
1.96649989e-06,2.85863879e-16,-1.82953024
1.96699989e-06,1.48455481e-16,-2.87957764
1.96750011e-06,3.68820446e-17,-2.78992414
1.96800011e-06,2.33600106e-18,-1.12963188
1.9685001e-06,2.19805976e-17,-2.51831436
1.9690001e-06,6.54543469e-18,0.135641783
1.96950009e-06,7.06117158e-15,2.86939478
1.97000008e-06,1.13620222e-17,0.0146446908
1.97050008e-06,8.66729507e-17,2.53600359
1.97100007e-06,2.05273967e-15,-2.80759525
1.97150007e-06,1.03369836e-15,-2.34989953
1.97200006e-06,6.08930715e-16,-2.78491306
1.97250006e-06,1.03472685e-16,1.69867313
1.97300005e-06,2.8038671e-15,-1.60178006
1.97350005e-06,3.31791772e-17,-2.66114807
1.97400004e-06,4.57537171e-15,0.0812620521
1.97450004e-06,8.91851896e-16,1.57783854
1.97500003e-06,2.69905027e-19,-1.16177821
1.97550003e-06,1.60087904e-16,-2.50287724
1.97600002e-06,7.29906621e-17,-1.47730803
1.97650002e-06,2.84198347e-17,-1.29693031
1.97700001e-06,3.37821981e-15,2.46670008
1.97750001e-06,4.20360548e-17,-0.932490528
1.978e-06,1.1195789e-16,1.31016755
1.97849999e-06,1.48249295e-15,-0.395672441
1.97899999e-06,1.53673283e-17,1.77618492
1.97949998e-06,1.96759653e-18,0.364342958
1.97999998e-06,4.36021757e-17,-0.0934912041
1.98049997e-06,2.61524069e-18,0.673131227
1.98099997e-06,3.30994105e-17,-0.176133975
1.98149996e-06,1.04390233e-16,2.45070195
1.98199996e-06,5.05289812e-18,0.380597949
1.98249995e-06,5.59519525e-16,0.822835863
1.98299995e-06,2.03664771e-17,-1.79017627
1.98349994e-06,4.99399667e-16,2.36696529
1.98399994e-06,5.76104589e-16,-0.930612624
1.98449993e-06,1.35636749e-16,-2.76174235
1.98499993e-06,3.17548231e-16,2.26109123
1.98549992e-06,1.35349173e-17,-0.192111716
1.98599992e-06,8.64883588e-18,-0.887768269
1.98649991e-06,7.00716781e-20,-0.856058598
1.98699991e-06,5.657948e-15,1.54293513
1.9874999e-06,1.08299044e-17,-0.310748845
1.98799989e-06,1.80039932e-19,1.08921158
1.98849989e-06,9.31188429e-20,-0.273700923
1.98900011e-06,5.26143447e-20,1.5402931
1.98950011e-06,7.23625419e-20,1.45166874
1.9900001e-06,3.770721e-21,-2.48801899
1.9905001e-06,4.90350018e-20,-0.992683887
1.99100009e-06,4.6848366e-20,-0.649709523
1.99150008e-06,1.13086626e-21,3.10454822
1.99200008e-06,2.91992139e-20,0.395067483
1.99250007e-06,7.59064379e-22,-1.26739812
1.99300007e-06,1.35028818e-20,-1.53733349
1.99350006e-06,1.78769382e-19,0.914930999
1.99400006e-06,6.04399742e-20,-1.24227095
1.99450005e-06,1.17037559e-20,-0.00980300549
1.99500005e-06,2.64407038e-23,2.95733261
1.99550004e-06,1.31456957e-23,-0.299565196
1.99600004e-06,2.51402797e-25,1.348176
1.99650003e-06,1.26191618e-22,-2.70069671
