Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
6.20980018e-07,6.59079792e-14,-1.78425169
6.23525011e-07,4.75041881e-13,-0.38956514
6.26070005e-07,5.34023184e-13,2.54585743
6.28614998e-07,4.74015087e-13,0.851778328
6.31159992e-07,3.31265587e-13,-2.16897082
6.33704985e-07,1.57732104e-14,2.03578234
6.36249979e-07,3.90909534e-14,-2.48496819
6.38794972e-07,5.74693356e-14,2.07471824
6.41340023e-07,4.17165515e-13,2.81983328
6.43885016e-07,1.24760933e-15,0.531990588
6.4643001e-07,5.98701044e-18,-2.28102732
6.48975004e-07,1.9153157e-17,1.39048433
6.51519997e-07,2.00522358e-19,2.20272446
6.54064991e-07,1.86514313e-19,0.0694821253
6.56609984e-07,1.01967517e-19,-1.25137675
6.59154978e-07,1.14406976e-19,1.28682864
6.61700028e-07,6.59735927e-20,2.88017368
6.64245022e-07,5.84131167e-20,-1.19857419
6.66790015e-07,1.22004051e-20,1.82473552
6.69335009e-07,7.54858127e-21,-2.59685278
6.71880002e-07,3.88710466e-21,0.493463069
6.74424996e-07,5.75080357e-21,1.49410808
6.76969989e-07,7.37498805e-21,2.76229596
6.79514983e-07,1.80012347e-23,-0.174208015
6.82059976e-07,1.18755968e-26,2.18051267
6.84605027e-07,2.71154838e-25,1.908656
6.8715002e-07,3.40374868e-25,-0.438652813
6.89695014e-07,3.97332598e-27,2.41050935
6.92240008e-07,5.43205459e-28,1.99287736
6.94785001e-07,5.72207499e-27,-0.329760224
6.97329995e-07,4.64902656e-27,0.671063781
6.99874988e-07,1.07399899e-26,-2.31896472
7.02419982e-07,4.50324175e-27,-1.24182487
7.04964975e-07,2.62112024e-29,-1.99825847
7.07510026e-07,1.39161111e-27,2.21206498
7.10055019e-07,5.70935801e-30,-1.04688704
7.12600013e-07,1.28974668e-29,-2.0381496
7.15145006e-07,6.33332259e-33,0.194261789
7.1769e-07,1.26423949e-33,-1.07225287
7.20234993e-07,5.57971657e-38,1.55308461
7.35505012e-07,8.90603199e-23,-1.00140953
7.38050005e-07,3.37485701e-22,-2.92169261
7.40594999e-07,1.60853762e-22,-1.50386119
7.43139992e-07,6.46025191e-21,-2.17661905
7.45684986e-07,1.1468702e-23,1.70538795
7.48229979e-07,3.35591501e-22,-0.0780395046
7.50774973e-07,7.20153266e-23,-2.34156871
7.53320023e-07,8.41321342e-22,2.86397576
7.55865017e-07,6.48793186e-22,-0.441262633
7.5841001e-07,2.94318092e-21,0.0862529427
7.60955004e-07,1.42178361e-25,1.55965698
7.63499997e-07,4.15070998e-26,-2.53203893
7.66044991e-07,1.07511962e-29,-2.71787143
7.68589985e-07,1.96934799e-28,-1.42906475
7.71134978e-07,1.5490877e-26,2.27976894
7.73679972e-07,1.69876477e-27,-1.22801626
7.76225022e-07,3.64737139e-28,2.00928903
7.78770016e-07,7.73156198e-28,-0.238651186
7.81315009e-07,3.36344105e-29,-2.39257288
7.83860003e-07,6.6131457e-29,2.18369102
7.86404996e-07,2.01166975e-30,-0.550238252
7.8894999e-07,1.1757533e-29,0.391698629
7.91494983e-07,1.17509677e-28,-0.066092059
7.94039977e-07,1.95392082e-31,1.1412282
7.96585027e-07,5.9842084e-32,-1.30842268
7.99130021e-07,7.76217606e-35,-0.170956179
8.50030005e-07,4.01206524e-28,-3.06233978
8.52574999e-07,4.42093344e-30,-2.69034672
8.55119993e-07,7.7773866e-30,2.98134112
8.57664986e-07,1.98437951e-28,-0.405066013
8.6020998e-07,2.81342812e-27,-2.19974279
8.62754973e-07,4.33459423e-30,-0.788229764
8.65300024e-07,3.34962363e-30,0.68430835
8.67845017e-07,5.21255044e-33,2.23636079
8.70390011e-07,1.1527381e-30,1.85422003
8.72935004e-07,1.12488023e-29,1.04624939
8.75479998e-07,2.75215624e-31,0.524300456
8.78024991e-07,3.82215086e-39,1.32840347
