Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60335003e-06,2.39595433e-14,3.08110595
1.60589502e-06,1.61281971e-13,-1.64521074
1.79931499e-06,1.75019427e-16,-2.72021341
1.88584499e-06,1.45152391e-12,0.135654286
1.88838999e-06,6.10129002e-16,2.75020027
1.89093498e-06,1.24500105e-16,-1.27781832
1.89347998e-06,1.16276668e-14,-0.113338731
1.89602497e-06,8.62919982e-15,-0.587291956
1.89856996e-06,4.65260163e-16,-1.13564229
1.90111496e-06,1.78479142e-14,2.5588634
1.90365995e-06,3.82301637e-17,1.0517323
1.90620494e-06,5.21924592e-15,-1.28124917
1.90874994e-06,7.12673511e-16,1.58710837
1.91129493e-06,9.78231659e-15,-3.11310554
1.91383992e-06,7.86388265e-20,2.93596077
1.91638492e-06,7.88913169e-20,1.84170496
1.91892991e-06,1.74578665e-20,-1.63034189
1.9214749e-06,2.05402905e-18,-3.13278604
1.9240199e-06,2.59543139e-22,-2.20004487
1.92656489e-06,3.31322751e-26,-2.44802523
1.92911011e-06,2.00047547e-29,-2.60476613
1.93165511e-06,6.17607636e-29,-1.63189757
1.9342001e-06,3.80875667e-30,-2.39695215
1.93674509e-06,1.15107483e-33,1.30013573
1.93929009e-06,9.03807197e-37,-0.797669768
2.03600007e-06,8.93044841e-26,-2.47289705
2.03854506e-06,1.03846892e-24,-1.11797392
2.04109006e-06,2.70538842e-24,3.04567862
2.04363505e-06,4.4882892e-25,-2.65541101
2.04618004e-06,1.74458845e-23,3.01415515
2.04872504e-06,3.18589302e-23,0.296444744
2.05127003e-06,6.47805476e-25,2.37931275
2.05381502e-06,8.56066332e-24,-1.03950274
2.05636002e-06,6.39502813e-25,-1.09791875
2.05890501e-06,6.48633464e-24,-1.25357652
2.06145e-06,1.6348281e-26,-2.2746799
2.063995e-06,1.76264825e-29,0.991542459
2.06653999e-06,1.50096484e-28,1.28187454
2.06908499e-06,6.16888057e-31,-1.55147469
2.07162998e-06,1.83141982e-30,2.39305377
2.07417497e-06,1.28299105e-30,0.694800138
2.07671997e-06,1.80755014e-35,-0.754239619
2.07926496e-06,4.79329848e-36,-2.03905153
2.18869991e-06,3.04626554e-28,1.51485384
2.1912449e-06,3.73021621e-32,1.33615291
2.1937899e-06,1.34301487e-31,-2.66324282
2.19633489e-06,8.24489481e-31,1.36798906
2.19888011e-06,1.84194905e-30,1.01424646
2.2014251e-06,1.87264091e-31,0.110757582
2.2039701e-06,2.45400848e-33,-3.09692574
2.20651509e-06,1.19587473e-35,-0.868440092
2.20906009e-06,1.43713177e-31,2.99500585
2.21160508e-06,8.47592847e-33,1.40806723
2.21415007e-06,5.02759558e-33,-2.89325476
2.21669507e-06,4.71917974e-38,-2.860116
2.21924006e-06,5.60519386e-45,-2.27367496
3.36449011e-06,9.36302376e-21,1.38632023
3.36703511e-06,3.59262087e-24,0.212769464
3.3695801e-06,2.258222e-27,1.29191518
3.37212509e-06,1.81369544e-30,-0.322779983
3.37467009e-06,8.54366898e-30,0.879138172
3.37721508e-06,3.01707037e-27,1.71993518
3.37976007e-06,5.11588238e-27,-1.71485245
3.38230507e-06,1.43273579e-34,0.775146008
3.51718995e-06,5.51728778e-27,2.27288222
3.51973495e-06,3.46530797e-37,-0.916250169
3.52227994e-06,5.32233651e-35,1.4180007
4.81514007e-06,1.09799982e-29,-0.366801083
4.81768484e-06,1.69906629e-32,-2.02829742
4.82023006e-06,1.7875653e-32,2.58711624
4.82277483e-06,1.62729937e-31,0.819305956
4.82532005e-06,2.32384098e-34,-1.22069919
4.82786481e-06,8.57218749e-33,-0.507081389
4.83041003e-06,3.49752954e-37,-1.8434459
4.8329548e-06,2.64702696e-32,-0.155327842
4.83550002e-06,1.71891554e-32,-1.24303031
4.83804479e-06,3.48932549e-34,1.02972889
4.84059001e-06,1.47597292e-35,-1.57270288
4.84313478e-06,1.61561305e-39,-1.10676074
