Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60279205e-06,2.39595433e-14,3.08110595
1.60482602e-06,1.61281971e-13,-1.64521074
1.80008999e-06,1.75019427e-16,-2.72021341
1.82043004e-06,8.81856369e-14,-0.860622883
1.82246401e-06,2.81084238e-13,-1.24652588
1.82449799e-06,1.0200246e-15,1.27320468
1.82653196e-06,8.72925619e-17,1.51375699
1.82856604e-06,5.60704217e-15,-1.72654343
1.83060001e-06,7.39465004e-16,2.14229918
1.83263398e-06,3.05210603e-14,-0.740499556
1.83466796e-06,1.83931849e-14,2.30549574
1.83670204e-06,4.93943425e-17,3.05689359
1.83873601e-06,2.55849776e-17,1.18085277
1.84076998e-06,2.92427452e-14,2.32332492
1.84280395e-06,2.7393098e-14,-0.897308946
1.84483804e-06,2.61265178e-14,-0.72158891
1.84687201e-06,3.80934942e-15,2.33279276
1.84890598e-06,9.22848104e-18,0.414473057
1.85093995e-06,1.13437241e-17,2.23046851
1.85297404e-06,1.79984205e-16,2.07246184
1.85500801e-06,1.87609412e-14,2.84929705
1.85704198e-06,5.43640463e-16,1.49456835
1.85907595e-06,1.65671191e-17,1.52351809
1.86111004e-06,1.49727698e-16,-1.67277133
1.86314401e-06,1.66698185e-17,-0.104461581
1.86517798e-06,1.54879127e-19,-2.92884636
1.86721195e-06,9.96665577e-19,0.00645166263
1.86924603e-06,8.12657544e-19,-0.516243756
1.87128001e-06,8.08092774e-20,-0.430005223
1.87331398e-06,1.54190473e-19,-2.51196289
1.87534795e-06,1.90575631e-25,1.45084476
1.87738203e-06,7.84542089e-25,-0.877047062
1.879416e-06,1.13567532e-23,1.19763577
1.88144998e-06,3.00820493e-27,1.86454105
1.88348395e-06,1.58682428e-36,-0.343535483
1.97094596e-06,1.06666266e-26,0.27654025
1.97298004e-06,3.48034269e-24,-0.607622564
1.9750139e-06,3.43515915e-25,0.36756295
1.97704799e-06,2.49137583e-25,0.270442545
1.97908207e-06,1.95223603e-27,0.122887559
1.98111593e-06,2.63866518e-24,-2.3403697
1.98315001e-06,1.20045658e-24,0.240226075
1.9851841e-06,7.57856404e-25,0.618742406
1.98721796e-06,3.35814656e-24,-1.2064476
1.98925204e-06,2.93160434e-28,-2.05462098
1.9912859e-06,6.89940706e-25,-0.965536237
1.99331998e-06,2.49592277e-24,-0.127777532
1.99535407e-06,1.68148526e-23,-1.62754154
1.99738793e-06,1.85347812e-25,-1.56053746
1.99942201e-06,6.44284965e-27,-1.22913992
2.0014561e-06,1.37066905e-28,2.29442382
2.00348995e-06,7.55024498e-30,-2.6961658
2.00552404e-06,1.31300948e-27,-1.91493773
2.0075579e-06,4.3332903e-26,-2.52571702
2.00959198e-06,1.63940152e-28,1.70105088
2.01162607e-06,4.57108067e-29,1.09195721
2.01365992e-06,1.14986129e-31,2.22844458
2.01569401e-06,1.97117109e-34,0.253467023
2.02179604e-06,2.48478244e-41,-0.229601458
2.02382989e-06,5.99534282e-38,0.865218103
2.12349596e-06,2.20584581e-30,-0.701760352
2.12553005e-06,9.68532224e-34,-0.819280028
2.1275639e-06,7.10957006e-35,-2.84642887
2.12959799e-06,2.99237269e-35,-2.7834239
2.13163207e-06,8.84612591e-35,-1.01395583
2.13366593e-06,7.19284591e-35,1.50599134
2.13570002e-06,7.44489429e-33,2.97331071
2.1377341e-06,2.92143959e-37,1.23364472
2.13976796e-06,3.77172777e-37,-1.65951931
2.14180204e-06,8.03812601e-37,1.30773044
2.1438359e-06,6.92993652e-32,-1.23405468
2.14586998e-06,7.66888023e-36,-2.9625721
2.14790407e-06,1.36938491e-36,0.578009903
