Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
6.36250022e-08,2.01281978e-06,-1.21711791
2.49409993e-07,2.91075987e-24,1.60904658
3.33395008e-07,1.56077846e-07,-1.41153431
3.46120004e-07,2.1311311e-13,1.63101459
3.51209991e-07,8.79958519e-12,-2.11079836
3.58845e-07,3.81295422e-17,-2.7396276
3.66480009e-07,1.18946452e-13,-2.67816257
6.89695014e-07,2.59287204e-23,2.77489948
1.11725501e-06,1.94158737e-22,-1.78665733
1.96219503e-06,5.63108316e-14,0.640712798
1.96474002e-06,2.82673624e-13,2.83937931
1.96728502e-06,1.01027409e-15,0.405069381
1.96983001e-06,2.22873056e-16,-0.623941779
1.972375e-06,6.01069866e-17,-2.7402637
1.97492e-06,5.30107546e-18,2.37579274
1.97746499e-06,7.00430228e-19,2.94971275
1.98000998e-06,3.44969025e-22,-0.446473002
1.98255498e-06,3.71810289e-22,-1.1413784
2.02073011e-06,1.36059415e-17,-1.86143422
2.0232751e-06,8.30231337e-18,2.31106424
2.02582009e-06,2.01311269e-19,1.16648269
2.02836509e-06,1.77203235e-20,0.446079999
2.03091008e-06,2.64395661e-21,1.65958214
2.03345508e-06,1.05541803e-23,-0.924296439
2.07926496e-06,2.95354351e-23,2.07775116
2.08180995e-06,1.8138639e-21,-2.28974199
2.08435495e-06,3.72664321e-24,0.511488438
2.08689994e-06,4.56060596e-27,-0.89836663
2.17597494e-06,7.24185797e-23,-1.82568896
2.17851994e-06,2.05872226e-19,-0.383758247
2.18106493e-06,1.51413852e-23,0.198227242
2.18360992e-06,1.30764376e-23,-0.331596673
2.18615492e-06,2.13584997e-24,2.1634779
2.18869991e-06,1.12460873e-25,-2.08103681
2.1912449e-06,4.60749704e-33,-0.54666543
2.23451002e-06,1.69901611e-27,1.43051207
2.23705501e-06,3.50811054e-25,2.71070075
2.23960001e-06,3.68887383e-27,2.4863553
2.242145e-06,1.32072139e-32,0.0141313681
2.39230008e-06,8.65548787e-29,1.60959685
2.39484507e-06,2.79449941e-33,0.598508656
2.39739006e-06,5.77478991e-35,-0.657864571
