Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
6.36250022e-08,2.01281978e-06,-1.21711791
2.49409993e-07,2.91075987e-24,1.60904658
3.33395008e-07,1.56077846e-07,-1.41153431
3.46120004e-07,2.1311311e-13,1.63101459
3.51209991e-07,8.79958519e-12,-2.11079836
3.58845e-07,3.81295422e-17,-2.7396276
3.66480009e-07,1.18946452e-13,-2.67816257
6.89695014e-07,2.59287204e-23,2.77489948
1.11725501e-06,1.94158737e-22,-1.78665733
1.94438007e-06,2.30483688e-12,-1.24475133
1.94692507e-06,1.8093708e-14,-2.40627551
1.94947006e-06,3.26516293e-15,1.818977
1.95201505e-06,4.02146637e-15,1.84306228
1.95456005e-06,1.14947765e-13,-0.140873969
1.95710504e-06,9.92050324e-15,-2.41557598
1.95965004e-06,4.09663656e-14,1.1206969
1.96219503e-06,3.41063745e-16,3.06073856
1.96474002e-06,1.51504283e-15,-0.872797608
1.96728502e-06,1.81396934e-15,1.38562226
1.96983001e-06,1.43616723e-15,1.78593814
1.972375e-06,1.77492962e-16,-0.255509526
1.97492e-06,2.1729095e-16,-0.883386731
1.97746499e-06,8.02464921e-19,2.71108937
1.98000998e-06,3.69084548e-17,1.39361334
1.98255498e-06,1.96349682e-18,0.847304404
1.98509997e-06,4.43883625e-19,1.86531043
1.98764496e-06,1.23093803e-15,0.394873142
1.99018996e-06,8.51921171e-18,-2.21766043
1.99273495e-06,6.73766402e-17,2.15605617
1.99527994e-06,4.90362878e-20,0.873483658
1.99782494e-06,8.0553676e-19,2.67940664
2.00036993e-06,6.09587237e-19,-0.736729264
2.00291493e-06,6.16321356e-18,-1.23567331
2.00545992e-06,1.12185088e-17,-0.555066466
2.00800491e-06,9.36827522e-21,2.89647651
2.01054991e-06,5.54297565e-21,2.65614414
2.0130949e-06,7.05539671e-19,0.97560662
2.01563989e-06,1.96876353e-20,-1.54229033
2.01818489e-06,4.45490733e-19,1.18737912
2.02073011e-06,2.19605257e-20,-0.821279585
2.0232751e-06,8.55550516e-20,-1.81081307
2.02582009e-06,1.12256384e-22,-0.733381808
2.02836509e-06,1.63282184e-16,-2.72810817
2.03091008e-06,1.66010455e-18,0.943743527
2.03345508e-06,4.254076e-23,-0.743644834
2.03600007e-06,1.85362512e-23,2.58589649
2.03854506e-06,8.82189157e-19,0.11562714
2.04109006e-06,9.97109393e-23,2.88994884
2.04363505e-06,1.13046618e-26,-0.976088643
2.04618004e-06,1.50296039e-22,2.09249139
2.04872504e-06,7.83151097e-21,2.58382702
2.05127003e-06,4.65568006e-25,3.12563133
2.05381502e-06,1.02273919e-27,-0.810005724
2.05636002e-06,1.35825165e-30,-0.180132449
2.05890501e-06,2.44271168e-30,1.4487654
2.06145e-06,9.13710007e-27,0.564789951
2.063995e-06,1.1193631e-23,-2.54392576
2.06653999e-06,3.02805275e-26,0.55517894
2.06908499e-06,2.95534971e-27,-1.91701841
2.07162998e-06,1.08303848e-25,2.63811612
2.07417497e-06,1.04868457e-24,-0.248484969
2.07671997e-06,2.43894329e-26,-2.43334389
2.07926496e-06,3.98319379e-24,0.978718936
2.08180995e-06,1.88294454e-25,-1.36552608
2.08435495e-06,5.59516903e-25,-1.45482552
2.08689994e-06,6.15775463e-27,2.42243385
2.08944493e-06,3.702919e-29,2.29688191
2.09198993e-06,2.56229088e-36,2.23305464
2.15815999e-06,3.11211487e-20,-0.648230851
2.16070498e-06,4.60973962e-22,2.93006682
2.16324997e-06,2.91624913e-22,1.795156
2.16579497e-06,7.13081185e-22,-2.17448711
2.16833996e-06,1.32784207e-23,1.4588486
2.17088495e-06,2.39626156e-22,1.09942067
2.17342995e-06,5.24975352e-23,-0.520777404
2.17597494e-06,6.96335841e-26,-0.136907816
2.17851994e-06,6.00080685e-23,2.69933319
2.18106493e-06,1.38788464e-23,-1.22034585
2.18360992e-06,1.90231096e-26,1.92548168
2.18615492e-06,2.53540912e-26,2.80661702
2.18869991e-06,1.97019669e-29,1.30217016
2.1912449e-06,9.25120064e-28,0.150870472
2.1937899e-06,7.34859409e-30,-1.13913524
2.19633489e-06,1.24853681e-28,-2.82076764
2.19888011e-06,3.29603943e-32,0.597800314
2.2014251e-06,5.61547046e-24,-0.562725306
2.2039701e-06,2.84122824e-25,-1.81390011
2.20651509e-06,1.21311198e-27,-1.27542973
2.20906009e-06,7.81476023e-28,-2.66160822
2.21160508e-06,4.67153952e-28,0.00656906748
2.21415007e-06,1.73112001e-27,1.2848165
2.21669507e-06,3.15540048e-26,2.38031363
2.21924006e-06,3.00792293e-25,-2.52660155
2.22178505e-06,1.17653953e-28,-2.44887304
2.22433005e-06,1.38964348e-27,2.85595226
2.22687504e-06,1.07538351e-26,-0.827953219
2.22942003e-06,1.81799915e-28,-0.674028814
2.23196503e-06,1.22114444e-30,2.29421425
2.23451002e-06,5.59749298e-31,2.30528545
2.23705501e-06,7.14707524e-31,-1.63623393
2.23960001e-06,1.70888802e-29,1.39838064
2.242145e-06,4.6211316e-32,1.16999972
2.24468999e-06,3.64469407e-33,-0.709083676
2.24723499e-06,1.3481345e-32,-2.5674355
2.3719399e-06,2.18424434e-28,2.78006268
2.37448489e-06,3.57746748e-32,1.51315343
2.37702989e-06,1.76043691e-31,-2.57077789
2.37957511e-06,1.34498852e-29,-1.93530858
2.3821201e-06,2.10310374e-31,0.670963466
2.38466509e-06,4.92283718e-30,-0.200533792
2.38721009e-06,1.53540391e-33,-2.95523715
2.38975508e-06,1.84533242e-35,-0.291709304
2.39230008e-06,1.93318587e-33,0.967566609
2.39484507e-06,3.13762516e-34,-0.785545111
2.39739006e-06,1.06644282e-33,-2.9807663
2.39993506e-06,9.47445581e-38,-1.75200224
2.40248005e-06,4.20389539e-45,-1.31333351
