Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60279205e-06,2.39595433e-14,3.08110595
1.60482602e-06,1.61281971e-13,-1.64521074
1.80008999e-06,1.75019427e-16,-2.72021341
1.82043004e-06,8.41347459e-14,-0.80455035
1.82246401e-06,4.12202011e-13,-1.01830864
1.82449799e-06,8.71678641e-16,1.40308523
1.82653196e-06,2.17296641e-16,1.28143454
1.82856604e-06,7.71118805e-15,-1.52411175
1.83060001e-06,1.11094226e-15,2.38302612
1.83263398e-06,1.72847407e-14,-0.744173229
1.83466796e-06,2.91559413e-14,2.17603946
1.83670204e-06,2.05279896e-15,2.69277835
1.83873601e-06,1.31818907e-17,1.23175383
1.84076998e-06,6.94740447e-16,2.46533179
1.84280395e-06,2.60030793e-15,-1.06541848
1.84483804e-06,8.03716275e-15,-0.451669991
1.84687201e-06,2.25189317e-17,-2.98016644
1.84890598e-06,3.14000249e-20,2.35918236
1.85093995e-06,5.03751494e-19,2.98995304
1.85297404e-06,2.38057524e-20,-0.726811528
1.85500801e-06,1.06877612e-21,-2.31263685
1.85704198e-06,3.02155222e-18,1.67497647
1.85907595e-06,2.17148262e-24,-0.201781288
1.86111004e-06,1.36372831e-21,-2.89311171
1.86314401e-06,1.86452235e-31,1.71840382
1.86517798e-06,2.35127458e-29,-2.5095408
1.86721195e-06,6.86321988e-30,-0.868151426
1.86924603e-06,6.08877094e-29,-1.03197134
1.87128001e-06,2.14442236e-28,-1.00299323
1.87331398e-06,5.25512615e-29,-2.4350884
1.87534795e-06,6.23619498e-35,3.13296723
1.87738203e-06,1.34531774e-30,-0.763755441
1.88348395e-06,2.80357037e-33,0.420666486
1.88551803e-06,1.33849016e-35,-2.77116013
1.89772197e-06,5.0651054e-40,2.36753511
1.89975594e-06,1.37106965e-38,1.79105055
1.97094596e-06,6.66547344e-26,0.231367052
1.97298004e-06,1.44395482e-23,-1.0401293
1.9750139e-06,3.00003408e-25,1.00653303
1.97704799e-06,1.14049625e-24,0.18634519
1.97908207e-06,4.87477139e-25,-1.18673003
1.98111593e-06,1.64557552e-23,-2.64582372
1.98315001e-06,1.88382114e-23,-0.797055542
1.9851841e-06,1.16501532e-24,0.551964939
1.98721796e-06,1.60020861e-23,-1.73138058
1.98925204e-06,4.32294081e-27,2.6241715
1.9912859e-06,7.5754579e-25,0.881170213
1.99331998e-06,5.51335139e-23,-0.457072467
1.99535407e-06,2.44438757e-25,-2.55533981
1.99738793e-06,3.16328367e-25,-1.95558465
1.99942201e-06,1.71654675e-30,-2.00471139
2.0014561e-06,2.18129222e-31,1.08069348
2.00348995e-06,1.0421206e-30,-0.0142293675
2.00552404e-06,3.13415551e-30,-1.0547241
2.0075579e-06,4.2207161e-30,2.25997448
2.00959198e-06,1.05990216e-30,-1.82656038
2.02179604e-06,3.36952937e-36,0.867358208
2.02382989e-06,9.43594253e-38,1.00547624
2.12349596e-06,3.31942404e-28,2.5709312
2.12553005e-06,6.26288285e-32,-0.983215332
2.1275639e-06,1.40828866e-31,0.363784373
2.12959799e-06,3.90020099e-33,-1.2198168
2.13163207e-06,5.51298438e-33,2.8000319
2.13366593e-06,1.67165378e-30,-0.801184654
2.13570002e-06,3.46788842e-31,1.85810745
2.1377341e-06,2.96853907e-33,1.15236247
2.13976796e-06,7.99270554e-35,-0.0179952532
2.14180204e-06,1.17945144e-36,3.00677633
2.1438359e-06,1.45102905e-31,-0.190365732
2.14586998e-06,3.59902024e-33,2.06936789
2.14790407e-06,5.47314284e-33,0.921090305
2.14993793e-06,4.09189286e-37,-1.92191386
