Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
2.03400008e-09,2.01084404e-05,0.294352919
6.30540029e-08,2.01281978e-06,-1.21711791
2.50182012e-07,2.91075987e-24,1.60904658
3.33575997e-07,7.10493424e-08,-0.46833384
3.49847994e-07,8.79958519e-12,-2.11079836
3.55949993e-07,2.42784243e-12,-0.685655296
3.66119991e-07,1.18946452e-13,-2.67816257
6.89526019e-07,1.3459712e-23,2.2281692
1.116666e-06,1.12445511e-21,-2.2679832
1.81432802e-06,2.69205556e-13,-1.06404316
1.81636199e-06,3.50648633e-12,-1.69820762
1.81839596e-06,2.97919911e-15,-1.71011496
1.82043004e-06,1.1274971e-15,1.63013637
1.82246401e-06,8.93956286e-15,-1.02097976
1.82449799e-06,3.85619373e-14,2.03457499
1.82653196e-06,2.27102747e-14,-0.834029436
1.82856604e-06,2.88581012e-15,-1.64617288
1.83060001e-06,3.40801652e-15,1.15631151
1.83263398e-06,1.75869631e-15,-1.90056658
1.83466796e-06,7.28681862e-15,-0.617895484
1.83670204e-06,1.26629001e-15,-2.67251015
1.83873601e-06,5.49871001e-18,-2.24845672
1.84076998e-06,6.86847794e-16,0.424604326
1.84280395e-06,8.32450373e-19,-0.385235548
1.84483804e-06,8.67010848e-18,-2.10359359
1.84687201e-06,1.04823247e-17,-1.05293798
1.84890598e-06,3.14919524e-19,2.053859
1.85093995e-06,1.11093632e-17,0.143088281
1.85297404e-06,4.62932357e-21,-0.343646556
1.85500801e-06,4.89657601e-22,2.61172223
1.85704198e-06,3.53664181e-16,0.981091321
1.85907595e-06,1.04143929e-15,-2.40875316
1.86111004e-06,3.04241599e-18,-1.31602526
1.86314401e-06,6.99029346e-19,2.44681597
1.86517798e-06,1.88810158e-18,3.0638032
1.86721195e-06,1.32218003e-20,2.20928144
1.86924603e-06,6.58325494e-19,-1.57779944
1.87128001e-06,8.0914001e-19,1.13686049
1.87331398e-06,2.7025614e-19,-0.225118577
1.87534795e-06,4.82086354e-21,-0.0752584189
1.87738203e-06,2.06552553e-21,2.59445524
1.879416e-06,7.12835818e-21,-2.47582245
1.88144998e-06,1.85587922e-20,-2.69328332
1.88348395e-06,3.76943827e-19,1.18400168
1.88551803e-06,7.33073437e-20,-0.477275461
1.887552e-06,3.88264621e-20,-0.4518255
1.88958597e-06,2.77124246e-19,-0.99553746
1.89161995e-06,7.78719513e-19,-1.9541831
1.89365403e-06,5.86069225e-20,-0.668884575
1.895688e-06,1.17389183e-20,-2.18280721
1.89772197e-06,1.93594608e-16,-0.465432376
1.89975594e-06,4.78250188e-18,1.1137352
1.90179003e-06,1.44296604e-19,-0.0127079142
1.903824e-06,1.06808556e-21,0.987243056
1.90585797e-06,2.14087762e-22,1.86711621
1.90789206e-06,1.4220482e-19,2.48721194
1.90992591e-06,4.23386293e-22,-3.12663436
1.91196e-06,9.25562611e-24,-2.94856358
1.91399408e-06,4.57228827e-27,2.19429064
1.91602794e-06,6.66880416e-23,1.87636113
1.91806203e-06,3.92389486e-19,0.286704361
1.92009611e-06,7.68126867e-26,-0.764476299
1.92212997e-06,3.8120461e-29,-0.12467476
1.92416405e-06,3.6387611e-31,-1.46327603
1.93229994e-06,1.79696674e-30,-1.28834581
1.93433402e-06,1.00129822e-26,0.298920006
1.93636811e-06,9.16375879e-27,0.890948951
1.93840197e-06,3.22025039e-26,1.18128538
1.94043605e-06,2.31748697e-25,2.13170338
1.94246991e-06,3.22760566e-25,2.21496558
1.94450399e-06,2.37866022e-27,-0.803762615
1.94653808e-06,3.33527038e-25,0.984559655
1.94857193e-06,2.34849634e-23,2.84842801
1.95060602e-06,7.41627762e-28,0.524761915
1.9526401e-06,2.42433769e-25,0.0458814055
1.95467396e-06,3.45774794e-25,1.27077949
1.95670805e-06,1.89628969e-27,1.40135276
1.9587419e-06,2.26989031e-25,2.56580853
1.96077599e-06,3.03979367e-36,3.08925796
1.96281007e-06,2.54975132e-13,1.32068992
1.96484393e-06,8.87372099e-13,2.87970901
1.96687802e-06,6.03131572e-14,1.53869188
1.9689121e-06,1.28474917e-14,0.0464581549
1.97094596e-06,1.2919914e-16,-2.20070791
1.97298004e-06,2.82340566e-17,-2.20574927
1.9750139e-06,1.24826246e-19,-0.526612818
1.97704799e-06,1.20462023e-18,2.73349166
1.97908207e-06,2.61568936e-16,-0.0723660141
1.98111593e-06,2.35949547e-17,0.758762598
1.98315001e-06,9.25770549e-17,2.62150311
1.9851841e-06,5.81506564e-18,-2.65558052
1.98721796e-06,4.95097033e-20,-0.403936595
1.98925204e-06,7.66116589e-20,-1.40550721
1.9912859e-06,1.21601326e-21,-3.03523493
1.99331998e-06,2.61247255e-22,0.647065938
1.99535407e-06,6.32753205e-19,0.143815413
1.99738793e-06,2.04126069e-18,-2.51027179
1.99942201e-06,1.46767302e-20,-0.134213597
2.0014561e-06,2.22693682e-23,-0.403023392
2.00348995e-06,6.77239328e-20,1.17337728
2.00552404e-06,4.87397193e-22,-0.259660006
2.0075579e-06,4.55701217e-27,0.361526281
2.00959198e-06,6.77396393e-31,2.56096888
2.01162607e-06,7.15846545e-21,-2.26513386
2.01365992e-06,1.22786852e-20,1.57867432
2.01569401e-06,7.70866278e-24,1.83912909
2.01772809e-06,1.67250766e-20,-1.15860534
2.01976195e-06,3.28585918e-19,0.781904817
2.02179604e-06,2.88744267e-17,-0.556834519
2.02382989e-06,2.59324464e-17,2.36273122
2.02586398e-06,2.67083023e-19,2.64181828
2.02789806e-06,5.95626587e-20,1.37316453
2.02993192e-06,6.73942294e-21,0.500683427
2.03196601e-06,9.1454379e-22,-2.64391899
2.03400009e-06,4.07425264e-23,-1.97065449
2.03603395e-06,1.05969824e-21,2.43152189
2.03806803e-06,4.3810159e-22,2.70245457
2.04010189e-06,1.03872044e-21,2.24439311
2.04213597e-06,2.21393346e-22,-1.68115342
2.04417006e-06,2.1043166e-23,0.879523993
2.04620392e-06,2.70097868e-24,2.5607698
2.048238e-06,5.45836589e-23,-0.668008506
2.05027209e-06,8.16580215e-24,-2.62068987
2.05230594e-06,6.68032929e-26,-2.048944
2.05434003e-06,1.88022955e-27,2.96269369
2.05637389e-06,1.62371117e-26,-1.77056861
2.05840797e-06,1.84232271e-26,1.24032915
2.06044206e-06,2.32722971e-28,1.79824376
2.06247591e-06,5.52723425e-30,1.22133231
2.06451e-06,2.70335226e-30,1.40608156
2.06654408e-06,1.29976319e-30,-2.40601897
2.06857794e-06,2.37938353e-29,-1.2616725
2.07061203e-06,2.49878523e-23,-3.09498572
2.07264611e-06,1.48758243e-26,2.94626451
2.07467997e-06,1.51752408e-27,2.04867339
2.07671405e-06,1.02568741e-27,-1.15010238
2.07874791e-06,7.14488967e-22,-0.865804791
2.080782e-06,6.9624505e-22,-2.3244195
2.08281608e-06,2.11402081e-24,0.118071482
2.08484994e-06,8.04021431e-25,-0.833511233
2.08688402e-06,1.81964581e-16,-2.78105378
2.08891811e-06,1.94671279e-16,2.56989646
2.09095197e-06,6.19084668e-17,0.881114841
2.09298605e-06,3.90503034e-18,-0.921961546
2.09501991e-06,7.75696827e-20,-0.442681164
2.09705399e-06,8.16300344e-20,-2.50712514
2.09908808e-06,8.16754118e-22,-2.31439304
2.10112194e-06,4.38919885e-22,0.0454973839
2.10315602e-06,5.10046836e-21,0.204785392
2.10519011e-06,6.02516836e-17,-2.30834603
2.10722396e-06,2.76057157e-18,-2.36881328
2.10925805e-06,1.6485834e-20,1.19077587
2.11129191e-06,6.93756444e-20,1.68040621
2.11332599e-06,3.46971767e-25,2.92158842
2.11536008e-06,1.00735669e-27,-2.93615103
2.11739393e-06,4.67833821e-33,-1.34085059
2.11942802e-06,7.24245417e-38,0.252669394
2.1214621e-06,4.05405616e-22,2.89883852
2.12349596e-06,7.99458042e-20,2.91588259
2.12553005e-06,1.55343954e-20,-0.664089501
2.1275639e-06,1.12035313e-21,0.80029422
2.12959799e-06,4.68104046e-25,2.1321106
2.13163207e-06,9.89585392e-26,-0.446646303
2.13366593e-06,7.49903502e-26,-0.827227652
2.13570002e-06,4.01117816e-23,0.452398241
2.1377341e-06,1.73310737e-23,1.63085639
2.13976796e-06,6.8986746e-24,2.77706194
2.14180204e-06,1.71836323e-26,1.18279755
2.1438359e-06,4.30978193e-26,-1.43833089
2.14586998e-06,1.57950489e-36,1.10376632
2.14790407e-06,1.41223331e-33,1.6572113
2.17637989e-06,2.51914513e-22,0.0247481391
2.17841398e-06,3.07089458e-19,0.370693862
2.18044806e-06,5.46334581e-23,-1.82740986
2.18248192e-06,6.43245031e-24,0.711075544
2.18451601e-06,3.91109861e-24,0.139616385
2.18655009e-06,1.89551324e-24,2.25145984
2.18858395e-06,2.17689556e-27,-1.34311509
2.19061803e-06,6.72566274e-29,-2.3756783
2.19265189e-06,1.5824955e-26,-0.452792227
2.19468598e-06,8.28912754e-25,1.15554917
2.19672006e-06,3.529218e-25,0.150987595
2.19875392e-06,2.05980471e-28,-0.175871551
2.200788e-06,2.60962529e-30,1.38079774
2.23536608e-06,5.90534918e-27,1.7683953
2.23739994e-06,1.33712564e-25,2.81376958
2.23943402e-06,7.91533434e-30,-2.09469271
2.24146811e-06,1.32644167e-29,-1.83006036
2.24350197e-06,9.1190833e-33,2.59061956
2.24553605e-06,1.18288774e-31,-1.70408595
2.24756991e-06,6.25924523e-34,1.18787968
2.24960399e-06,7.06264136e-31,-1.2509706
2.25163808e-06,1.74161255e-31,0.605744421
2.25367194e-06,7.54024985e-29,3.02695179
2.25570602e-06,2.76863731e-35,0.35184145
2.25774011e-06,9.94010054e-34,1.41832256
2.25977396e-06,5.64608451e-33,-2.4068253
2.26180805e-06,5.19568283e-33,1.20601249
2.26384191e-06,2.48962701e-35,2.41225624
2.26587599e-06,1.83376531e-33,-0.2253699
2.26791008e-06,2.55669707e-40,2.11164427
2.26994393e-06,5.17644361e-38,-1.04305494
2.30248793e-06,1.06590439e-33,-1.15484941
2.30452201e-06,1.98141787e-33,-2.04576468
2.39198403e-06,9.30819471e-30,2.03525567
2.39401811e-06,4.81861842e-31,-2.10841942
2.39605197e-06,5.53955903e-35,0.311825991
2.39808605e-06,5.77478991e-35,-0.657864571
2.51605798e-06,6.28867578e-39,0.560165346
