n_train_a,n_guard_a,n_train_d,n_guard_d,n_train_r,n_guard_r,pfa,tar_thresh,precision,recall,f1,tp,fp,fn
1,1,1,1,5,2,0.01,-9999.0,0.008941605839416058,0.735,0.017668269230769227,147,16293,53
1,1,1,1,5,2,0.01,-40.0,0.04020787746170678,0.735,0.07624481327800829,147,3509,53
1,1,1,1,5,2,0.01,-35.0,0.1040339702760085,0.735,0.18226906385616864,147,1266,53
1,1,1,1,5,2,0.01,-30.0,0.1497844827586207,0.695,0.24645390070921985,139,789,61
1,1,1,1,5,2,0.01,-25.0,0.17156105100463678,0.555,0.26210153482880755,111,536,89
1,1,1,1,5,2,0.01,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,1,1,5,2,0.01,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,1,5,2,0.01,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,1,5,2,0.01,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,2,0.01,0.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,2,0.003,-9999.0,0.01222314125539932,0.665,0.024005053695514842,133,10748,67
1,1,1,1,5,2,0.003,-40.0,0.04024205748865355,0.665,0.07589158345221113,133,3172,67
1,1,1,1,5,2,0.003,-35.0,0.10589171974522293,0.665,0.1826923076923077,133,1123,67
1,1,1,1,5,2,0.003,-30.0,0.15421686746987953,0.64,0.24854368932038837,128,702,72
1,1,1,1,5,2,0.003,-25.0,0.16352201257861634,0.52,0.2488038277511962,104,532,96
1,1,1,1,5,2,0.003,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,1,1,5,2,0.003,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,1,5,2,0.003,-10.0,0.0,0.0,0.0,0,56,200
1,1,1,1,5,2,0.003,-5.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,2,0.003,0.0,1.0,0.0,0.0,0,0,200
1,1,1,1,5,2,0.001,-9999.0,0.016252518468770988,0.605,0.03165467625899281,121,7324,79
1,1,1,1,5,2,0.001,-40.0,0.04138166894664843,0.605,0.07746478873239437,121,2803,79
1,1,1,1,5,2,0.001,-35.0,0.10765124555160142,0.605,0.18277945619335345,121,1003,79
1,1,1,1,5,2,0.001,-30.0,0.1532567049808429,0.6,0.24415055951169887,120,663,80
1,1,1,1,5,2,0.001,-25.0,0.1610305958132045,0.5,0.24360535931790497,100,521,100
1,1,1,1,5,2,0.001,-20.0,0.1532258064516129,0.38,0.21839080459770116,76,420,124
1,1,1,1,5,2,0.001,-15.0,0.06597222222222222,0.095,0.0778688524590164,19,269,181
1,1,1,1,5,2,0.001,-10.0,0.0,0.0,0.0,0,56,200
