n_train_a,n_guard_a,n_train_d,n_guard_d,n_train_r,n_guard_r,pfa,precision,recall,f1,tp,fp,fn
1,1,5,1,5,2,0.01,0.012372175230400202,0.98,0.02443585587831941,196,15646,4
1,1,5,1,5,3,0.01,0.011898290753155766,0.985,0.023512561914423823,197,16360,3
1,1,5,2,5,2,0.01,0.012076852698993596,0.99,0.023862609219644473,198,16197,2
1,1,5,2,5,3,0.01,0.011670185315505512,0.995,0.02306978900996986,199,16853,1
1,1,6,1,5,2,0.01,0.012448132780082987,0.99,0.024587110393642118,198,15708,2
1,1,6,1,5,3,0.01,0.011976408281174772,0.995,0.02366793529971456,199,16417,1
1,1,6,2,5,2,0.01,0.012153621779290228,1.0,0.024015369836695485,200,16256,0
1,1,6,2,5,3,0.01,0.011717834544176237,1.0,0.023164234422052354,200,16868,0
1,1,7,1,5,2,0.01,0.012531328320802004,1.0,0.024752475247524754,200,15760,0
1,1,7,1,5,3,0.01,0.012040214315814821,1.0,0.023793944441139726,200,16411,0
1,1,7,2,5,2,0.01,0.012139605462822459,1.0,0.023988005997001502,200,16275,0
1,1,7,2,5,3,0.01,0.011710973181871413,1.0,0.023150827642088204,200,16878,0
1,1,8,1,5,2,0.01,0.012488292226038089,1.0,0.024668516805427074,200,15815,0
1,1,8,1,5,3,0.01,0.012040939193257074,1.0,0.023795359904818562,200,16410,0
1,1,8,2,5,2,0.01,0.012139605462822459,1.0,0.023988005997001502,200,16275,0
1,1,8,2,5,3,0.01,0.011693854879260949,1.0,0.02311737848927932,200,16903,0
1,1,9,1,5,2,0.01,0.012479720454261824,1.0,0.024651793417971152,200,15826,0
1,1,9,1,5,3,0.01,0.012004081387671808,1.0,0.023723385327086174,200,16461,0
1,1,9,2,5,2,0.01,0.0121153380179307,1.0,0.023940627244433806,200,16308,0
1,1,9,2,5,3,0.01,0.011697958706205767,1.0,0.023125397467768975,200,16897,0
2,1,5,1,5,2,0.01,0.012400856099710436,0.985,0.024493348253139372,197,15689,3
2,1,5,1,5,3,0.01,0.011862467634130186,0.985,0.023442613196882248,197,16410,3
2,1,5,2,5,2,0.01,0.01212047012732615,0.99,0.023947750362844706,198,16138,2
2,1,5,2,5,3,0.01,0.01177093755517627,1.0,0.02326798906404514,200,16791,0
2,1,6,1,5,2,0.01,0.012512512512512513,1.0,0.02471576866040534,200,15784,0
2,1,6,1,5,3,0.01,0.012005522540368569,1.0,0.023726199655970105,200,16459,0
2,1,6,2,5,2,0.01,0.012198841110094541,1.0,0.024103645676408554,200,16195,0
2,1,6,2,5,3,0.01,0.011755716217010522,1.0,0.02323825015976297,200,16813,0
2,1,7,1,5,2,0.01,0.0124750499001996,1.0,0.02464268112370626,200,15832,0
2,1,7,1,5,3,0.01,0.011960291831120679,1.0,0.02363786786431864,200,16522,0
2,1,7,2,5,2,0.01,0.012163230554035152,1.0,0.02403412846241663,200,16243,0
2,1,7,2,5,3,0.01,0.011708230886313079,1.0,0.02314546927438954,200,16882,0
2,1,8,1,5,2,0.01,0.012413108242303872,1.0,0.024521824423737126,200,15912,0
2,1,8,1,5,3,0.01,0.011918951132300357,1.0,0.02355712603062426,200,16580,0
2,1,8,2,5,2,0.01,0.012141816415735794,1.0,0.02399232245681382,200,16272,0
2,1,8,2,5,3,0.01,0.011689070718877849,1.0,0.02310803004043905,200,16910,0
2,1,9,1,5,2,0.01,0.012355593995181319,1.0,0.024409592970037225,200,15987,0
2,1,9,1,5,3,0.01,0.011911852293031567,1.0,0.023543260741612716,200,16590,0
2,1,9,2,5,2,0.01,0.012107270415884738,1.0,0.02392487588970632,200,16319,0
2,1,9,2,5,3,0.01,0.011669973159061734,1.0,0.023070711731456917,200,16938,0
3,1,5,1,5,2,0.01,0.012298900552829369,0.99,0.02429596907785754,198,15901,2
3,1,5,1,5,3,0.01,0.011838191552647233,0.995,0.023398001175778955,199,16611,1
3,1,5,2,5,2,0.01,0.012072920439454304,1.0,0.023857807467493736,200,16366,0
3,1,5,2,5,3,0.01,0.011633317822242903,1.0,0.022999080036798524,200,16992,0
3,1,6,1,5,2,0.01,0.01230087951288517,1.0,0.02430281305061061,200,16059,0
3,1,6,1,5,3,0.01,0.011834319526627219,1.0,0.023391812865497075,200,16700,0
3,1,6,2,5,2,0.01,0.012025012025012025,1.0,0.02376425855513308,200,16432,0
3,1,6,2,5,3,0.01,0.011598909702487966,1.0,0.022931835120105486,200,17043,0
3,1,7,1,5,2,0.01,0.01223540927444023,1.0,0.024175027196905594,200,16146,0
3,1,7,1,5,3,0.01,0.011768167107972934,1.0,0.023262576330328584,200,16795,0
3,1,7,2,5,2,0.01,0.011966732483695328,1.0,0.02365044640217584,200,16513,0
3,1,7,2,5,3,0.01,0.011588156903644476,1.0,0.022910819634572428,200,17059,0
3,1,8,1,5,2,0.01,0.012175077616119802,1.0,0.024057256269922413,200,16227,0
3,1,8,1,5,3,0.01,0.011738466956215518,1.0,0.023204548091425917,200,16838,0
3,1,8,2,5,2,0.01,0.011961007116799234,1.0,0.023639264818864133,200,16521,0
3,1,8,2,5,3,0.01,0.011528041962072742,1.0,0.022793321556783864,200,17149,0
3,1,9,1,5,2,0.01,0.012114604155309225,1.0,0.023939194446106885,200,16309,0
3,1,9,1,5,3,0.01,0.011699327288680901,1.0,0.02312807169702226,200,16895,0
3,1,9,2,5,2,0.01,0.011921793037672867,1.0,0.0235626767200754,200,16576,0
3,1,9,2,5,3,0.01,0.011526048870447211,1.0,0.0227894257064722,200,17152,0
