n_train_a,n_guard_a,n_train_d,n_guard_d,n_train_r,n_guard_r,pfa,precision,recall,f1,tp,fp,fn
1,1,1,1,5,2,0.01,0.010372594513443429,0.76,0.020465867779722636,152,14502,48
1,1,1,1,5,2,0.003,0.014586882453151618,0.685,0.028565471226021683,137,9255,63
1,1,1,1,5,2,0.001,0.019179791049430843,0.615,0.03719945561772267,123,6290,77
1,1,1,1,5,2,0.0003,0.024301854615220636,0.57,0.04661623389899816,114,4577,86
1,1,1,1,5,2,0.0001,0.027462836986646512,0.545,0.05229071719836892,109,3860,91
1,1,1,1,5,2,3e-05,0.029829545454545456,0.525,0.05645161290322582,105,3415,95
1,1,1,1,5,2,1e-05,0.030860349127182045,0.495,0.058098591549295774,99,3109,101
1,1,1,1,5,3,0.01,0.009791036929951374,0.745,0.019328058113892852,149,15069,51
1,1,1,1,5,3,0.003,0.011983223487118035,0.6,0.023497160759741533,120,9894,80
1,1,1,1,5,3,0.001,0.016395821242019732,0.565,0.031866892272983637,113,6779,87
1,1,1,1,5,3,0.0003,0.021643286573146292,0.54,0.04161849710982659,108,4882,92
1,1,1,1,5,3,0.0001,0.025784480661639502,0.53,0.04917652516817443,106,4005,94
1,1,1,1,5,3,3e-05,0.02863497358910203,0.515,0.054253357914142736,103,3494,97
1,1,1,1,5,3,1e-05,0.030609121518212427,0.5,0.057686760888376126,100,3167,100
1,1,1,2,5,2,0.01,0.011187228961096097,0.89,0.022096704115200795,178,15733,22
1,1,1,2,5,2,0.003,0.014960930055269678,0.785,0.029362259210772398,157,10337,43
1,1,1,2,5,2,0.001,0.019117847876553327,0.7,0.03721919447029111,140,7183,60
1,1,1,2,5,2,0.0003,0.02409860191317145,0.655,0.046486870120652946,131,5305,69
1,1,1,2,5,2,0.0001,0.026481441285001087,0.61,0.05075930934054504,122,4485,78
1,1,1,2,5,2,3e-05,0.028193184604069624,0.575,0.053750876372984334,115,3964,85
1,1,1,2,5,2,1e-05,0.029582673005810883,0.56,0.05619668840943302,112,3674,88
1,1,1,2,5,3,0.01,0.010921293471629042,0.895,0.0215792646172393,179,16211,21
1,1,1,2,5,3,0.003,0.013729563725047422,0.76,0.026971874722739778,152,10919,48
1,1,1,2,5,3,0.001,0.016709511568123392,0.65,0.03258145363408521,130,7650,70
1,1,1,2,5,3,0.0003,0.02046216263891339,0.58,0.03952973249275856,116,5553,84
1,1,1,2,5,3,0.0001,0.023733162283515075,0.555,0.04551978675415214,111,4566,89
1,1,1,2,5,3,3e-05,0.026559454191033137,0.545,0.05065055762081784,109,3995,91
1,1,1,2,5,3,1e-05,0.028209860268916424,0.535,0.0535937891309792,107,3686,93
1,1,2,1,5,2,0.01,0.011891391953491445,0.9,0.023472647845080526,180,14957,20
1,1,2,1,5,2,0.003,0.017286813534310108,0.82,0.03385981211933519,164,9323,36
1,1,2,1,5,2,0.001,0.021781291958824407,0.73,0.042300449080110096,146,6557,54
1,1,2,1,5,2,0.0003,0.025981524249422634,0.675,0.050037064492216454,135,5061,65
1,1,2,1,5,2,0.0001,0.02717510409818102,0.62,0.05206802435439849,124,4439,76
1,1,2,1,5,2,3e-05,0.02822677925211098,0.585,0.05385500575373994,117,4028,83
1,1,2,1,5,2,1e-05,0.029250457038391225,0.56,0.05559692231322909,112,3717,88
1,1,2,1,5,3,0.01,0.011376564277588168,0.9,0.022469104980651602,180,15642,20
1,1,2,1,5,3,0.003,0.015667841754798278,0.8,0.03073376872839032,160,10052,40
1,1,2,1,5,3,0.001,0.019443278780248985,0.695,0.037828275955912365,139,7010,61
1,1,2,1,5,3,0.0003,0.022305529522024366,0.595,0.04299909665763324,119,5216,81
1,1,2,1,5,3,0.0001,0.024691358024691357,0.57,0.04733236454224621,114,4503,86
1,1,2,1,5,3,3e-05,0.02622083233100794,0.545,0.05003442735827404,109,4048,91
1,1,2,1,5,3,1e-05,0.02763429752066116,0.535,0.052554027504911595,107,3765,93
1,1,2,2,5,2,0.01,0.01179464895400087,0.95,0.023300018394751366,190,15919,10
1,1,2,2,5,2,0.003,0.01690568904929243,0.89,0.03318109795880324,178,10351,22
1,1,2,2,5,2,0.001,0.021853607161664033,0.83,0.04258594150846588,166,7430,34
1,1,2,2,5,2,0.0003,0.025029595805851512,0.74,0.04842139702273842,148,5765,52
1,1,2,2,5,2,0.0001,0.026505554472812318,0.68,0.05102232226599138,136,4995,64
1,1,2,2,5,2,3e-05,0.028065630397236616,0.65,0.05380794701986755,130,4502,70
1,1,2,2,5,2,1e-05,0.028637951105937136,0.615,0.054727474972191326,123,4172,77
1,1,2,2,5,3,0.01,0.011532224157607063,0.96,0.02279067006944032,192,16457,8
1,1,2,2,5,3,0.003,0.01606245513280689,0.895,0.03155853314527503,179,10965,21
1,1,2,2,5,3,0.001,0.02031857519127054,0.81,0.03964272604918635,162,7811,38
1,1,2,2,5,3,0.0003,0.023099606815203146,0.705,0.04473350253807107,141,5963,59
1,1,2,2,5,3,0.0001,0.024522108515157365,0.635,0.04722067298754415,127,5052,73
1,1,2,2,5,3,3e-05,0.024978279756733276,0.575,0.04787676935886761,115,4489,85
1,1,2,2,5,3,1e-05,0.02624794937895477,0.56,0.05014551152899037,112,4155,88
1,1,3,1,5,2,0.01,0.012407108239095315,0.96,0.024497607655502393,192,15283,8
1,1,3,1,5,2,0.003,0.018119589289309443,0.9,0.035523978685612786,180,9754,20
1,1,3,1,5,2,0.001,0.02334954829742877,0.84,0.04543610547667343,168,7027,32
1,1,3,1,5,2,0.0003,0.025994147013255295,0.755,0.05025794641371276,151,5658,49
1,1,3,1,5,2,0.0001,0.02706386292834891,0.695,0.052098950524737626,139,4997,61
1,1,3,1,5,2,3e-05,0.028223220012828735,0.66,0.054131638302234976,132,4545,68
1,1,3,1,5,2,1e-05,0.028644028644028645,0.62,0.05475822477368073,124,4205,76
1,1,3,1,5,3,0.01,0.01187034872993419,0.965,0.023452214593839237,193,16066,7
1,1,3,1,5,3,0.003,0.017114220877458397,0.905,0.03359317000742391,181,10395,19
1,1,3,1,5,3,0.001,0.021900664841611264,0.84,0.04268834963791133,168,7503,32
1,1,3,1,5,3,0.0003,0.024426970051865483,0.73,0.04727213857859803,146,5831,54
