n_train_a,n_guard_a,n_train_d,n_guard_d,n_train_r,n_guard_r,pfa,ap
1,1,5,1,5,2,0.01,0.13861718833739803
1,1,5,1,5,3,0.01,0.13932950941477645
1,1,5,2,5,2,0.01,0.1399904543446755
1,1,5,2,5,3,0.01,0.13984100959709067
1,1,6,1,5,2,0.01,0.13999759855121932
1,1,6,1,5,3,0.01,0.1398670123783689
1,1,6,2,5,2,0.01,0.13995847038058962
1,1,6,2,5,3,0.01,0.13994614252648477
1,1,7,1,5,2,0.01,0.13998107316436806
1,1,7,1,5,3,0.01,0.13995068063127342
1,1,7,2,5,2,0.01,0.13995151023263921
1,1,7,2,5,3,0.01,0.13994167526388476
1,1,8,1,5,2,0.01,0.13994950355927793
1,1,8,1,5,3,0.01,0.13994370672558074
1,1,8,2,5,2,0.01,0.13993945851143222
1,1,8,2,5,3,0.01,0.13993591950399087
1,1,9,1,5,2,0.01,0.13994139052851517
1,1,9,1,5,3,0.01,0.13993658770905243
1,1,9,2,5,2,0.01,0.13993601002627915
1,1,9,2,5,3,0.01,0.13993401137735714
2,1,5,1,5,2,0.01,0.13962319547433627
2,1,5,1,5,3,0.01,0.13988537770425724
2,1,5,2,5,2,0.01,0.13998882233049584
2,1,5,2,5,3,0.01,0.13983605317240996
2,1,6,1,5,2,0.01,0.1400091180748394
2,1,6,1,5,3,0.01,0.13997394596925006
2,1,6,2,5,2,0.01,0.13995590942612232
2,1,6,2,5,3,0.01,0.13994682541649686
2,1,7,1,5,2,0.01,0.13996937190135994
2,1,7,1,5,3,0.01,0.13994967859396662
2,1,7,2,5,2,0.01,0.139944976995271
2,1,7,2,5,3,0.01,0.13994235141763192
2,1,8,1,5,2,0.01,0.13994645022819027
2,1,8,1,5,3,0.01,0.13994254723417945
2,1,8,2,5,2,0.01,0.13994061037578337
2,1,8,2,5,3,0.01,0.13993534283514067
2,1,9,1,5,2,0.01,0.1399417816416285
2,1,9,1,5,3,0.01,0.13993601002627915
2,1,9,2,5,2,0.01,0.13993581780340317
2,1,9,2,5,3,0.01,0.1399338201630818
3,1,5,1,5,2,0.01,0.13959485498342705
3,1,5,1,5,3,0.01,0.1398865757074396
3,1,5,2,5,2,0.01,0.1399899489103309
3,1,5,2,5,3,0.01,0.13995502192312895
3,1,6,1,5,2,0.01,0.13999907723109298
3,1,6,1,5,3,0.01,0.1399642758911798
3,1,6,2,5,2,0.01,0.1399534511029337
3,1,6,2,5,3,0.01,0.139944976995271
3,1,7,1,5,2,0.01,0.13995800507896977
3,1,7,1,5,3,0.01,0.13994625195958194
3,1,7,2,5,2,0.01,0.13994399268495863
3,1,7,2,5,3,0.01,0.13993992378918887
3,1,8,1,5,2,0.01,0.1399446910358931
3,1,8,1,5,3,0.01,0.13994050606787345
3,1,8,2,5,2,0.01,0.13993954854492327
3,1,8,2,5,3,0.01,0.13993467661958436
3,1,9,1,5,2,0.01,0.13994002706833805
3,1,9,1,5,3,0.01,0.13993467661958436
3,1,9,2,5,2,0.01,0.13993410247389398
3,1,9,2,5,3,0.01,0.1399336291161346
