n_train_a,n_guard_a,n_train_d,n_guard_d,n_train_r,n_guard_r,pfa,ap
1,1,1,1,5,2,0.01,0.09205885363897957
1,1,1,1,5,2,0.003,0.08055579648423696
1,1,1,1,5,2,0.001,0.07093520402118719
1,1,1,1,5,2,0.0003,0.06596384944785394
1,1,1,1,5,2,0.0001,0.05735743185607251
1,1,1,1,5,2,3e-05,0.05194948964534175
1,1,1,1,5,2,1e-05,0.04853585618812555
1,1,1,1,5,3,0.01,0.09225077888321444
1,1,1,1,5,3,0.003,0.065106474956562
1,1,1,1,5,3,0.001,0.06183183830699837
1,1,1,1,5,3,0.0003,0.05600907437741012
1,1,1,1,5,3,0.0001,0.05506142371674793
1,1,1,1,5,3,3e-05,0.051025392543891
1,1,1,1,5,3,1e-05,0.04906402985187777
1,1,1,2,5,2,0.01,0.11257165893577616
1,1,1,2,5,2,0.003,0.09465178504165371
1,1,1,2,5,2,0.001,0.08057231316151224
1,1,1,2,5,2,0.0003,0.07705088621627702
1,1,1,2,5,2,0.0001,0.06993159613781107
1,1,1,2,5,2,3e-05,0.06676830277114847
1,1,1,2,5,2,1e-05,0.061424702963689376
1,1,1,2,5,3,0.01,0.11718920681851752
1,1,1,2,5,3,0.003,0.09508099044153417
1,1,1,2,5,3,0.001,0.07203450492499071
1,1,1,2,5,3,0.0003,0.06415705763185209
1,1,1,2,5,3,0.0001,0.05998595585004767
1,1,1,2,5,3,3e-05,0.05668490243552458
1,1,1,2,5,3,1e-05,0.055013160155366184
1,1,2,1,5,2,0.01,0.11503656965034628
1,1,2,1,5,2,0.003,0.10248446622259379
1,1,2,1,5,2,0.001,0.08402974527191753
1,1,2,1,5,2,0.0003,0.07859767216493113
1,1,2,1,5,2,0.0001,0.07259989007293258
1,1,2,1,5,2,3e-05,0.06844171286181716
1,1,2,1,5,2,1e-05,0.06339604794808171
1,1,2,1,5,3,0.01,0.121487149405647
1,1,2,1,5,3,0.003,0.10358010132181068
1,1,2,1,5,3,0.001,0.07581600679664505
1,1,2,1,5,3,0.0003,0.06525663495265813
1,1,2,1,5,3,0.0001,0.06273341356779913
1,1,2,1,5,3,3e-05,0.05669526647985319
1,1,2,1,5,3,1e-05,0.05500588058520857
1,1,2,2,5,2,0.01,0.1307166529109853
1,1,2,2,5,2,0.003,0.11266675155979068
1,1,2,2,5,2,0.001,0.10336881569456692
1,1,2,2,5,2,0.0003,0.08605188365940568
1,1,2,2,5,2,0.0001,0.0802286928747571
1,1,2,2,5,2,3e-05,0.07560456867161361
1,1,2,2,5,2,1e-05,0.0709104893849931
1,1,2,2,5,3,0.01,0.13282240328317874
1,1,2,2,5,3,0.003,0.11992205790450172
1,1,2,2,5,3,0.001,0.10342074284200191
1,1,2,2,5,3,0.0003,0.08107225076197327
1,1,2,2,5,3,0.0001,0.06941730709730694
1,1,2,2,5,3,3e-05,0.0634559502880827
1,1,2,2,5,3,1e-05,0.06090395300291092
1,1,3,1,5,2,0.01,0.13344635919707712
1,1,3,1,5,2,0.003,0.11492829249030448
1,1,3,1,5,2,0.001,0.10546551448896715
1,1,3,1,5,2,0.0003,0.09112743300765541
1,1,3,1,5,2,0.0001,0.08190136468621854
1,1,3,1,5,2,3e-05,0.07758465176362514
1,1,3,1,5,2,1e-05,0.0734034796590704
1,1,3,1,5,3,0.01,0.13372298722856568
1,1,3,1,5,3,0.003,0.12153437769207422
1,1,3,1,5,3,0.001,0.10690247493646426
1,1,3,1,5,3,0.0003,0.08951649398572822
1,1,3,1,5,3,0.0001,0.07479564699944315
1,1,3,1,5,3,3e-05,0.06439159150401813
1,1,3,1,5,3,1e-05,0.06273245308773384
1,1,3,2,5,2,0.01,0.13424121282441245
1,1,3,2,5,2,0.003,0.12986119536636342
1,1,3,2,5,2,0.001,0.11358792013035378
1,1,3,2,5,2,0.0003,0.10378376248092501
1,1,3,2,5,2,0.0001,0.0921656268708615
1,1,3,2,5,2,3e-05,0.08205972803226727
1,1,3,2,5,2,1e-05,0.07975691127140067
1,1,3,2,5,3,0.01,0.13643409474941004
1,1,3,2,5,3,0.003,0.1321658306781553
1,1,3,2,5,3,0.001,0.12064693622459735
1,1,3,2,5,3,0.0003,0.10636508744179711
1,1,3,2,5,3,0.0001,0.09333103181702636
1,1,3,2,5,3,3e-05,0.0747774868947476
1,1,3,2,5,3,1e-05,0.06776588837572267
1,1,5,1,5,2,0.01,0.13861718833739803
1,1,5,1,5,2,0.003,0.13423217319564495
1,1,5,1,5,2,0.001,0.13106720347975614
1,1,5,1,5,2,0.0003,0.1158150229738851
1,1,5,1,5,2,0.0001,0.10845049698002443
1,1,5,1,5,2,3e-05,0.0990181511524348
1,1,5,1,5,2,1e-05,0.08928163977928104
1,1,5,1,5,3,0.01,0.13932950941477645
1,1,5,1,5,3,0.003,0.1360194036695023
1,1,5,1,5,3,0.001,0.13230506470435954
1,1,5,1,5,3,0.0003,0.12158518659981436
1,1,5,1,5,3,0.0001,0.10883532369889416
1,1,5,1,5,3,3e-05,0.10323001904698338
1,1,5,1,5,3,1e-05,0.0869660220550195
1,1,5,2,5,2,0.01,0.1399904543446755
1,1,5,2,5,2,0.003,0.135896055056742
1,1,5,2,5,2,0.001,0.13331760147053506
1,1,5,2,5,2,0.0003,0.12395862290726481
1,1,5,2,5,2,0.0001,0.11368124438125446
1,1,5,2,5,2,3e-05,0.10805490001553938
1,1,5,2,5,2,1e-05,0.10032987931466414
1,1,5,2,5,3,0.01,0.13984100959709067
1,1,5,2,5,3,0.003,0.1379212117708602
1,1,5,2,5,3,0.001,0.13427709234841267
1,1,5,2,5,3,0.0003,0.13053890527075213
1,1,5,2,5,3,0.0001,0.12064993349329373
1,1,5,2,5,3,3e-05,0.10985274735897153
1,1,5,2,5,3,1e-05,0.10360206755197018
2,1,1,1,5,2,0.01,0.09437115354107854
2,1,1,1,5,2,0.003,0.07983503089326106
2,1,1,1,5,2,0.001,0.07103119778037581
2,1,1,1,5,2,0.0003,0.06427093919111843
2,1,1,1,5,2,0.0001,0.05537997571655029
2,1,1,1,5,2,3e-05,0.051295400724649096
2,1,1,1,5,2,1e-05,0.046916876430416844
2,1,1,1,5,3,0.01,0.09626258313291135
2,1,1,1,5,3,0.003,0.06681887915386614
2,1,1,1,5,3,0.001,0.0635517383254439
2,1,1,1,5,3,0.0003,0.05594580378672131
2,1,1,1,5,3,0.0001,0.05410653496063424
2,1,1,1,5,3,3e-05,0.05110134256980557
2,1,1,1,5,3,1e-05,0.050267981697278245
2,1,1,2,5,2,0.01,0.11351608981388196
2,1,1,2,5,2,0.003,0.09962819711729058
2,1,1,2,5,2,0.001,0.08172746560472688
2,1,1,2,5,2,0.0003,0.07843183740547897
2,1,1,2,5,2,0.0001,0.06925514120767655
2,1,1,2,5,2,3e-05,0.0659745672291647
2,1,1,2,5,2,1e-05,0.058990231191689745
2,1,1,2,5,3,0.01,0.12157454088072583
2,1,1,2,5,3,0.003,0.09792728523803401
2,1,1,2,5,3,0.001,0.07379265466385206
2,1,1,2,5,3,0.0003,0.06426470064879512
2,1,1,2,5,3,0.0001,0.06091375135958545
2,1,1,2,5,3,3e-05,0.056691007850806586
2,1,1,2,5,3,1e-05,0.055081532426814905
2,1,2,1,5,2,0.01,0.11797026753265508
2,1,2,1,5,2,0.003,0.10373155397912905
2,1,2,1,5,2,0.001,0.08438135789523576
2,1,2,1,5,2,0.0003,0.07948929153435393
2,1,2,1,5,2,0.0001,0.07110781305134097
2,1,2,1,5,2,3e-05,0.0659384554956089
2,1,2,1,5,2,1e-05,0.05977387326888862
2,1,2,1,5,3,0.01,0.12475944771675383
2,1,2,1,5,3,0.003,0.10351820064395985
2,1,2,1,5,3,0.001,0.07833568885825212
2,1,2,1,5,3,0.0003,0.06515509906648348
2,1,2,1,5,3,0.0001,0.06263622116650801
2,1,2,1,5,3,3e-05,0.057528134867128496
2,1,2,1,5,3,1e-05,0.05506065720244282
2,1,2,2,5,2,0.01,0.1324022725955789
2,1,2,2,5,2,0.003,0.11360899212528007
2,1,2,2,5,2,0.001,0.10452539334336548
2,1,2,2,5,2,0.0003,0.08892128735699743
2,1,2,2,5,2,0.0001,0.08153262432797369
2,1,2,2,5,2,3e-05,0.07579330210340779
2,1,2,2,5,2,1e-05,0.07117703674532556
2,1,2,2,5,3,0.01,0.13360547679683454
2,1,2,2,5,3,0.003,0.12155384478995818
2,1,2,2,5,3,0.001,0.10615218712961508
2,1,2,2,5,3,0.0003,0.08371667523975687
2,1,2,2,5,3,0.0001,0.07128855217934697
2,1,2,2,5,3,3e-05,0.06433723496377504
2,1,2,2,5,3,1e-05,0.06183215776704441
2,1,3,1,5,2,0.01,0.1334221688299314
2,1,3,1,5,2,0.003,0.1181380580594023
2,1,3,1,5,2,0.001,0.10486210682205452
2,1,3,1,5,2,0.0003,0.09054852496347109
2,1,3,1,5,2,0.0001,0.08283644017952378
2,1,3,1,5,2,3e-05,0.0776237829343379
2,1,3,1,5,2,1e-05,0.07113456741611496
2,1,3,1,5,3,0.01,0.13369210505565884
2,1,3,1,5,3,0.003,0.12409765803210741
2,1,3,1,5,3,0.001,0.10795378933763601
2,1,3,1,5,3,0.0003,0.09164825033660598
2,1,3,1,5,3,0.0001,0.07412307257028364
2,1,3,1,5,3,3e-05,0.06438916062658613
2,1,3,1,5,3,1e-05,0.06265088298800951
2,1,3,2,5,2,0.01,0.13660825347662822
2,1,3,2,5,2,0.003,0.13058897129398064
2,1,3,2,5,2,0.001,0.11582616927103113
2,1,3,2,5,2,0.0003,0.10469620661905737
2,1,3,2,5,2,0.0001,0.09454794814987069
2,1,3,2,5,2,3e-05,0.08247988377373834
2,1,3,2,5,2,1e-05,0.08006983549424859
2,1,3,2,5,3,0.01,0.13643515228578607
2,1,3,2,5,3,0.003,0.13300051704005184
2,1,3,2,5,3,0.001,0.12229597577846782
2,1,3,2,5,3,0.0003,0.10895487108274185
2,1,3,2,5,3,0.0001,0.09636224444571993
2,1,3,2,5,3,3e-05,0.07485540199597276
2,1,3,2,5,3,1e-05,0.06785247082914617
2,1,5,1,5,2,0.01,0.13962319547433627
2,1,5,1,5,2,0.003,0.1341913429354422
