gamma,alpha_pos,best_val_loss,AP_cy,AP_ve,mAP
1.0,200.0,0.0001,0.7591,0.7055,0.7323
1.0,500.0,0.0002,0.6291,0.5386,0.5838
1.0,1000.0,0.0001,0.7633,0.641,0.7022
2.0,200.0,0.0001,0.708,0.7818,0.7449
2.0,500.0,0.0001,0.7802,0.6696,0.7249
2.0,1000.0,0.0001,0.7816,0.6485,0.715
3.0,200.0,0.0001,0.6935,0.7696,0.7316
3.0,500.0,0.0001,0.7662,0.6715,0.7188
3.0,1000.0,0.0002,0.7369,0.5969,0.6669
4.0,200.0,0.0,0.7011,0.842,0.7716
4.0,500.0,0.0001,0.7803,0.7364,0.7583
4.0,1000.0,0.0002,0.7066,0.4346,0.5706
5.0,200.0,0.0,0.758,0.7783,0.7681
5.0,500.0,0.0,0.7612,0.8359,0.7986
5.0,1000.0,0.0001,0.8128,0.6843,0.7485
