sample_id,file,source_index_cyclist,source_index_vehicle,cyclist_true_range,cyclist_true_velocity,cyclist_true_angle_deg,cyclist_true_d_idx,cyclist_true_r_idx,vehicle_true_range,vehicle_true_velocity,vehicle_true_angle_deg,vehicle_true_d_idx,vehicle_true_r_idx,valid_cyclist,valid_vehicle,valid_all
0,./learn_dataset_fixed_angle\sample_00000.npz,1,262,300.7590563889972,5.883114614216255,2.838631703841283,1,168,274.4170002022469,9.795311507737962,1.8728701420114746,1,99,1,1,1
1,./learn_dataset_fixed_angle\sample_00001.npz,2,294,300.66100512038474,5.883037606728456,2.840779672661058,1,168,271.28326524133405,9.790504392658418,1.9377660960124932,1,91,1,1,1
2,./learn_dataset_fixed_angle\sample_00002.npz,3,62,300.5629551358583,5.8829605238634635,2.8429290811670236,1,168,294.03518496941825,9.821953792027891,1.4995876964494144,1,151,1,1,1
3,./learn_dataset_fixed_angle\sample_00003.npz,4,254,300.4649064366753,5.882883365523861,2.8450799308010404,1,168,275.2006722375511,9.796487697794698,1.8568847184170068,1,101,1,1,1
4,./learn_dataset_fixed_angle\sample_00004.npz,5,167,300.3668590240941,5.882806131612074,2.8472322230068934,1,167,283.72899041162503,9.808655773816104,1.688926948432679,1,124,1,1,1
5,./learn_dataset_fixed_angle\sample_00005.npz,6,27,300.2688128993752,5.882728822030373,2.8493859592302835,1,167,297.4735954668918,9.82608219533664,1.4394741729548552,1,160,1,1,1
6,./learn_dataset_fixed_angle\sample_00006.npz,7,128,300.17076806378066,5.882651436680872,2.8515411409188363,1,167,287.5553685814264,9.813762177077562,1.6169694612700891,1,134,1,1,1
7,./learn_dataset_fixed_angle\sample_00007.npz,8,285,300.072724518574,5.882573975465528,2.85369776952211,1,167,272.16447233244827,9.791873190357883,1.919358013789844,1,93,1,1,1
8,./learn_dataset_fixed_angle\sample_00008.npz,9,20,299.97468226502053,5.882496438286141,2.8558558464915866,1,166,298.16144955376103,9.826890781437847,1.4276225045657245,1,162,1,1,1
9,./learn_dataset_fixed_angle\sample_00009.npz,10,255,299.876641304387,5.882418825044356,2.858015373280687,1,166,275.10270809281394,9.796341223550453,1.8588777523814874,1,101,1,1,1
10,./learn_dataset_fixed_angle\sample_00010.npz,11,192,299.77860163794213,5.8823411356416555,2.8601763513447684,1,166,281.2772475690133,9.805272285037224,1.7361149429394236,1,117,1,1,1
11,./learn_dataset_fixed_angle\sample_00011.npz,12,291,299.68056326695597,5.88226336997937,2.862338782141123,1,166,271.5769872430283,9.790962139293926,1.9316163488689024,1,92,1,1,1
12,./learn_dataset_fixed_angle\sample_00012.npz,13,215,299.58252619270036,5.882185527958665,2.8645026671289946,1,165,279.0224005344374,9.802080387672824,1.7802832965388355,1,111,1,1,1
13,./learn_dataset_fixed_angle\sample_00013.npz,14,47,299.4844904164488,5.882107609480556,2.866668007769566,1,165,295.5086123956458,9.823740758233058,1.4736486242631228,1,155,1,1,1
14,./learn_dataset_fixed_angle\sample_00014.npz,15,297,299.3864559394763,5.882029614445893,2.8688348055259776,1,165,270.98955699436095,9.790045156814683,1.943929624193039,1,90,1,1,1
15,./learn_dataset_fixed_angle\sample_00015.npz,16,194,299.28842276305977,5.881951542755367,2.8710030618633158,1,165,281.08114486745643,9.804997774929333,1.7399266529907844,1,117,1,1,1
16,./learn_dataset_fixed_angle\sample_00016.npz,17,78,299.19039088847757,5.881873394309515,2.8731727782486263,1,164,292.4638268230791,9.820017850403655,1.5275523652621288,1,147,1,1,1
17,./learn_dataset_fixed_angle\sample_00017.npz,18,52,299.09236031700976,5.881795169008708,2.8753439561509166,1,164,295.0174401624419,9.823148076955412,1.4822653754173187,1,153,1,1,1
18,./learn_dataset_fixed_angle\sample_00018.npz,19,99,298.9943310499382,5.8817168667531625,2.877516597041154,1,164,290.40189393321805,9.817429085554197,1.5647285739308676,1,141,1,1,1
19,./learn_dataset_fixed_angle\sample_00019.npz,20,185,298.89630308854606,5.881638487442931,2.8796907023922738,1,164,281.9636501395171,9.806228563972212,1.7228170153777458,1,119,1,1,1
20,./learn_dataset_fixed_angle\sample_00020.npz,21,236,298.79827643411863,5.881560030977907,2.88186627367918,1,163,276.96427567467975,9.799097711749095,1.8212590480744162,1,106,1,1,1
21,./learn_dataset_fixed_angle\sample_00021.npz,22,298,298.7002510879427,5.881481497257821,2.884043312378748,1,163,270.89165730970745,9.789891746160338,1.9459872040239845,1,90,1,1,1
22,./learn_dataset_fixed_angle\sample_00022.npz,23,235,298.6022270513065,5.8814028861822445,2.886221819969833,1,163,277.0622673696294,9.799241252789981,1.8192935735363793,1,106,1,1,1
23,./learn_dataset_fixed_angle\sample_00023.npz,24,274,298.50420432550027,5.881324197650589,2.888401797933265,1,162,273.2416695893948,9.7935282126671,1.8970258798626716,1,96,1,1,1
24,./learn_dataset_fixed_angle\sample_00024.npz,25,272,298.4061829118157,5.881245431562099,2.89058324775186,1,162,273.43754314285377,9.793827026162662,1.8929850250595348,1,97,1,1,1
25,./learn_dataset_fixed_angle\sample_00025.npz,26,282,298.30816281154625,5.881166587815861,2.892766170910418,1,162,272.4582353315825,9.792326507411442,1.913249334412146,1,94,1,1,1
26,./learn_dataset_fixed_angle\sample_00026.npz,27,1,298.2101440259872,5.881087666310799,2.894950568895729,1,162,300.028765287597,9.829057547776102,1.3957351926611101,1,166,1,1,1
27,./learn_dataset_fixed_angle\sample_00027.npz,28,65,298.11212655643516,5.881008666945671,2.897136443196578,1,161,293.7405317623021,9.821593168267878,1.5048076282226384,1,150,1,1,1
28,./learn_dataset_fixed_angle\sample_00028.npz,29,202,298.0141104041888,5.880929589619076,2.8993237953037374,1,161,280.296789136087,9.803893967068662,1.755228503943683,1,115,1,1,1
29,./learn_dataset_fixed_angle\sample_00029.npz,30,93,297.9160955705482,5.880850434229448,2.9015126267099904,1,161,290.99096205896154,9.818174350793429,1.5540514732191946,1,143,1,1,1
30,./learn_dataset_fixed_angle\sample_00030.npz,31,147,297.81808205681534,5.8807712006750545,2.903702938910115,1,161,285.69098690718266,9.811300070557209,1.65177759293771,1,129,1,1,1
31,./learn_dataset_fixed_angle\sample_00031.npz,32,127,297.72006986429386,5.880691888854003,2.9058947334008955,1,160,287.6535068446064,9.813890437028517,1.6151503281843882,1,134,1,1,1
32,./learn_dataset_fixed_angle\sample_00032.npz,33,51,297.6220589942889,5.880612498664235,2.90808801168113,1,160,295.1156722371755,9.823266849990135,1.4805396655821785,1,154,1,1,1
33,./learn_dataset_fixed_angle\sample_00033.npz,34,257,297.52404944810763,5.880533030003529,2.9102827752516234,1,160,274.9067842014817,9.796047805158114,1.8628682213510177,1,101,1,1,1
