sample_id,file,source_index_cyclist,source_index_vehicle,cyclist_true_range,cyclist_true_velocity,cyclist_true_angle_deg,cyclist_true_d_idx,cyclist_true_r_idx,vehicle_true_range,vehicle_true_velocity,vehicle_true_angle_deg,vehicle_true_d_idx,vehicle_true_r_idx,valid_cyclist,valid_vehicle,valid_all
0,./learn_dataset_narrow_angle_scenario\sample_00000.npz,150,100,286.1642884777903,5.870753506443861,3.1753717668567645,1,130,290.30372026551777,9.8173044334166,1.5665124267790125,1,141,True,True,1
1,./learn_dataset_narrow_angle_scenario\sample_00001.npz,153,105,285.87075751115225,5.87048502131083,3.182515249184584,1,129,289.8128706596724,9.816679271435419,1.5754503516973113,1,140,True,True,1
2,./learn_dataset_narrow_angle_scenario\sample_00002.npz,156,110,285.57723998946415,5.87021570788291,3.1896738610158986,1,129,289.3220523914484,9.816050925000086,1.5844194969254117,1,138,True,True,1
3,./learn_dataset_narrow_angle_scenario\sample_00003.npz,159,115,285.28373595422505,5.869945562787696,3.1968476502426393,1,128,288.83126562060414,9.815419372651746,1.5934200258871498,1,137,True,True,1
4,./learn_dataset_narrow_angle_scenario\sample_00004.npz,162,120,284.990245447103,5.869674582635806,3.2040366649581307,1,127,288.34051050797564,9.81478459275226,1.6024521031458379,1,136,True,True,1
5,./learn_dataset_narrow_angle_scenario\sample_00005.npz,165,125,284.69676850993585,5.869402764020775,3.211240953458136,1,126,287.84978721548504,9.814146563482426,1.61151589441418,1,135,True,True,1
6,./learn_dataset_narrow_angle_scenario\sample_00006.npz,168,130,284.40330518473235,5.86913010351895,3.218460564241924,1,126,287.3590959061502,9.813505262840177,1.620611566564302,1,133,True,True,1
7,./learn_dataset_narrow_angle_scenario\sample_00007.npz,171,135,284.1098555136727,5.8688565976893985,3.225695546013339,1,125,286.8684367440936,9.812860668638754,1.6297392876378773,1,132,True,True,1
8,./learn_dataset_narrow_angle_scenario\sample_00008.npz,174,140,283.81641953910986,5.868582243073786,3.2329459476818676,1,124,286.3778098945517,9.812212758504861,1.6388992268563658,1,131,True,True,1
9,./learn_dataset_narrow_angle_scenario\sample_00009.npz,177,145,283.52299730356975,5.86830703619629,3.2402118183637296,1,123,285.88721552388455,9.811561509876805,1.6480915546313517,1,129,True,True,1
10,./learn_dataset_narrow_angle_scenario\sample_00010.npz,180,150,283.22958884975276,5.868030973563484,3.2474932073829588,1,122,285.39665379958467,9.810906900002605,1.6573164425749995,1,128,True,True,1
11,./learn_dataset_narrow_angle_scenario\sample_00011.npz,183,155,282.93619422053445,5.867754051664234,3.2547901642725003,1,122,284.90612489028734,9.810248905938082,1.6665740635106154,1,127,True,True,1
12,./learn_dataset_narrow_angle_scenario\sample_00012.npz,186,160,282.64281345896626,5.867476266969598,3.262102738775312,1,121,284.4156289657796,9.809587504544934,1.6758645914833148,1,126,True,True,1
