file,scenario,cyclist_true_d_idx,cyclist_true_r_idx,vehicle_true_d_idx,vehicle_true_r_idx,valid_cyclist,valid_vehicle,valid_all,source_index,cyclist_true_angle_deg,vehicle_true_angle_deg
./learn_dataset_narrow_angle_single\sample_00000.npz,cyclist_only,1,168,0,0,True,0,1,1,2.838631703841283,0.0
./learn_dataset_narrow_angle_single\sample_00001.npz,cyclist_only,1,168,0,0,True,0,1,2,2.840779672661058,0.0
./learn_dataset_narrow_angle_single\sample_00002.npz,cyclist_only,1,168,0,0,True,0,1,3,2.8429290811670236,0.0
./learn_dataset_narrow_angle_single\sample_00003.npz,cyclist_only,1,168,0,0,True,0,1,4,2.8450799308010404,0.0
./learn_dataset_narrow_angle_single\sample_00004.npz,cyclist_only,1,167,0,0,True,0,1,5,2.8472322230068934,0.0
./learn_dataset_narrow_angle_single\sample_00005.npz,cyclist_only,1,167,0,0,True,0,1,6,2.8493859592302835,0.0
./learn_dataset_narrow_angle_single\sample_00006.npz,cyclist_only,1,167,0,0,True,0,1,7,2.8515411409188363,0.0
./learn_dataset_narrow_angle_single\sample_00007.npz,cyclist_only,1,167,0,0,True,0,1,8,2.85369776952211,0.0
./learn_dataset_narrow_angle_single\sample_00008.npz,cyclist_only,1,166,0,0,True,0,1,9,2.8558558464915866,0.0
./learn_dataset_narrow_angle_single\sample_00009.npz,cyclist_only,1,166,0,0,True,0,1,10,2.858015373280687,0.0
./learn_dataset_narrow_angle_single\sample_00010.npz,cyclist_only,1,166,0,0,True,0,1,11,2.8601763513447684,0.0
./learn_dataset_narrow_angle_single\sample_00011.npz,cyclist_only,1,166,0,0,True,0,1,12,2.862338782141123,0.0
./learn_dataset_narrow_angle_single\sample_00012.npz,cyclist_only,1,165,0,0,True,0,1,13,2.8645026671289946,0.0
./learn_dataset_narrow_angle_single\sample_00013.npz,cyclist_only,1,165,0,0,True,0,1,14,2.866668007769566,0.0
./learn_dataset_narrow_angle_single\sample_00014.npz,cyclist_only,1,165,0,0,True,0,1,15,2.8688348055259776,0.0
./learn_dataset_narrow_angle_single\sample_00015.npz,cyclist_only,1,165,0,0,True,0,1,16,2.8710030618633158,0.0
./learn_dataset_narrow_angle_single\sample_00016.npz,cyclist_only,1,164,0,0,True,0,1,17,2.8731727782486263,0.0
./learn_dataset_narrow_angle_single\sample_00017.npz,cyclist_only,1,164,0,0,True,0,1,18,2.8753439561509166,0.0
./learn_dataset_narrow_angle_single\sample_00018.npz,cyclist_only,1,164,0,0,True,0,1,19,2.877516597041154,0.0
./learn_dataset_narrow_angle_single\sample_00019.npz,cyclist_only,1,164,0,0,True,0,1,20,2.8796907023922738,0.0
./learn_dataset_narrow_angle_single\sample_00020.npz,cyclist_only,1,163,0,0,True,0,1,21,2.88186627367918,0.0
./learn_dataset_narrow_angle_single\sample_00021.npz,cyclist_only,1,163,0,0,True,0,1,22,2.884043312378748,0.0
./learn_dataset_narrow_angle_single\sample_00022.npz,cyclist_only,1,163,0,0,True,0,1,23,2.886221819969833,0.0
./learn_dataset_narrow_angle_single\sample_00023.npz,cyclist_only,1,162,0,0,True,0,1,24,2.888401797933265,0.0
./learn_dataset_narrow_angle_single\sample_00024.npz,cyclist_only,1,162,0,0,True,0,1,25,2.89058324775186,0.0
./learn_dataset_narrow_angle_single\sample_00025.npz,cyclist_only,1,162,0,0,True,0,1,26,2.892766170910418,0.0
./learn_dataset_narrow_angle_single\sample_00026.npz,cyclist_only,1,162,0,0,True,0,1,27,2.894950568895729,0.0
./learn_dataset_narrow_angle_single\sample_00027.npz,cyclist_only,1,161,0,0,True,0,1,28,2.897136443196578,0.0
