sample_id,file,target_kind,source_index,num_angles,true_range,true_velocity,true_angle_deg,true_d_idx,true_r_idx,valid
0,./learn_dataset_ped_single\sample_00000.npz,ped,1,1,300.7590563889972,5.883114614216255,2.838631703841283,1,168,1
1,./learn_dataset_ped_single\sample_00001.npz,ped,2,1,300.66100512038474,5.883037606728456,2.840779672661058,1,168,1
2,./learn_dataset_ped_single\sample_00002.npz,ped,3,1,300.5629551358583,5.8829605238634635,2.8429290811670236,1,168,1
3,./learn_dataset_ped_single\sample_00003.npz,ped,4,1,300.4649064366753,5.882883365523861,2.8450799308010404,1,168,1
4,./learn_dataset_ped_single\sample_00004.npz,ped,5,1,300.3668590240941,5.882806131612074,2.8472322230068934,1,167,1
5,./learn_dataset_ped_single\sample_00005.npz,ped,6,1,300.2688128993752,5.882728822030373,2.8493859592302835,1,167,1
6,./learn_dataset_ped_single\sample_00006.npz,ped,7,1,300.17076806378066,5.882651436680872,2.8515411409188363,1,167,1
7,./learn_dataset_ped_single\sample_00007.npz,ped,8,1,300.072724518574,5.882573975465528,2.85369776952211,1,167,1
8,./learn_dataset_ped_single\sample_00008.npz,ped,9,1,299.97468226502053,5.882496438286141,2.8558558464915866,1,166,1
9,./learn_dataset_ped_single\sample_00009.npz,ped,10,1,299.876641304387,5.882418825044356,2.858015373280687,1,166,1
10,./learn_dataset_ped_single\sample_00010.npz,ped,11,1,299.77860163794213,5.8823411356416555,2.8601763513447684,1,166,1
11,./learn_dataset_ped_single\sample_00011.npz,ped,12,1,299.68056326695597,5.88226336997937,2.862338782141123,1,166,1
12,./learn_dataset_ped_single\sample_00012.npz,ped,13,1,299.58252619270036,5.882185527958665,2.8645026671289946,1,165,1
13,./learn_dataset_ped_single\sample_00013.npz,ped,14,1,299.4844904164488,5.882107609480556,2.866668007769566,1,165,1
14,./learn_dataset_ped_single\sample_00014.npz,ped,15,1,299.3864559394763,5.882029614445893,2.8688348055259776,1,165,1
15,./learn_dataset_ped_single\sample_00015.npz,ped,16,1,299.28842276305977,5.881951542755367,2.8710030618633158,1,165,1
16,./learn_dataset_ped_single\sample_00016.npz,ped,17,1,299.19039088847757,5.881873394309515,2.8731727782486263,1,164,1
17,./learn_dataset_ped_single\sample_00017.npz,ped,18,1,299.09236031700976,5.881795169008708,2.8753439561509166,1,164,1
18,./learn_dataset_ped_single\sample_00018.npz,ped,19,1,298.9943310499382,5.8817168667531625,2.877516597041154,1,164,1
19,./learn_dataset_ped_single\sample_00019.npz,ped,20,1,298.89630308854606,5.881638487442931,2.8796907023922738,1,164,1
20,./learn_dataset_ped_single\sample_00020.npz,ped,21,1,298.79827643411863,5.881560030977907,2.88186627367918,1,163,1
21,./learn_dataset_ped_single\sample_00021.npz,ped,22,1,298.7002510879427,5.881481497257821,2.884043312378748,1,163,1
22,./learn_dataset_ped_single\sample_00022.npz,ped,23,1,298.6022270513065,5.8814028861822445,2.886221819969833,1,163,1
23,./learn_dataset_ped_single\sample_00023.npz,ped,24,1,298.50420432550027,5.881324197650589,2.888401797933265,1,162,1
24,./learn_dataset_ped_single\sample_00024.npz,ped,25,1,298.4061829118157,5.881245431562099,2.89058324775186,1,162,1
25,./learn_dataset_ped_single\sample_00025.npz,ped,26,1,298.30816281154625,5.881166587815861,2.892766170910418,1,162,1
26,./learn_dataset_ped_single\sample_00026.npz,ped,27,1,298.2101440259872,5.881087666310799,2.894950568895729,1,162,1
27,./learn_dataset_ped_single\sample_00027.npz,ped,28,1,298.11212655643516,5.881008666945671,2.897136443196578,1,161,1
28,./learn_dataset_ped_single\sample_00028.npz,ped,29,1,298.0141104041888,5.880929589619076,2.8993237953037374,1,161,1
29,./learn_dataset_ped_single\sample_00029.npz,ped,30,1,297.9160955705482,5.880850434229448,2.9015126267099904,1,161,1
30,./learn_dataset_ped_single\sample_00030.npz,ped,31,1,297.81808205681534,5.8807712006750545,2.903702938910115,1,161,1
31,./learn_dataset_ped_single\sample_00031.npz,ped,32,1,297.72006986429386,5.880691888854003,2.9058947334008955,1,160,1
32,./learn_dataset_ped_single\sample_00032.npz,ped,33,1,297.6220589942889,5.880612498664235,2.90808801168113,1,160,1
33,./learn_dataset_ped_single\sample_00033.npz,ped,34,1,297.52404944810763,5.880533030003529,2.9102827752516234,1,160,1
34,./learn_dataset_ped_single\sample_00034.npz,ped,35,1,297.42604122705865,5.880453482769494,2.912479025615202,1,160,1
35,./learn_dataset_ped_single\sample_00035.npz,ped,36,1,297.3280343324524,5.880373856859578,2.914676764276707,1,159,1
36,./learn_dataset_ped_single\sample_00036.npz,ped,37,1,297.230028765601,5.8802941521710625,2.9168759927430035,1,159,1
37,./learn_dataset_ped_single\sample_00037.npz,ped,38,1,297.13202452781826,5.880214368601061,2.919076712522985,1,159,1
38,./learn_dataset_ped_single\sample_00038.npz,ped,39,1,297.03402162041976,5.880134506046526,2.9212789251275715,1,159,1
39,./learn_dataset_ped_single\sample_00039.npz,ped,40,1,296.93602004472274,5.8800545644042375,2.9234826320697187,1,158,1
