Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
6.54064991e-07,2.44912402e-12,2.78175592
6.56609984e-07,2.26776592e-13,-1.1113466
6.59154978e-07,4.63747422e-13,0.431548893
6.61700028e-07,5.64049133e-14,-2.09811401
6.64245022e-07,6.7619069e-16,1.60333502
6.66790015e-07,3.26207112e-18,0.273999304
6.69335009e-07,7.97994789e-21,0.616548419
6.71880002e-07,6.90304884e-24,-1.46775806
6.74424996e-07,6.4916141e-28,-2.85059619
6.99874988e-07,1.8585157e-20,0.120933339
7.02419982e-07,8.79038439e-20,2.65765476
7.04964975e-07,7.88420405e-22,-2.54333043
7.07510026e-07,6.62065437e-22,-2.53902483
7.10055019e-07,8.45341275e-25,3.03939104
7.12600013e-07,1.49994147e-29,-0.0113838455
7.15145006e-07,1.30626738e-35,-2.9821794
7.48229979e-07,3.41545865e-26,-3.1204319
7.50774973e-07,4.25654303e-28,-1.51868165
7.53320023e-07,5.37873038e-30,1.76952279
7.68589985e-07,6.48891674e-23,2.49182034
7.71134978e-07,3.02109745e-21,0.273294836
7.73679972e-07,2.17873158e-22,-1.19281828
7.76225022e-07,5.78017192e-23,0.455880016
7.78770016e-07,2.10927009e-25,1.38866675
7.81315009e-07,2.86437528e-32,0.433623195
8.16944976e-07,1.70995e-26,2.42736745
8.19490026e-07,9.1360724e-28,0.0602830313
8.85659972e-07,1.37722576e-28,-0.364024073
8.88205022e-07,4.64255314e-29,-0.635647655
