Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60335003e-06,2.39595433e-14,3.08110595
1.60589502e-06,1.61281971e-13,-1.64521074
1.79931499e-06,1.75019427e-16,-2.72021341
1.91638492e-06,3.19341247e-14,1.67250204
1.91892991e-06,2.05079375e-13,2.42568731
1.9214749e-06,4.34132285e-16,0.471591264
1.9240199e-06,2.43794735e-18,2.08009624
1.92656489e-06,2.91523134e-20,-2.35204864
1.92911011e-06,4.20416382e-19,0.282734513
1.93165511e-06,2.97952231e-24,2.68527961
1.9342001e-06,4.39798555e-20,-2.48951769
1.93674509e-06,1.31782322e-21,-1.89566553
1.93929009e-06,1.75501692e-24,0.809206069
1.94183508e-06,4.92184126e-29,2.41986465
1.94438007e-06,2.04593419e-30,0.431664914
1.94947006e-06,1.10273481e-27,2.74586606
1.95201505e-06,2.14556377e-27,2.726722
1.95456005e-06,9.94528289e-32,-0.823654771
1.95710504e-06,8.19423164e-36,-2.48333764
2.06908499e-06,7.37690969e-23,-0.680337369
2.07162998e-06,1.12973658e-24,-2.79158878
2.07417497e-06,1.83699897e-26,1.78768229
2.07671997e-06,2.24301607e-30,-0.599589705
2.07926496e-06,6.97878947e-32,0.83820647
2.08435495e-06,1.56648672e-29,-3.05635142
2.08689994e-06,1.44321479e-30,-0.492498398
2.08944493e-06,5.28894742e-35,2.278054
2.21924006e-06,1.2676512e-32,-0.582160652
2.22178505e-06,1.19790651e-30,-1.96844244
2.22433005e-06,4.09211394e-34,1.19173753
3.36703511e-06,9.74184022e-23,1.16564608
3.3695801e-06,2.80876071e-23,-1.48715496
3.37212509e-06,2.12752512e-27,2.59830523
3.37467009e-06,2.04587951e-28,-1.01000834
3.37721508e-06,4.4657361e-33,-0.057805337
3.38485006e-06,7.94733692e-28,1.21173739
3.38739505e-06,2.82689699e-32,-0.740880907
3.51973495e-06,3.12914071e-28,-1.5171783
3.52227994e-06,2.93118516e-34,-2.90453339
4.81768484e-06,3.88137491e-31,-1.42298901
4.82023006e-06,1.73609624e-33,1.9372313
4.82277483e-06,1.69308384e-39,2.21368766
4.82532005e-06,1.6739472e-37,-0.537273347
