Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60657203e-06,1.86973036e-13,-2.01126933
1.80130803e-06,1.75019427e-16,-2.72021341
1.89056198e-06,1.63165556e-13,2.42718291
1.89867603e-06,1.17905807e-13,1.18385994
1.90678998e-06,1.79425336e-19,-2.93660474
1.91490403e-06,1.52036895e-20,-0.538751245
1.92301809e-06,2.08730708e-29,-1.81078935
1.93113192e-06,5.37445272e-27,0.394017786
2.04472803e-06,7.34141332e-24,-1.7546562
2.05284209e-06,1.77472576e-27,-1.26539969
2.06095592e-06,5.65267179e-29,-1.35050666
2.19889398e-06,2.72085358e-30,-0.167210281
3.36731e-06,3.6067156e-23,3.12923408
3.37542406e-06,1.94429253e-27,-2.18220234
3.38353789e-06,6.77435217e-28,3.04899621
3.39165194e-06,1.34483694e-36,2.66919661
3.52147595e-06,2.85873148e-28,2.64392614
4.84405791e-06,3.16694517e-31,-1.09563863
4.85217197e-06,1.58892953e-37,-0.449636638
