Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
7.10055019e-07,1.82158718e-13,0.766550362
7.12600013e-07,7.74176679e-15,-2.41074634
7.15145006e-07,1.6780567e-13,-0.667620957
7.1769e-07,4.29472701e-13,-1.90450883
7.20234993e-07,1.24888584e-13,1.4420836
7.22779987e-07,1.13132587e-13,-1.61846197
7.25324981e-07,5.15096024e-15,-2.78955388
7.27869974e-07,1.16588813e-13,1.17840397
7.30415024e-07,1.09520926e-13,2.68931794
7.32960018e-07,5.42766888e-14,0.850821733
7.35505012e-07,5.23953438e-17,1.37356079
7.38050005e-07,1.47584357e-17,2.85341215
7.40594999e-07,5.45767275e-18,2.30099654
7.43139992e-07,3.74627127e-19,-1.82001674
7.45684986e-07,1.24263867e-19,-0.648350596
7.48229979e-07,6.05150554e-21,3.02017546
7.50774973e-07,3.68186362e-20,2.6214838
7.53320023e-07,7.21938924e-21,2.38805246
7.55865017e-07,3.29676371e-24,0.774878979
7.5841001e-07,7.07918681e-20,-1.46144867
7.60955004e-07,3.21039459e-21,-1.64109075
7.63499997e-07,1.33299574e-20,2.94405866
7.66044991e-07,1.9553074e-23,-3.05920315
7.68589985e-07,5.12929982e-25,-0.246974498
7.71134978e-07,5.00951808e-28,0.188546687
7.73679972e-07,7.73890421e-26,2.25706792
7.76225022e-07,2.09080449e-26,0.330256671
7.78770016e-07,4.09322282e-27,2.09217691
7.81315009e-07,7.19558868e-28,-1.24529409
7.83860003e-07,1.04406116e-27,-1.25068843
7.86404996e-07,3.75195612e-27,0.251432508
7.8894999e-07,2.20214366e-29,-2.74263787
7.91494983e-07,2.2663084e-27,2.44850254
7.94039977e-07,1.09517359e-29,1.19124389
7.96585027e-07,2.53894484e-31,-2.54597735
7.99130021e-07,5.50520555e-33,-0.496011525
8.01675014e-07,2.89859417e-37,-2.894526
8.32214994e-07,2.21323644e-24,2.36261797
8.34759987e-07,1.65224279e-22,-2.98971772
8.37304981e-07,3.46753719e-23,1.96575832
8.39849974e-07,6.93059668e-22,-0.171042249
8.42395025e-07,2.21940626e-22,-2.86095929
8.44940018e-07,8.01258315e-22,2.21009517
8.47485012e-07,1.91820478e-21,-0.249339581
8.50030005e-07,2.77778322e-22,3.13423705
8.52574999e-07,1.08973907e-21,1.00769901
8.55119993e-07,1.53759766e-23,-1.92727578
8.57664986e-07,4.29030681e-25,0.0260824822
8.6020998e-07,6.17013658e-26,2.89727044
8.62754973e-07,2.60439703e-28,0.284783065
8.65300024e-07,4.34729766e-28,1.58571541
8.67845017e-07,3.44294837e-28,-0.826733112
8.70390011e-07,7.28896354e-28,0.662824571
8.72935004e-07,2.3134916e-29,-1.4845686
8.75479998e-07,1.06407592e-29,1.39147687
8.78024991e-07,1.37029449e-29,-1.76987636
8.80569985e-07,6.64196015e-31,-0.227569744
8.83114978e-07,3.9319208e-29,-2.77448487
8.85659972e-07,3.58437741e-29,2.76589751
8.88205022e-07,5.46273995e-31,2.30224133
8.90750016e-07,8.58888264e-34,0.609402061
8.9329501e-07,1.53532789e-36,3.13708162
9.54374968e-07,3.32341029e-29,0.413323104
9.56919962e-07,1.21452561e-28,-2.51597857
9.59464955e-07,2.13378156e-31,-1.43193614
9.62009949e-07,6.59043973e-30,-0.932705402
9.64555056e-07,8.22378153e-28,1.22482717
9.6710005e-07,3.27823896e-30,0.963994145
9.69645043e-07,1.22067227e-30,-2.05066442
9.72190037e-07,5.06968026e-32,2.46104693
9.7473503e-07,4.40983226e-30,3.03358603
9.77280024e-07,2.6619521e-30,-3.11192298
9.79825018e-07,5.63188484e-30,-1.13798547
9.82370011e-07,1.86714894e-35,0.136555523
9.84915005e-07,8.5369905e-40,3.13213181
