Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60335003e-06,2.39595433e-14,3.08110595
1.60589502e-06,1.61281971e-13,-1.64521074
1.79931499e-06,1.75019427e-16,-2.72021341
1.96474002e-06,2.38769643e-14,1.36905551
1.96728502e-06,1.10450841e-12,-1.83486056
1.96983001e-06,3.90151449e-16,-0.855704308
1.972375e-06,6.14724082e-15,-1.86221695
1.97492e-06,6.00814191e-15,-1.70601392
1.97746499e-06,1.1016879e-14,0.778810501
1.98000998e-06,3.74381744e-15,-2.68587208
1.98255498e-06,2.56691175e-15,1.34886956
1.98509997e-06,8.73558843e-16,2.00606751
1.98764496e-06,6.92110145e-16,-0.244410351
1.99018996e-06,4.6679181e-15,2.80373049
1.99273495e-06,8.15027391e-20,2.43394446
1.99527994e-06,7.29015858e-20,2.58287382
1.99782494e-06,4.30438554e-20,1.41042829
2.00036993e-06,1.72959299e-18,2.57612967
2.00291493e-06,1.18644806e-22,1.56977665
2.00545992e-06,4.78415992e-23,-2.76627636
2.00800491e-06,2.2935334e-29,2.53035808
2.01054991e-06,1.17144275e-29,0.329516768
2.0130949e-06,3.79335514e-27,-1.18015182
2.01563989e-06,1.48559316e-33,0.937024772
2.01818489e-06,2.44565202e-38,-2.72482133
2.11744009e-06,4.72661591e-24,-3.09324074
2.11998508e-06,2.74680164e-24,2.83748436
2.12253008e-06,1.69567446e-24,1.27292061
2.12507507e-06,1.88743033e-25,2.49374485
2.12762006e-06,1.22825138e-22,2.79847789
2.13016506e-06,5.01390722e-24,-0.583946943
2.13271005e-06,2.46515956e-24,1.50885367
2.13525504e-06,5.47674424e-25,-1.19445324
2.13780004e-06,9.56494952e-24,2.71669865
2.14034503e-06,8.22259067e-24,0.00392381521
2.14289003e-06,2.71416888e-25,-2.50513363
2.14543502e-06,2.0303842e-28,-0.0491694883
2.14798001e-06,1.70906403e-30,1.97731709
2.15052501e-06,2.16657339e-30,0.159364939
2.15307e-06,8.65427811e-31,-2.89347506
2.15561499e-06,2.52006198e-34,-0.9115206
2.15815999e-06,3.74619589e-36,-0.424462467
2.27013993e-06,3.24458721e-28,1.04073596
2.27268492e-06,1.41310854e-31,0.794330299
2.27522992e-06,7.07573543e-33,2.38622332
2.27777491e-06,1.10539962e-30,-1.64135659
2.2803199e-06,9.85176173e-31,-3.08048463
2.2828649e-06,2.90767062e-31,-1.83665371
2.28540989e-06,3.21712196e-33,0.0641443208
2.28795511e-06,1.38297111e-35,3.08332396
2.29050011e-06,8.3180343e-32,-0.444980323
2.2930451e-06,5.00146104e-33,1.93907905
2.29559009e-06,4.74918011e-33,-0.198460236
2.29813509e-06,7.79528252e-34,2.85812974
3.36449011e-06,1.1424004e-20,-2.09713793
3.36703511e-06,1.14992818e-27,1.21320498
3.3695801e-06,1.08854054e-28,-1.44801521
3.37212509e-06,7.99010406e-31,0.71136713
3.37467009e-06,3.81040593e-28,-0.845720232
3.37721508e-06,4.30827948e-27,-0.739239573
3.37976007e-06,2.8104878e-31,2.25922775
3.38230507e-06,4.71182217e-34,-1.60067654
3.51718995e-06,6.98107465e-27,-1.35599518
3.51973495e-06,3.00564911e-37,1.79964924
3.52227994e-06,4.3679783e-35,-0.836565197
4.73369983e-06,1.48162708e-29,0.786459684
4.73624505e-06,3.11873903e-32,-0.876927495
4.73878981e-06,4.10055306e-32,-3.10338044
4.74133503e-06,1.70470264e-32,-1.9864713
4.7438798e-06,2.34967706e-34,-0.834388912
4.74642502e-06,8.43100915e-33,0.365288228
4.74896979e-06,8.98064554e-36,-0.597401798
4.75151501e-06,2.44479668e-32,1.52850151
4.75405977e-06,1.90264223e-32,0.308802634
4.75660499e-06,3.58969434e-34,1.9885782
4.75915022e-06,1.9964427e-35,0.274548471
4.76169498e-06,2.06512718e-39,0.156093642
4.7642402e-06,7.00649232e-45,-2.39078426
