Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60657203e-06,1.86973036e-13,-2.01126933
1.80130803e-06,1.75019427e-16,-2.72021341
1.92301809e-06,1.4419259e-12,-0.485189319
1.93113192e-06,2.16988496e-15,-2.69231272
1.93924598e-06,1.34852922e-14,0.372630209
1.94736003e-06,5.11824021e-15,-1.42870891
1.95547409e-06,6.63313807e-19,-2.12947321
1.96358792e-06,1.21244286e-22,-1.0890584
1.97170198e-06,2.77210291e-28,1.94391894
1.97981603e-06,1.85500387e-38,-2.50585914
2.07718404e-06,1.31447435e-23,-3.09362006
2.08529809e-06,1.43357263e-23,1.48191273
2.09341192e-06,1.49171641e-23,-2.35042143
2.10152598e-06,2.59567187e-25,0.246173918
2.10964004e-06,7.28279829e-31,2.05417633
2.11775409e-06,9.31448623e-36,0.12616694
2.22323592e-06,3.07431021e-28,-0.488414705
2.23134998e-06,1.00243967e-30,-0.421600103
2.23946404e-06,4.49734923e-31,0.445709616
2.2475781e-06,1.79416902e-31,-0.364657849
2.25569192e-06,6.54901837e-37,-1.98750818
3.36731e-06,9.71716288e-21,2.4157455
3.37542406e-06,1.30121451e-26,1.0753206
3.38353789e-06,2.25974824e-31,-2.49913526
3.51336189e-06,7.17831839e-27,-3.133075
3.52147595e-06,6.33365195e-35,2.99343443
4.77914591e-06,1.23315489e-29,-2.08985162
4.78725997e-06,2.44100306e-32,0.0526357628
4.79537402e-06,6.20483753e-32,-2.12680936
4.80348808e-06,3.06786669e-34,-0.953433514
