Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60349998e-06,2.39595433e-14,3.08110595
1.60499997e-06,1.61281971e-13,-1.64521074
1.79350002e-06,8.78337008e-13,-0.432856649
1.79949996e-06,3.09568066e-10,-1.75493681
1.79999995e-06,2.938622e-12,-0.304212749
1.95699999e-06,5.16508833e-16,-2.35832429
1.95749999e-06,8.13515589e-16,-1.36997199
1.95799998e-06,1.51481308e-16,-1.46331608
1.95849998e-06,2.82646685e-19,2.16813183
1.95899997e-06,1.18426183e-17,-2.47083092
1.95949997e-06,2.21937349e-15,0.414700419
1.95999996e-06,3.42860853e-15,2.49699664
1.96049996e-06,4.30601507e-16,0.408460438
1.96099995e-06,7.71765291e-12,-2.23502374
1.96149995e-06,2.58042459e-12,1.66875267
1.96199994e-06,2.51160155e-15,-1.99277461
1.96249994e-06,2.43186928e-15,-0.352296472
1.96299993e-06,1.98348382e-17,0.215754136
1.96349993e-06,1.70101785e-17,2.49212813
1.96399992e-06,2.00645003e-18,2.76807523
1.96449992e-06,5.65026562e-18,2.46598268
1.96499991e-06,2.9749296e-17,-1.60065889
1.96549991e-06,5.39925403e-17,0.322260737
1.9659999e-06,1.11410087e-19,-2.02744293
1.96649989e-06,2.38257452e-20,0.719290495
1.96699989e-06,1.35037872e-26,3.02689266
1.96750011e-06,1.7541722e-29,-1.99267137
1.96800011e-06,5.87900758e-41,2.44285679
1.97700001e-06,2.07390659e-20,-1.81958461
1.97750001e-06,1.20817786e-21,0.26103434
1.978e-06,5.47360568e-22,1.82628226
1.97849999e-06,1.14782498e-21,-1.31087804
1.97899999e-06,8.97086547e-24,-1.9891125
1.97949998e-06,3.2601834e-22,2.13122582
1.97999998e-06,2.71694853e-22,-1.78774095
1.98049997e-06,7.12789571e-22,0.72795248
1.98099997e-06,2.6653591e-21,-1.63677263
1.98149996e-06,9.75793626e-22,2.71513772
1.98199996e-06,6.2599214e-25,3.08623338
1.98249995e-06,1.30045606e-29,-0.519329429
1.98299995e-06,6.37768986e-32,-1.75913978
1.99600004e-06,2.29439023e-26,-1.73330045
1.99650003e-06,6.29958927e-26,1.88619435
1.99700003e-06,6.55580698e-26,-0.997069716
1.99750002e-06,1.3951262e-28,1.42810464
1.99800002e-06,5.91486893e-31,1.60975671
1.99850001e-06,1.05892692e-38,-2.44166732
2.02000001e-06,1.2716439e-20,1.10694253
2.02050001e-06,3.54962523e-20,2.77689338
2.021e-06,1.0720541e-20,3.03236079
2.02149999e-06,1.52894562e-20,2.86297131
2.02199999e-06,3.16390833e-20,-0.0954383388
2.02249998e-06,5.2105274e-21,2.76176834
2.02299998e-06,1.64468499e-20,-0.841822267
2.02349997e-06,4.88788359e-20,0.977074087
2.02399997e-06,8.78892768e-17,2.25724697
2.02449996e-06,1.77910522e-16,0.532154441
2.02499996e-06,2.17044128e-18,2.51509976
2.02549995e-06,1.38428603e-18,-0.399230838
2.02599995e-06,5.21800394e-21,-1.96624041
2.02649994e-06,1.85740539e-21,1.06401992
2.02699994e-06,1.53861087e-21,-1.64385545
2.02749993e-06,1.26074589e-22,1.18027031
2.02799993e-06,8.55846581e-22,-3.08047748
2.02849992e-06,8.09749892e-22,0.668614089
2.02899992e-06,9.98395575e-25,0.645250142
2.02949991e-06,6.67902521e-26,-3.11217904
2.02999991e-06,6.62897564e-30,-3.09628677
2.03950003e-06,7.39740903e-25,1.69507146
2.04000003e-06,5.17730842e-25,-1.45415878
2.04050002e-06,1.04697582e-25,-0.0792724714
2.04100002e-06,3.6696838e-25,2.65876985
2.04150001e-06,3.17662546e-26,-1.11821687
