Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60349998e-06,2.39595433e-14,3.08110595
1.60499997e-06,1.61281971e-13,-1.64521074
1.79949996e-06,1.75019427e-16,-2.72021341
1.87900002e-06,1.54547059e-15,2.79514813
1.87950002e-06,1.29210319e-14,-0.195188239
1.88000001e-06,4.13357974e-14,1.02385759
1.88050001e-06,2.73583155e-14,1.7533406
1.881e-06,8.99689801e-14,-2.10833621
1.8815e-06,5.37467071e-14,-1.44979513
1.88199999e-06,3.7336345e-14,1.06148815
1.88249999e-06,3.46123391e-15,1.35242784
1.88299998e-06,2.10672997e-15,2.87410784
1.88349998e-06,5.20300417e-16,1.6394254
1.88399997e-06,6.52833976e-18,-0.609247386
1.88449997e-06,5.42902757e-17,-1.00884581
1.88499996e-06,2.24363394e-17,2.75803494
1.88549996e-06,4.38054504e-18,-1.18142247
1.88599995e-06,4.59721425e-18,0.273355931
1.88649994e-06,2.35399989e-19,-1.71538627
1.88700005e-06,3.97873978e-19,-2.9391098
1.88750005e-06,2.35640654e-20,-0.662390947
1.88800004e-06,5.12252209e-20,3.04321766
1.88850004e-06,9.53001408e-21,2.20304775
1.88900003e-06,2.97491468e-20,-0.785357177
1.88950003e-06,4.55419271e-22,0.232058197
1.89000002e-06,2.55573667e-21,-0.188477814
1.89050002e-06,3.00034015e-20,1.61215925
1.89100001e-06,1.37015618e-19,-0.655707538
1.89150001e-06,8.58864485e-23,0.642297864
1.892e-06,1.08629075e-22,-2.26115227
1.89249999e-06,8.4786992e-26,2.6762917
1.89299999e-06,1.05726957e-22,-0.41236338
1.89349998e-06,6.31742369e-26,-1.02165401
1.89399998e-06,9.43387478e-26,1.1509093
1.89449997e-06,5.4596135e-27,0.679348171
1.89499997e-06,1.24016902e-30,-0.965171456
1.89549996e-06,1.64252693e-24,2.83034253
1.89599996e-06,2.02505708e-28,2.21618795
1.89649995e-06,3.70473315e-21,2.62902856
1.89699995e-06,1.38986043e-21,-2.08062625
1.89750006e-06,4.70380941e-21,2.78252649
1.89800005e-06,6.7300174e-21,1.99074006
1.89850005e-06,5.1069097e-21,-0.836271107
1.89900004e-06,7.78854968e-22,-2.1341722
1.89950003e-06,5.40838935e-23,-3.08158112
1.90000003e-06,1.27307716e-25,-1.46760142
1.90050002e-06,4.16134462e-24,-0.737660766
1.90100002e-06,1.32895995e-24,-0.4310202
1.90150001e-06,6.93366926e-25,-2.48620081
1.90200001e-06,1.29097395e-25,1.84013307
1.9025e-06,7.32724281e-25,-0.970105827
1.903e-06,1.07767213e-26,-2.56361389
1.90349999e-06,9.98056439e-29,0.209657431
1.90399999e-06,2.02717217e-29,-2.96975541
1.90449998e-06,8.1967428e-31,3.04475093
1.90499998e-06,1.04920932e-28,-0.11927481
1.90549997e-06,2.72844377e-28,-1.63200641
1.90599997e-06,1.89154273e-39,-1.12499607
1.90750006e-06,1.18985783e-31,-2.17702127
1.9135e-06,1.07419879e-29,-1.2873596
1.91399999e-06,5.6297956e-28,-0.724052489
1.91449999e-06,2.79818723e-28,0.318010658
1.91499998e-06,2.20737196e-29,-0.207155958
1.91549998e-06,2.21945178e-28,-0.0884491429
1.91599997e-06,9.0763765e-31,-1.71448374
1.91649997e-06,1.6262118e-30,-0.568951666
1.91699996e-06,9.11910497e-34,2.45472121
1.91749996e-06,7.33133727e-32,0.793148458
1.91799995e-06,1.3370878e-32,-2.53835797
1.91899994e-06,8.05572436e-39,-2.90289259
2.03099989e-06,1.35182668e-25,-0.382620752
2.03149989e-06,7.40877494e-24,-2.36818099
2.03200011e-06,2.10825897e-24,-1.37123799
