Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
6.74424996e-07,1.37179344e-13,-2.0376327
6.76969989e-07,7.48127146e-13,1.68142152
6.79514983e-07,7.64909349e-13,-2.24757791
6.82059976e-07,1.6808431e-13,0.82001555
6.84605027e-07,1.24911146e-17,-0.90440315
6.8715002e-07,9.42295099e-19,-1.26312554
6.89695014e-07,1.68785315e-18,0.518937409
6.92240008e-07,5.3820968e-22,1.20540106
6.94785001e-07,4.68515749e-30,3.09664083
7.20234993e-07,3.07861922e-21,-0.484252065
7.22779987e-07,9.58240514e-21,-2.64872599
7.25324981e-07,1.17225185e-21,-1.33362174
7.27869974e-07,1.04663629e-24,-2.68213439
7.30415024e-07,6.37329026e-28,-1.80926931
7.32960018e-07,2.31443465e-32,-0.299491107
7.66044991e-07,6.22267903e-26,-0.0333822854
7.68589985e-07,8.90922481e-28,-2.77594209
7.71134978e-07,1.61275809e-29,1.22046328
7.91494983e-07,1.80357032e-23,-0.740421772
7.94039977e-07,1.82495773e-21,-2.12961388
7.96585027e-07,5.44538238e-22,2.16004586
7.99130021e-07,4.73423434e-25,-2.96333528
8.01675014e-07,9.41371778e-25,1.68372309
8.04220008e-07,3.19057668e-38,-0.915921152
8.37304981e-07,4.35006946e-27,-2.55788112
8.39849974e-07,4.45186141e-27,1.86871612
8.42395025e-07,1.45942382e-30,-0.0222469289
9.11110021e-07,7.52846208e-28,1.52633655
9.13655015e-07,5.06086422e-29,-1.78925025
9.16200008e-07,6.2961035e-33,2.46080565
