Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60335003e-06,2.39595433e-14,3.08110595
1.60589502e-06,1.61281971e-13,-1.64521074
1.79931499e-06,1.75019427e-16,-2.72021341
1.87057503e-06,1.12512186e-13,-0.34671995
1.87312003e-06,6.13367999e-14,1.88203645
1.87566502e-06,1.65518024e-18,1.57627571
1.87821001e-06,2.1625554e-19,2.17602062
1.88075501e-06,5.87919671e-21,-2.32184839
1.8833e-06,3.60444406e-22,0.560910404
1.88584499e-06,2.37164839e-24,1.59657907
1.88838999e-06,3.8596577e-20,-0.346698344
1.89093498e-06,6.23764561e-22,-1.07500553
1.89347998e-06,8.77615338e-26,0.999860585
1.89602497e-06,1.78044592e-28,1.27698338
1.89856996e-06,8.27120907e-32,-0.477541327
1.90365995e-06,5.66050145e-30,-0.289155871
1.90620494e-06,1.99479388e-27,0.519800782
1.90874994e-06,8.12038456e-31,0.388106883
1.91129493e-06,7.38428379e-39,-1.50641918
2.02073011e-06,5.73347557e-26,0.625085592
2.0232751e-06,2.81808599e-23,-2.25397968
2.02582009e-06,7.83676758e-25,-1.25576067
2.02836509e-06,5.704841e-27,2.55387688
2.03091008e-06,9.04644936e-31,2.70359898
2.03345508e-06,1.78267024e-32,-0.220788047
2.03854506e-06,6.44853105e-29,-0.0146039063
2.04109006e-06,1.39329801e-28,1.65414345
2.17342995e-06,6.3396182e-30,-2.51658463
2.17597494e-06,3.56197534e-32,1.37249351
3.36703511e-06,5.40299669e-23,2.51909637
3.3695801e-06,1.05254328e-22,-1.54825103
3.37212509e-06,2.47005686e-25,-0.963652909
3.37467009e-06,3.48761165e-28,-2.38908911
3.37721508e-06,1.30652053e-32,-2.01010942
3.37976007e-06,5.4970656e-35,1.77263308
3.38485006e-06,1.32718902e-28,-1.21464586
3.38739505e-06,1.11877307e-28,-1.17995632
3.51973495e-06,2.56310437e-28,0.505683362
3.52227994e-06,1.01364198e-34,-0.956866384
4.86349518e-06,9.39139347e-32,3.0611465
4.86603994e-06,1.1212253e-31,-2.66153216
4.86858517e-06,2.33642517e-35,0.619897962
4.87112993e-06,1.51119546e-37,-2.50054288
