Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60349998e-06,2.39595433e-14,3.08110595
1.60499997e-06,1.61281971e-13,-1.64521074
1.79949996e-06,1.75019427e-16,-2.72021341
1.87299997e-06,3.38292864e-14,1.50372219
1.87349997e-06,2.23160656e-14,-0.592427015
1.87399996e-06,5.74679247e-13,-0.338585705
1.87449996e-06,4.11238596e-14,-0.156823859
1.87499995e-06,4.35305822e-16,-3.0467999
1.87549995e-06,1.54125109e-16,-0.324765712
1.87600006e-06,2.15487074e-16,-2.56151986
1.87650005e-06,4.43235533e-17,0.155073658
1.87700005e-06,3.37882237e-17,-2.41531658
1.87750004e-06,1.63280275e-17,-1.88944054
1.87800003e-06,4.42510294e-17,1.34111536
1.87850003e-06,3.04263135e-17,3.08871603
1.87900002e-06,1.27967628e-17,0.347925305
1.87950002e-06,3.99846833e-17,-0.253407806
1.88000001e-06,1.76340534e-18,-1.81360674
1.88050001e-06,9.35034334e-15,0.391606599
1.881e-06,2.95860899e-17,2.02061009
1.8815e-06,9.88895481e-17,-0.267008573
1.88199999e-06,3.82416714e-16,1.52907276
1.88249999e-06,8.28865216e-17,3.05495048
1.88299998e-06,3.41674689e-15,-0.893802166
1.88349998e-06,9.45840532e-17,-2.96303892
1.88399997e-06,3.10173486e-16,-0.307428122
1.88449997e-06,8.24654252e-15,1.71442461
1.88499996e-06,4.67487741e-17,0.581140876
1.88549996e-06,4.45245019e-17,-1.36944091
1.88599995e-06,5.74194768e-17,1.86172926
1.88649994e-06,4.09733172e-15,-0.695422828
1.88700005e-06,3.82102862e-16,2.21961808
1.88750005e-06,7.95033933e-15,-1.27806246
1.88800004e-06,4.16098667e-15,-2.52162361
1.88850004e-06,1.58224166e-16,0.681099713
1.88900003e-06,7.49939281e-17,2.72756219
1.88950003e-06,2.06006481e-15,-2.01967359
1.89000002e-06,1.51394773e-18,-0.746113718
1.89050002e-06,3.67896694e-19,0.142367303
1.89100001e-06,2.88725971e-19,-1.97906375
1.89150001e-06,1.51877226e-17,1.06880641
1.892e-06,5.34640331e-19,-0.843889952
1.89249999e-06,1.77331271e-16,-2.49331236
1.89299999e-06,2.09850361e-16,-2.17765331
1.89349998e-06,9.14770503e-17,2.70282793
1.89399998e-06,4.27680104e-17,-0.72358501
1.89449997e-06,2.45456617e-15,0.623905957
1.89499997e-06,1.56010552e-15,-0.583801687
1.89549996e-06,1.9772523e-16,2.2558229
1.89599996e-06,3.15913431e-16,-2.7582283
1.89649995e-06,5.91626441e-17,-1.77880883
1.89699995e-06,7.21883747e-18,-0.894977391
1.89750006e-06,6.79030442e-15,-1.55598152
1.89800005e-06,1.02201897e-16,-2.8754313
1.89850005e-06,5.15447011e-18,-1.29843926
1.89900004e-06,5.95193633e-18,1.72714376
1.89950003e-06,2.65821211e-19,1.32922542
1.90000003e-06,1.60765282e-20,-1.1996721
1.90050002e-06,1.10164353e-19,-2.50817513
1.90100002e-06,1.34244684e-20,-2.75243306
1.90150001e-06,1.13081522e-19,2.40078402
1.90200001e-06,4.72896377e-20,-2.96686387
1.9025e-06,1.55259814e-20,1.02604389
1.903e-06,3.52392706e-20,2.30097985
1.90349999e-06,2.51812479e-21,0.0466922075
1.90399999e-06,1.83937309e-19,-2.32606006
1.90449998e-06,6.82104361e-21,-1.3027159
1.90499998e-06,4.22561856e-20,1.65583253
1.90549997e-06,5.1203782e-24,-0.277963251
1.90599997e-06,1.2973983e-20,-1.2876879
1.90649996e-06,8.33649335e-23,-0.610512733
1.90699996e-06,6.7433045e-24,2.68847466
1.90750006e-06,1.4536627e-23,0.800529599
