Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
6.84605027e-07,2.10336726e-13,0.767368793
6.8715002e-07,1.46306822e-13,-1.64209688
6.89695014e-07,2.49357386e-14,2.86536264
6.92240008e-07,6.27883433e-14,2.81383371
6.94785001e-07,1.33850789e-13,1.6270988
6.97329995e-07,2.56564077e-14,0.268386245
6.99874988e-07,6.25303057e-15,-2.32014513
7.02419982e-07,8.07767888e-15,0.0153131057
7.04964975e-07,1.04738538e-14,-2.88865089
7.07510026e-07,8.02084094e-14,-0.325239599
7.10055019e-07,1.99221157e-17,2.17174101
7.12600013e-07,4.99727502e-17,3.00988793
7.15145006e-07,1.16359404e-16,-1.75076389
7.1769e-07,1.13622201e-18,0.265980303
7.20234993e-07,1.59184818e-20,1.94446945
7.22779987e-07,4.48104837e-20,-2.14307213
7.25324981e-07,1.14903297e-19,2.75265551
7.27869974e-07,1.05213219e-19,0.382431149
7.30415024e-07,3.20444955e-20,-2.46214461
7.32960018e-07,3.82418102e-20,-0.513219714
7.35505012e-07,1.29455583e-21,2.7868495
7.38050005e-07,3.13348557e-21,1.17299104
7.40594999e-07,3.13652484e-23,3.09333253
7.43139992e-07,2.45997547e-25,-2.64176655
7.45684986e-07,2.8633588e-24,2.98438811
7.48229979e-07,2.03200573e-25,-2.67489362
7.50774973e-07,2.2625788e-25,-0.887844443
7.53320023e-07,4.31752048e-26,1.26202273
7.55865017e-07,1.49647049e-27,-0.0974086002
7.5841001e-07,1.79541372e-27,1.49135828
7.60955004e-07,8.83430325e-28,-0.214739427
7.63499997e-07,6.12545794e-27,1.12445295
7.66044991e-07,3.19456455e-28,-0.96377492
7.68589985e-07,3.41867515e-28,-2.10845637
7.71134978e-07,5.07800093e-30,-2.73298621
7.73679972e-07,2.06759575e-33,-2.51261902
7.76225022e-07,9.52476727e-35,-3.03525925
7.78770016e-07,8.54762804e-38,2.83486342
8.06765001e-07,3.78130945e-22,1.72756195
8.09309995e-07,7.94810731e-24,-0.521348119
8.11854989e-07,8.40371326e-22,-0.351737231
8.14399982e-07,9.54065898e-22,-0.613714278
8.16944976e-07,2.67223666e-23,-2.94221187
8.19490026e-07,4.5558293e-21,1.48070228
8.2203502e-07,1.94414757e-22,2.60186458
8.24580013e-07,3.95674606e-22,-3.01162887
8.27125007e-07,1.04926301e-22,2.69129944
8.2967e-07,2.81100928e-22,-1.74683785
8.32214994e-07,1.00941809e-25,1.2385
8.34759987e-07,3.23795932e-27,-2.20614982
8.37304981e-07,8.29163012e-28,1.28708839
8.39849974e-07,1.67855118e-27,-2.15242195
8.42395025e-07,6.39110704e-29,-1.86996067
8.44940018e-07,5.56269427e-28,-2.26231956
8.47485012e-07,1.05376607e-28,-1.45606244
8.50030005e-07,7.69350272e-29,2.68040466
8.52574999e-07,1.53144241e-30,0.245795578
8.55119993e-07,4.64610437e-29,-0.174749479
8.57664986e-07,3.82370129e-29,-3.11489201
8.6020998e-07,3.05430762e-29,3.07475066
8.62754973e-07,5.65081999e-31,2.6209774
8.65300024e-07,6.97281897e-35,1.51228452
9.26379983e-07,1.24332115e-28,2.33319831
9.28924976e-07,8.41749876e-31,2.86049581
9.31470026e-07,8.61617047e-30,-0.304512769
9.3401502e-07,7.18951454e-29,-2.93805647
9.36560014e-07,1.2354519e-27,-2.04714251
9.39105007e-07,1.99009681e-29,0.393419474
9.41650001e-07,3.01720453e-32,-1.35554504
9.44194994e-07,4.49534619e-30,-0.998425066
9.46739988e-07,6.01975848e-30,-1.14364386
9.49284981e-07,5.45201333e-31,2.47436762
9.51829975e-07,2.42345293e-32,2.66706824
9.54374968e-07,4.89179281e-40,-0.870397031
