Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60335003e-06,2.39595433e-14,3.08110595
1.60589502e-06,1.61281971e-13,-1.64521074
1.79931499e-06,1.75019427e-16,-2.72021341
1.9214749e-06,1.63323478e-12,1.51770246
1.9240199e-06,1.13001547e-14,-2.44586086
1.92656489e-06,1.40696011e-16,3.03542495
1.92911011e-06,4.45504475e-15,-1.34192181
1.93165511e-06,3.73386353e-15,2.46106815
1.9342001e-06,8.20409516e-15,0.263374567
1.93674509e-06,1.39509833e-14,2.99234295
1.93929009e-06,1.71888049e-17,-2.93904638
1.94183508e-06,6.97009479e-15,1.47641504
1.94438007e-06,3.22754514e-15,1.65240824
1.94692507e-06,5.349066e-15,-0.154844582
1.94947006e-06,7.97320633e-19,0.791724324
1.95201505e-06,3.92178762e-19,2.40656924
1.95456005e-06,6.02718174e-20,0.243542984
1.95710504e-06,2.00539848e-18,-0.237497821
1.95965004e-06,2.42209584e-25,2.17743754
1.96219503e-06,1.19901254e-22,1.05725729
1.96474002e-06,2.41188646e-29,2.71029115
1.96728502e-06,5.93292951e-29,-3.12479544
1.96983001e-06,5.82575235e-31,-2.24547577
1.972375e-06,1.2289945e-33,0.839778543
1.97492e-06,7.40067287e-37,-1.92340362
2.07417497e-06,6.14536805e-24,0.116061553
2.07671997e-06,1.75735057e-24,-0.245649666
2.07926496e-06,1.14718778e-25,-0.718636811
2.08180995e-06,2.42863905e-24,-1.65477681
2.08435495e-06,7.02749795e-24,-1.8252517
2.08689994e-06,3.76780245e-26,0.246453494
2.08944493e-06,3.63563824e-24,0.759548485
2.09198993e-06,6.03640999e-25,-0.633606374
2.09453492e-06,3.02139426e-24,0.462434202
2.09707991e-06,3.44190515e-25,-2.14828277
2.09962491e-06,1.20094249e-25,2.68994927
2.1021699e-06,6.3438229e-30,-2.58563113
2.10471489e-06,1.09208541e-30,1.17175412
2.10725989e-06,3.29425201e-30,-1.36549711
2.10980511e-06,9.70114705e-31,3.13627338
2.1123501e-06,4.34793686e-36,2.7346487
2.1148951e-06,9.20616339e-36,2.34091473
2.22433005e-06,3.4595284e-29,-1.61246014
2.22687504e-06,2.71987458e-28,3.14091015
2.22942003e-06,1.75327087e-31,-1.73589098
2.23196503e-06,7.77949141e-33,2.3012259
2.23451002e-06,2.04755999e-31,-2.96131611
2.23705501e-06,6.61345206e-31,-2.34232426
2.23960001e-06,3.63925851e-32,0.132071242
2.242145e-06,1.09392916e-34,-2.55188656
2.24468999e-06,2.19718996e-32,-2.76146722
2.24723499e-06,4.71342496e-32,-2.70056796
2.24977998e-06,3.75634914e-33,-2.23372674
2.25232498e-06,6.58032943e-37,2.00317001
2.25486997e-06,4.07777853e-43,-0.723441422
3.36449011e-06,9.74039503e-21,1.36774814
3.36703511e-06,5.09448641e-25,3.03804159
3.3695801e-06,3.41021526e-27,-2.16684675
3.37212509e-06,1.34336096e-29,1.31363273
3.37467009e-06,1.35771778e-28,-0.925911963
3.37721508e-06,7.22819227e-27,-0.24304767
3.37976007e-06,2.68694401e-29,0.227063686
3.38230507e-06,5.46858385e-34,1.20942247
3.38485006e-06,2.29096537e-37,-1.82402658
3.51718995e-06,7.16202733e-27,3.02451491
3.51973495e-06,2.96827121e-37,-0.110031821
3.52227994e-06,4.8414342e-35,2.83855629
4.77951016e-06,1.19606261e-29,-0.0316278785
4.78205493e-06,1.35902193e-32,-1.65750754
4.78460015e-06,3.14842497e-32,-3.13874125
4.78714492e-06,6.95172665e-32,1.28505695
4.78969014e-06,1.17822765e-33,-0.517601967
4.7922349e-06,3.41463807e-33,-0.131545991
4.79478012e-06,8.99508955e-37,1.11236608
4.79732489e-06,2.84488353e-32,0.310066879
4.79987011e-06,1.122745e-32,-0.711284101
4.80241488e-06,2.5605984e-34,0.630982459
4.8049601e-06,1.63232522e-38,1.08747935
4.80750487e-06,1.87773994e-43,1.56375933
