Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60349998e-06,2.39595433e-14,3.08110595
1.60499997e-06,1.61281971e-13,-1.64521074
1.79949996e-06,1.75019427e-16,-2.72021341
1.94499989e-06,9.98194871e-16,-0.147649273
1.94549989e-06,7.14146776e-15,-0.799686074
1.94600011e-06,2.62345399e-14,3.07916927
1.94650011e-06,1.90734134e-14,-3.11695099
1.9470001e-06,2.52728221e-14,0.821822941
1.9475001e-06,2.84938766e-14,0.643112123
1.94800009e-06,7.42832851e-14,-1.80251253
1.94850008e-06,2.73166961e-16,-1.75095987
1.94900008e-06,7.98870495e-16,-0.638738632
1.94950007e-06,2.80477093e-16,2.48925328
1.95000007e-06,8.86161072e-18,-2.93576407
1.95050006e-06,1.6486244e-17,-1.13091063
1.95100006e-06,6.30495716e-18,-1.85176301
1.95150005e-06,4.97335881e-19,2.4389329
1.95200005e-06,8.68181557e-18,1.02579021
1.95250004e-06,4.83792401e-19,-0.518505931
1.95300004e-06,9.15145261e-20,3.10840678
1.95350003e-06,5.08196019e-20,1.4471879
1.95400003e-06,4.07084054e-21,1.78893626
1.95450002e-06,5.78246383e-21,-0.136788726
1.95500002e-06,1.95477016e-21,-1.22366166
1.95550001e-06,1.76465559e-22,2.89556503
1.95600001e-06,9.99718452e-22,-1.98837149
1.9565e-06,2.85366661e-19,-0.734444916
1.95699999e-06,4.74713848e-20,-0.330887347
1.95749999e-06,5.36312956e-23,-0.16071637
1.95799998e-06,2.50746065e-22,-0.30899933
1.95849998e-06,1.60878784e-24,-2.06393552
1.95899997e-06,5.01455409e-24,1.14666283
1.95949997e-06,3.75118984e-26,1.87864816
1.95999996e-06,1.85266025e-27,-0.866461694
1.96049996e-06,3.99222263e-28,-2.95756531
1.96099995e-06,1.23518253e-29,-2.13064504
1.96149995e-06,6.95957271e-28,1.20300019
1.96199994e-06,2.20570639e-21,3.08982062
1.96249994e-06,2.41708831e-20,1.97710776
1.96299993e-06,4.58335456e-22,2.24625349
1.96349993e-06,2.2300032e-21,-1.90867567
1.96399992e-06,2.79033809e-21,1.16798544
1.96449992e-06,1.90508994e-23,2.50228453
1.96499991e-06,2.04685663e-22,1.76629174
1.96549991e-06,2.98982208e-24,1.58336568
1.9659999e-06,1.67211728e-25,-0.421383083
1.96649989e-06,5.72659276e-25,-1.09900641
1.96699989e-06,3.80527617e-25,0.0537996292
1.96750011e-06,2.17666707e-26,0.153290942
1.96800011e-06,1.64957274e-25,-3.1359365
1.9685001e-06,4.73854494e-27,-1.78871799
1.9690001e-06,1.12337144e-27,-2.23923278
1.96950009e-06,3.23605968e-28,-0.664117157
1.97000008e-06,6.27718967e-31,-2.9059217
1.97050008e-06,1.13040088e-29,-0.467319787
1.97100007e-06,2.79397569e-36,0.574893653
1.97150007e-06,6.02752008e-32,2.4757514
1.97250006e-06,2.50877126e-30,-0.734822512
1.97300005e-06,3.42385832e-35,1.24345982
1.97350005e-06,5.46646531e-41,-0.703892469
1.978e-06,2.20660508e-30,-1.03252196
1.97849999e-06,3.48679197e-30,-3.01254034
1.97899999e-06,3.09893857e-27,1.04711986
1.97949998e-06,3.33409433e-28,1.74871361
1.97999998e-06,4.85249846e-28,-2.6740129
1.98049997e-06,8.12227792e-29,2.23686981
1.98099997e-06,2.53017119e-31,2.75056148
1.98149996e-06,7.34817929e-31,1.9454118
1.98199996e-06,7.56144323e-32,-1.80550694
1.98249995e-06,6.87515707e-31,1.42664325
1.98299995e-06,3.76185611e-32,0.517044783
1.98549992e-06,7.07951733e-36,-2.03845644
1.98599992e-06,6.50058322e-38,-1.92124534
