Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
7.50774973e-07,3.84812137e-13,-1.69399941
7.53320023e-07,4.19286811e-13,0.350012511
7.55865017e-07,8.19401296e-13,-1.97022426
7.5841001e-07,6.90747169e-14,1.28203225
7.60955004e-07,6.99723495e-18,0.638384223
7.63499997e-07,3.10328573e-18,1.73568952
7.66044991e-07,2.39662968e-18,2.21065235
7.68589985e-07,1.05540823e-22,-2.89935517
7.71134978e-07,1.88348729e-23,-0.517125845
7.94039977e-07,1.3688809e-19,-2.04418874
7.96585027e-07,1.64443395e-21,-0.581369221
7.99130021e-07,3.19583305e-22,-1.91589785
8.01675014e-07,4.63431288e-24,1.81763041
8.04220008e-07,5.12801477e-28,2.87992406
8.34759987e-07,2.89758687e-26,-0.631674409
8.37304981e-07,1.44396521e-27,-1.27394128
8.39849974e-07,2.73946931e-32,0.232289359
8.75479998e-07,6.7930259e-22,-2.73247027
8.78024991e-07,2.51396001e-21,-2.63312984
8.80569985e-07,3.08302272e-23,0.869436204
8.83114978e-07,6.13502056e-25,-1.97385573
8.85659972e-07,6.71676795e-29,-1.30068398
9.16200008e-07,4.02173885e-27,1.98980439
9.18745002e-07,1.14147364e-26,0.656288266
9.21289995e-07,7.3330187e-31,0.583854496
1.00018497e-06,1.24145798e-29,-2.18897104
1.00272996e-06,3.5250908e-31,0.951606631
