Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60335003e-06,2.39595433e-14,3.08110595
1.60589502e-06,1.61281971e-13,-1.64521074
1.79931499e-06,1.75019427e-16,-2.72021341
1.95201505e-06,4.51906392e-15,2.3330586
1.95456005e-06,2.84903496e-14,-1.00912309
1.95710504e-06,8.04784903e-16,2.30132532
1.95965004e-06,4.55041154e-17,-1.9131335
1.96219503e-06,6.40193971e-21,-2.94368863
1.96474002e-06,4.94470062e-19,3.0866158
1.96728502e-06,1.34154616e-23,-0.900082052
1.96983001e-06,5.32461201e-20,-2.51013422
1.972375e-06,2.76889042e-23,2.62022853
1.97492e-06,4.62254583e-24,0.898382008
1.97746499e-06,2.92788363e-27,-0.11792051
1.98000998e-06,1.10300538e-30,0.860001564
1.98509997e-06,3.52830516e-30,-2.11244392
1.98764496e-06,3.07720734e-27,1.91571105
1.99018996e-06,2.34591752e-30,2.3718462
1.99273495e-06,8.57212467e-36,-1.17488527
2.10471489e-06,3.52187188e-24,-0.23054029
2.10725989e-06,8.71834242e-24,-0.242198139
2.10980511e-06,1.43998361e-25,1.06936383
2.1123501e-06,5.13271924e-27,1.80089855
2.1148951e-06,1.21350996e-31,1.29785883
2.12253008e-06,1.69143798e-28,1.30735469
2.12507507e-06,3.04603206e-32,0.988376856
2.25741496e-06,2.63557532e-30,0.0218192544
2.25995996e-06,3.83113244e-30,-2.93181849
3.36703511e-06,8.68190146e-23,2.50596023
3.3695801e-06,8.79413361e-25,-1.35276139
3.37212509e-06,7.29611442e-27,-0.696589947
3.37467009e-06,1.05240674e-29,2.02299142
3.37721508e-06,1.74795037e-33,-2.16015124
3.38485006e-06,5.79221264e-28,2.04951262
3.38739505e-06,4.27031201e-37,2.46107578
3.51973495e-06,3.40861843e-28,-1.53269958
3.52227994e-06,7.42642319e-35,2.4497571
4.77951016e-06,2.22488896e-31,-0.901805639
4.78205493e-06,2.70862533e-31,0.830715239
4.78460015e-06,1.85652568e-39,-2.19423795
4.78714492e-06,1.81734252e-37,1.33271313
