Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
7.07510026e-07,1.99812592e-13,-0.448188394
7.10055019e-07,1.57765335e-13,-2.6158185
7.12600013e-07,3.70497497e-14,-0.958792031
7.15145006e-07,1.56209626e-13,0.0206160415
7.1769e-07,1.11450284e-13,-2.53476739
7.20234993e-07,2.37662131e-14,0.704866827
7.22779987e-07,3.6044701e-14,-0.96562022
7.25324981e-07,1.0655318e-13,-1.14107728
7.27869974e-07,3.98420277e-14,-0.0221085753
7.30415024e-07,8.16757347e-14,-2.16124845
7.32960018e-07,2.06634333e-17,-2.77529597
7.35505012e-07,2.26565742e-18,-1.37248731
7.38050005e-07,1.91778268e-17,-0.492407054
7.40594999e-07,7.04535681e-19,-1.68744099
7.43139992e-07,1.81669477e-20,0.473591864
7.45684986e-07,9.46449232e-21,0.84693861
7.48229979e-07,3.83123855e-20,-1.81439161
7.50774973e-07,9.45258302e-21,2.45188093
7.53320023e-07,2.83712873e-21,-2.80054164
7.55865017e-07,9.24565749e-20,1.40165985
7.5841001e-07,5.55683467e-22,-2.02792454
7.60955004e-07,5.98212697e-21,-0.175580204
7.63499997e-07,3.05842911e-24,2.23403502
7.66044991e-07,6.24217844e-25,1.16180289
7.68589985e-07,3.34190614e-29,1.35325956
7.71134978e-07,1.67411309e-25,-1.63652062
7.73679972e-07,7.16316209e-26,-2.64195704
7.76225022e-07,5.23987182e-27,0.0666487515
7.78770016e-07,1.01605641e-27,3.11756754
7.81315009e-07,9.12301748e-28,-1.47084057
7.83860003e-07,5.52892271e-27,0.993601441
7.86404996e-07,1.25604842e-28,-0.548232913
7.8894999e-07,2.94564957e-27,-1.56902993
7.91494983e-07,1.00728038e-28,1.57311285
7.94039977e-07,3.50620078e-32,2.97994113
7.96585027e-07,7.39322672e-34,-1.08795369
7.99130021e-07,2.66405716e-37,3.01959848
8.2967e-07,5.03282049e-22,1.36122417
8.32214994e-07,7.4648314e-24,0.703863025
8.34759987e-07,1.4614232e-23,-0.455732107
8.37304981e-07,1.72342232e-21,0.485743403
8.39849974e-07,1.54658011e-22,-2.5193541
8.42395025e-07,1.70774871e-21,1.5394963
8.44940018e-07,2.10064155e-22,-1.18727875
8.47485012e-07,3.82055232e-22,-0.99638623
8.50030005e-07,1.45352062e-21,2.49523973
8.52574999e-07,6.59880254e-23,-0.0488518104
8.55119993e-07,4.12265094e-25,2.03890324
8.57664986e-07,6.81036192e-26,-1.6575762
8.6020998e-07,2.81273715e-28,-1.02441919
8.62754973e-07,8.60483736e-28,2.57645869
8.65300024e-07,2.08517257e-28,-0.338677734
8.67845017e-07,6.48228345e-28,-1.01640797
8.70390011e-07,7.40938352e-29,1.11251104
8.72935004e-07,1.22217733e-28,-2.79190922
8.75479998e-07,6.67610314e-29,-1.27369738
8.78024991e-07,2.00392905e-29,-1.46396494
8.80569985e-07,5.03816111e-29,-2.81334019
8.83114978e-07,6.52555696e-30,-1.59487414
8.85659972e-07,2.06268367e-31,-2.21797395
8.88205022e-07,8.20235449e-35,-1.18832898
8.90750016e-07,4.72493897e-37,-1.77145541
9.51829975e-07,5.58012397e-30,2.28037357
9.54374968e-07,1.65126811e-29,-2.42666245
9.56919962e-07,1.30899865e-31,-1.64374793
9.59464955e-07,6.04676175e-30,-0.483769357
9.62009949e-07,7.33028341e-28,0.140668735
9.64555056e-07,6.74447501e-30,1.34589279
9.6710005e-07,8.01933942e-32,-3.01680374
9.69645043e-07,4.47675746e-33,-3.02658582
9.72190037e-07,2.1668704e-29,-2.62246752
9.7473503e-07,4.1347237e-30,-0.648427606
9.77280024e-07,7.69988437e-31,0.266643018
9.79825018e-07,6.43099306e-40,-2.43230057
9.82370011e-07,2.60989036e-40,1.88401401
