Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60335003e-06,2.39595433e-14,3.08110595
1.60589502e-06,1.61281971e-13,-1.64521074
1.79931499e-06,1.75019427e-16,-2.72021341
1.94947006e-06,5.60871933e-13,-0.770724535
1.95201505e-06,3.2465814e-14,-0.491343796
1.95456005e-06,6.39213467e-16,1.33838332
1.95710504e-06,5.81551942e-15,0.598691761
1.95965004e-06,8.48298669e-15,1.18610382
1.96219503e-06,1.40657419e-14,-0.536314249
1.96474002e-06,3.46010079e-15,2.07957101
1.96728502e-06,1.45615724e-16,-1.33481658
1.96983001e-06,2.41118347e-15,0.0633491576
1.972375e-06,3.56714903e-16,1.68625653
1.97492e-06,5.30755673e-15,-0.116786204
1.97746499e-06,6.36352423e-19,-2.32882619
1.98000998e-06,2.77921991e-20,2.96269774
1.98255498e-06,7.70910488e-20,-1.86215544
1.98509997e-06,1.88041562e-18,-0.230379954
1.98764496e-06,1.62204505e-24,-2.07443762
1.99018996e-06,9.54215365e-23,1.14201641
1.99273495e-06,7.57825447e-30,0.973249972
1.99527994e-06,2.29289363e-29,-0.996077657
1.99782494e-06,1.39739345e-30,0.0256878287
2.00036993e-06,1.52905528e-32,-2.34740829
2.00291493e-06,2.9154093e-37,-0.478915125
2.1021699e-06,1.67800007e-23,1.39164364
2.10471489e-06,1.70567702e-24,-0.38291952
2.10725989e-06,1.88141847e-25,0.499939591
2.10980511e-06,4.33746491e-25,1.71763849
2.1123501e-06,7.79943622e-24,2.00765395
2.1148951e-06,3.64524933e-24,-0.942528963
2.11744009e-06,9.52539288e-25,0.303409696
2.11998508e-06,1.87854329e-26,-2.53406525
2.12253008e-06,1.04725758e-23,1.81869566
2.12507507e-06,8.98357067e-25,-1.58206975
2.12762006e-06,5.63451297e-25,2.79687977
2.13016506e-06,3.91910554e-29,-0.559699893
2.13271005e-06,8.58187989e-31,-1.70969725
2.13525504e-06,3.93948368e-30,2.03522563
2.13780004e-06,9.51953599e-31,-0.242844388
2.14034503e-06,1.12796099e-34,0.405593604
2.14289003e-06,8.46171114e-36,1.16653585
2.25486997e-06,3.12801019e-28,2.30798888
2.25741496e-06,2.53260234e-31,2.57462192
2.25995996e-06,1.60138055e-33,-0.988608003
2.26250495e-06,3.43918332e-31,-0.510653257
2.26504994e-06,7.06465522e-31,-2.36339283
2.26759494e-06,2.1901404e-31,-0.416843712
2.27013993e-06,5.81512578e-35,2.59778309
2.27268492e-06,7.86960034e-36,-0.364400446
2.27522992e-06,1.00201431e-31,1.3796767
2.27777491e-06,8.63054858e-33,2.21566629
2.2803199e-06,5.78129308e-36,-2.71125913
2.2828649e-06,2.81660991e-43,-2.36966538
3.36449011e-06,6.7641495e-21,-0.201150581
3.36703511e-06,5.44601874e-27,0.530584693
3.3695801e-06,1.86669327e-28,-0.743323445
3.37212509e-06,5.25993661e-30,1.38450313
3.37467009e-06,1.70697289e-28,2.99461293
3.37721508e-06,5.28774543e-27,0.348939747
3.37976007e-06,2.80100438e-31,1.85896266
3.38230507e-06,2.38829572e-34,1.19341803
3.38485006e-06,1.72401896e-37,-1.42049742
3.51718995e-06,7.45030206e-27,2.05267739
3.51973495e-06,3.10726791e-37,-1.10784543
3.52227994e-06,4.51863788e-35,2.32348108
4.74896979e-06,2.3857286e-30,-0.778700709
4.75151501e-06,5.53988896e-30,0.0749576762
4.75405977e-06,2.38853711e-33,-0.0963420793
4.75660499e-06,6.92572213e-31,2.47099805
4.75915022e-06,3.73428107e-31,-0.79842782
4.76169498e-06,6.21018831e-35,0.283327401
4.7642402e-06,7.63113006e-33,-0.68942374
4.76678497e-06,2.49043741e-33,-1.11843824
4.76933019e-06,2.3435562e-32,0.555444479
4.77187496e-06,1.31626112e-32,-0.556520402
4.77442018e-06,4.02101576e-35,-0.44961381
4.77696494e-06,9.28241122e-39,0.837943137
4.77951016e-06,1.33123354e-43,1.2130065
