Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60657203e-06,1.86973036e-13,-2.01126933
1.80130803e-06,1.75019427e-16,-2.72021341
1.80942197e-06,7.11826214e-13,-2.65172553
1.81753603e-06,1.46045099e-14,1.52410638
1.82564997e-06,5.39689202e-15,2.66049314
1.83376403e-06,9.07764617e-15,-0.306066811
1.84187797e-06,1.96344863e-18,2.12767124
1.84999203e-06,3.9517229e-21,-2.58910823
1.85810597e-06,1.23014213e-28,-0.00604531728
1.86622003e-06,5.19910922e-37,0.381064832
1.95547409e-06,6.18894591e-24,-0.512310445
1.96358792e-06,1.69079382e-23,0.607431352
1.97170198e-06,3.91376204e-23,0.399626166
1.97981603e-06,3.46604971e-23,1.38349521
1.98793009e-06,2.40113297e-26,2.32028675
1.99604392e-06,4.52957357e-30,-2.96190047
2.00415798e-06,4.57875784e-36,0.507774651
2.10964004e-06,3.28636449e-28,-0.493719518
2.11775409e-06,2.48311728e-30,2.08186364
2.12586792e-06,3.04004985e-31,-1.41535878
2.13398198e-06,5.92875152e-32,-2.41918659
2.14209604e-06,1.26116862e-44,-1.91155303
3.36731e-06,1.18751107e-20,2.69403553
3.37542406e-06,7.84285185e-28,2.55785656
3.38353789e-06,1.49457532e-28,-1.81115341
3.51336189e-06,4.12951851e-27,-1.01641059
3.52147595e-06,1.10090304e-34,2.20516205
4.8927418e-06,9.48770191e-30,-1.6993835
4.90085586e-06,3.22884506e-31,-0.55630815
4.90896991e-06,5.90451033e-33,-1.9984448
4.91708397e-06,3.02889923e-32,-2.04120564
4.92519803e-06,1.27738164e-39,-2.51679587
