time,range,angle,x,y,velocity
1,293.74414515985,3.01,-37.73261730429584,15.084191918659464,0.0
2,293.36265925704504,3.01,-37.34823575249777,15.039994798608149,0.0
3,292.98117335424,3.01,-36.963839855189576,14.995796029075386,0.0
4,292.59968745143505,3.03,-36.56790981872047,15.05162868615055,0.0
6,292.21820154863,3.04,-36.17773529166942,15.05724035135026,0.0
7,291.836715645825,3.05,-35.78755302838698,15.06271514847232,0.0
10,291.073743840215,3.06,-35.01293323374472,15.023510453252657,0.0
11,290.69225793741003,3.05,-34.63424034624359,14.92928859338705,0.0
12,290.310772034605,3.08,-34.23251594521372,15.033637988908415,0.0
13,289.9292861318,3.11,-33.83074559605893,15.137574010183506,0.0
14,289.5478002289951,3.09,-33.45782996590577,14.99374559624428,0.0
15,289.5478002289951,3.1,-33.45206715369318,15.04321781770426,0.0
16,288.784828423385,3.1,-32.683106855511085,14.953576832259545,0.0
17,288.40334252058005,3.12,-32.287099631715364,15.007292505702708,0.0
18,288.02185661777503,3.12,-31.902597480482427,14.9623334020406,0.0
19,288.02185661777503,3.13,-31.89684017441948,15.011534184705347,0.0
20,287.64037071497006,3.13,-31.51233069668939,14.966506195883,0.0
