time,measurement_id,x,y,is_validated_for_T0
2,0,293.74414515985,3.01,0
3,0,293.36265925704504,3.01,1
4,0,292.98117335424,3.01,1
5,0,292.59968745143505,3.03,1
7,0,292.21820154863,3.04,1
8,0,291.836715645825,3.05,1
11,0,291.073743840215,3.06,1
12,0,290.69225793741003,3.05,1
13,0,290.310772034605,3.08,1
14,0,289.9292861318,3.11,1
15,0,289.5478002289951,3.09,1
16,0,289.5478002289951,3.1,1
17,0,288.784828423385,3.1,1
18,0,288.40334252058005,3.12,1
19,0,288.02185661777503,3.12,1
20,0,288.02185661777503,3.13,1
21,0,287.64037071497006,3.13,1
