Time,Range,Angle,X,Y,Velocity
0,293.74414515985,2.99,-37.74414833597484,14.983752274348106,4.297362133007631
1,293.74414515985,3.03,-37.72105121327019,15.184627531762388,4.297362133007631
2,293.36265925704504,3.01,-37.34823575249777,15.039994798608149,4.297362133007631
3,292.98117335424,3.01,-36.963839855189576,14.995796029075386,4.297362133007631
4,292.59968745143505,3.01,-36.57942955464529,14.951595603423726,4.297362133007631
5,292.21820154863,3.04,-36.17773529166942,15.05724035135026,4.297362133007631
6,292.21820154863,3.04,-36.17773529166942,15.05724035135026,4.297362133007631
7,291.836715645825,3.04,-35.793319207954255,15.01283530753598,4.297362133007631
8,291.45522974302,3.05,-35.40313012354642,15.018241325646216,4.297362133007631
9,291.073743840215,3.07,-35.007165202899046,15.073254090980228,4.297362133007631
10,291.073743840215,3.07,-35.007165202899046,15.073254090980228,4.297362133007631
11,290.69225793741003,3.08,-34.616959594796924,15.078318212440323,4.297362133007631
12,290.310772034605,3.08,-34.23251594521372,15.033637988908417,4.297362133007631
13,289.9292861318,3.09,-33.84229549931837,15.038496372758253,4.297362133007631
14,289.9292861318,3.1,-33.83652487076614,15.088035695430477,4.297362133007631
15,289.5478002289951,3.1,-33.45206715369318,15.04321781770426,4.297362133007631
16,288.784828423385,3.1,-32.683106855511085,14.953576832259543,4.297362133007631
17,288.40334252058005,3.11,-32.29285619152165,14.958023609978241,4.297362133007631
18,288.40334252058005,3.12,-32.287099631715364,15.007292505702708,4.297362133007631
19,288.02185661777503,3.13,-31.89684017441948,15.011534184705347,4.297362133007631
20,287.64037071497006,3.14,-31.506572668280683,15.015638864081154,4.297362133007631
