Time,Range,Angle,X,Y,Velocity
0,293.515253618167,2.99,-37.5135118806316,14.957314705582696,5.309752355421477
1,293.210064895923,3.03,-37.18293465896903,15.122563260316639,5.309752355421477
2,292.90487617367904,3.03,-36.8754268513984,15.0870965052276,5.309752355421477
3,292.599687451435,3.02,-36.57367405144947,15.001612647430434,5.309752355421477
4,292.37079590975196,3.03,-36.33726597235557,15.02502712153845,5.309752355421477
5,292.065607187508,3.02,-36.0354861315725,14.93963532406989,5.309752355421477
6,291.684121284703,3.0,-35.66251399189832,14.795650770457932,5.309752355421477
7,291.45522974301997,3.06,-35.397363006393846,15.068053065658276,5.309752355421477
8,291.150041020776,3.06,-35.0898203619812,15.032419111727307,5.309752355421477
9,290.84485229853203,3.06,-34.782268320309754,14.996784068966889,5.309752355421477
10,290.539663576288,3.07,-34.46894971256529,15.010797634298392,5.309752355421477
11,290.234474854044,3.07,-34.161385009361425,14.97510672255855,5.309752355421477
12,290.005583312361,3.07,-33.9307052565527,14.948337816335247,5.309752355421477
13,289.700394590117,3.1,-33.60585202924511,15.06114517731379,5.309752355421477
14,289.54780022899496,3.1,-33.452067153693065,15.043217817704246,5.309752355421477
15,289.09001714562896,3.11,-32.98493612189117,15.03882475738537,5.309752355421477
16,288.784828423385,3.12,-32.671586665384496,15.052249841696892,5.309752355421477
17,288.479639701141,3.12,-32.363998245878065,15.016284114083902,5.309752355421477
18,288.250748159458,3.12,-32.13330058879097,14.989309076762723,5.309752355421477
19,288.02185661777503,3.13,-31.89684017441948,15.011534184705347,5.309752355421477
20,287.64037071497,3.14,-31.506572668280626,15.015638864081147,5.309752355421477
