u,v,i,j,X,Y
734,1855,0,0,0.0,0.0
3518,603,1,0,35.4,0.0
362,2080,2,0,-2.937182203389835,0.9914437473150126
1143,1829,3,0,3.118079096045201,1.080547431076462
1708,1741,4,0,7.5647245762711846,3.0327284885328507
1729,1461,5,0,9.149999999999999,2.0647654623614278e-07
2266,1326,6,0,14.440819209039546,1.3087171473754262
2466,1434,7,0,15.40550847457627,3.508604942104308
2370,1210,8,0,16.349999999999998,3.371747880871523e-07
2878,1132,9,0,21.694632768361583,2.6010399931434933
3355,990,10,0,27.79254943502825,3.7916613642981054
3371,780,11,0,30.867337570621466,1.4203771686775575
