Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60349998e-06,2.39595433e-14,3.08110595
1.60499997e-06,1.61281971e-13,-1.64521074
1.79350002e-06,8.78337008e-13,-0.432856649
1.79949996e-06,3.09568066e-10,-1.75493681
1.79999995e-06,2.938622e-12,-0.304212749
1.82650001e-06,2.53860168e-16,1.87616217
1.82700001e-06,1.9818087e-15,0.595296979
1.8275e-06,1.25458708e-15,-1.90001154
1.82799999e-06,5.5640472e-16,2.57884049
1.82849999e-06,2.24638072e-15,-0.719542325
1.82899998e-06,5.77586737e-16,1.96118701
1.82949998e-06,6.09515909e-16,2.16334009
1.82999997e-06,8.52508387e-18,-1.12729764
1.83049997e-06,1.88745741e-16,-0.654861271
1.83099996e-06,1.04263308e-11,-2.32805085
1.83149996e-06,7.20219833e-15,0.0642616078
1.83199995e-06,8.58420743e-18,2.0917244
1.83249995e-06,1.27692177e-17,0.386486143
1.83300006e-06,9.34379332e-18,-2.04140759
1.83350005e-06,1.52896296e-17,1.22431767
1.83400005e-06,5.83585642e-18,2.32918143
1.83450004e-06,6.03579176e-18,-1.97541428
1.83500003e-06,1.11382715e-14,-1.99098682
1.83550003e-06,2.83557578e-15,2.35441136
1.83600002e-06,2.78336681e-17,1.81556463
1.83650002e-06,1.39008817e-20,-0.0482684225
1.83700001e-06,2.23734307e-22,0.119647093
1.83750001e-06,1.07990337e-21,2.69436836
1.838e-06,2.84176659e-19,-3.07849956
1.8385e-06,1.84728353e-21,2.89564013
1.83899999e-06,3.84046872e-22,-0.458135664
1.83949999e-06,5.91276719e-22,-2.76331258
1.83999998e-06,3.80644698e-22,2.03711486
1.84049998e-06,1.57745713e-22,0.762864411
1.84099997e-06,5.17280686e-26,-0.365954995
1.84149997e-06,2.81826352e-26,-1.60734618
1.84199996e-06,2.95446282e-26,2.21798062
1.84249996e-06,1.76615403e-26,-0.405955344
1.84299995e-06,3.1338643e-28,-1.99481547
1.84349994e-06,2.16276787e-26,-3.1157496
1.84400005e-06,8.41393187e-27,0.690632582
1.84450005e-06,9.02337083e-27,-1.28908277
1.84500004e-06,8.15089221e-27,2.06671858
1.84550004e-06,2.48110483e-30,-0.667144477
1.84600003e-06,1.67886252e-33,1.50217676
1.84750002e-06,5.54123849e-21,-2.29272914
1.84800001e-06,1.97443246e-20,1.69258595
1.84850001e-06,1.56509014e-21,-0.451417774
1.849e-06,2.16261989e-22,-1.70112717
1.84949999e-06,8.58017422e-24,1.8367908
1.84999999e-06,8.47727789e-23,-1.77476656
1.85049998e-06,5.79539946e-23,0.602565825
1.85099998e-06,1.13946376e-22,1.97526836
1.85149997e-06,8.74647478e-24,1.99661791
1.85199997e-06,1.51884638e-21,-1.9701072
1.85249996e-06,2.24007598e-21,0.717351079
1.85299996e-06,1.68121752e-23,2.02464461
1.85349995e-06,1.28497787e-25,-1.7288214
1.85399995e-06,1.4034988e-26,1.19252264
1.85450006e-06,4.57705956e-27,-1.92461932
1.85500005e-06,1.13079978e-28,-1.55580401
1.85550005e-06,1.2072641e-26,2.02568173
1.85600004e-06,6.94737473e-27,-1.37340856
1.85650003e-06,1.38385289e-27,1.31718969
1.85700003e-06,9.27854667e-29,2.62373948
1.85750002e-06,4.39767277e-32,1.39762485
1.85800002e-06,1.49607194e-32,2.9877944
1.86800003e-06,6.30134281e-28,1.78397429
1.86850002e-06,1.45775286e-26,1.59213865
1.86900002e-06,2.22023085e-29,-2.44768667
1.86950001e-06,1.2187844e-31,3.08074808
1.87000001e-06,7.7867297e-38,-0.347474754
1.93849996e-06,2.30757461e-20,0.351207286
