Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
7.55865017e-07,3.1677536e-13,-0.880066991
7.5841001e-07,4.35393366e-13,1.88248599
7.60955004e-07,1.46826095e-12,2.23840165
7.63499997e-07,2.28026521e-15,0.145672321
7.66044991e-07,2.45792894e-16,2.00457048
7.68589985e-07,1.31161883e-18,0.179946125
7.71134978e-07,2.31335069e-19,1.68397498
7.73679972e-07,1.41082951e-22,1.43978572
7.76225022e-07,2.01747548e-24,-0.0316010155
7.99130021e-07,1.61766879e-19,0.535683692
8.01675014e-07,1.71025266e-21,-2.12657237
8.04220008e-07,1.08812255e-22,2.92548275
8.06765001e-07,3.99776193e-25,0.511575937
8.09309995e-07,7.14418465e-28,2.12182951
8.37304981e-07,6.00648047e-30,2.25823975
8.39849974e-07,1.68347848e-26,1.95863938
8.42395025e-07,2.86983842e-27,3.05551648
8.44940018e-07,1.3018145e-31,-2.9197073
8.80569985e-07,1.36394732e-21,-2.09944272
8.83114978e-07,1.14104739e-21,-0.518580854
8.85659972e-07,4.37188607e-23,-1.60561681
8.88205022e-07,5.92119666e-24,-1.90089607
8.90750016e-07,2.19140542e-28,-2.10977364
9.21289995e-07,4.78277777e-27,2.79273844
9.23834989e-07,6.8343265e-27,2.26639748
9.26379983e-07,7.29035061e-31,2.83763981
1.00527495e-06,1.43802316e-28,-2.06732464
1.00781995e-06,3.8831075e-29,1.52416897
