Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60335003e-06,2.39595433e-14,3.08110595
1.60589502e-06,1.61281971e-13,-1.64521074
1.79931499e-06,1.75019427e-16,-2.72021341
2.00291493e-06,1.46319602e-13,1.82598877
2.00545992e-06,7.35348062e-14,3.00465298
2.00800491e-06,7.61103731e-16,-1.58859491
2.01054991e-06,9.26388623e-19,-1.34317601
2.0130949e-06,1.63905596e-20,-2.93460059
2.01563989e-06,3.32924869e-21,-0.103053704
2.01818489e-06,9.86984152e-21,-0.262314647
2.02073011e-06,2.44131097e-20,-0.636364996
2.0232751e-06,1.39207424e-24,-2.01605916
2.02582009e-06,1.18349439e-24,0.0904982686
2.02836509e-06,2.65137088e-29,0.748245895
2.03091008e-06,5.14336425e-31,1.35592186
2.03600007e-06,3.21544655e-27,0.775978863
2.03854506e-06,5.6312717e-29,-1.93873763
2.04109006e-06,1.66551421e-35,-2.01685858
2.15561499e-06,1.72463327e-23,-2.39338756
2.15815999e-06,2.04889675e-23,-0.0432024784
2.16070498e-06,2.00646417e-26,-2.47876525
2.16324997e-06,9.21099047e-29,1.09054279
2.16579497e-06,2.97257225e-31,1.49353492
2.17088495e-06,3.6958391e-29,0.580251217
2.17342995e-06,1.97558114e-28,-0.546040595
2.17597494e-06,3.50886144e-37,-2.42501926
2.30831506e-06,1.93327387e-30,2.45394778
2.31086005e-06,1.07731265e-32,0.336577922
3.36703511e-06,1.27964106e-22,3.02115512
3.3695801e-06,1.02086577e-23,2.44369769
3.37212509e-06,2.2697406e-27,1.64354372
3.37467009e-06,2.73699871e-31,-1.78864515
3.37721508e-06,1.03930282e-32,-1.97966039
3.38230507e-06,7.51859277e-29,0.761724591
3.38485006e-06,4.76515731e-30,1.63208783
3.51973495e-06,3.44301457e-28,2.00633645
3.52227994e-06,1.1023166e-35,-0.789261043
4.72860984e-06,5.41454856e-32,1.54443324
4.73115506e-06,7.59573558e-31,-2.80987501
4.73369983e-06,4.54050793e-35,1.21738839
4.73624505e-06,2.03640639e-37,-1.24202144
