Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60657203e-06,1.86973036e-13,-2.01126933
1.80130803e-06,1.75019427e-16,-2.72021341
1.99604392e-06,3.50036596e-13,1.40397954
2.00415798e-06,3.52750577e-15,-1.57092273
2.01227203e-06,7.94158658e-20,2.97547889
2.02038609e-06,2.77949914e-24,1.07420063
2.02849992e-06,2.22924831e-27,2.34397984
2.03661398e-06,6.26275272e-31,-1.81935871
2.15021009e-06,2.2914292e-23,-0.825410306
2.15832392e-06,4.60688336e-27,-1.76043403
2.16643798e-06,3.166751e-28,-1.35003889
2.30437604e-06,1.66934661e-30,-1.43024135
3.36731e-06,1.27803431e-22,-0.58903724
3.37542406e-06,1.17960108e-27,-2.2636323
3.38353789e-06,1.50105174e-28,1.7466737
3.52147595e-06,3.45986044e-28,0.153547749
4.73857608e-06,6.25085108e-31,-2.9638052
