Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
7.43139992e-07,2.46808081e-13,0.014070536
7.45684986e-07,1.8584487e-13,-2.57824779
7.48229979e-07,3.35549053e-14,-3.103863
7.50774973e-07,7.02578674e-13,-0.71960032
7.53320023e-07,1.07134828e-14,1.19674122
7.55865017e-07,4.5385716e-14,3.00608587
7.5841001e-07,5.66180962e-15,0.676808476
7.60955004e-07,8.38021279e-15,3.0721159
7.63499997e-07,2.17673048e-13,-1.70230818
7.66044991e-07,7.65485087e-14,-1.61202264
7.68589985e-07,1.1830813e-15,-1.33258653
7.71134978e-07,4.78759028e-18,0.575769126
7.73679972e-07,3.54992521e-19,-1.72595263
7.76225022e-07,1.51704989e-19,1.97468579
7.78770016e-07,9.44118344e-21,1.40675724
7.81315009e-07,5.06916878e-21,2.5191915
7.83860003e-07,1.32127159e-21,1.75378191
7.86404996e-07,5.44583468e-20,-0.43354708
7.8894999e-07,4.90484731e-22,-2.84818864
7.91494983e-07,5.29899978e-20,-2.0974071
7.94039977e-07,2.7423284e-22,1.37717235
7.96585027e-07,1.28107002e-21,1.29914594
7.99130021e-07,9.72145538e-25,0.299982905
8.01675014e-07,1.45097232e-25,1.24327052
8.04220008e-07,4.72356929e-27,-1.93904877
8.06765001e-07,9.03770329e-26,-2.73134041
8.09309995e-07,1.49691528e-27,0.159456566
8.11854989e-07,1.86556475e-27,-0.320808202
8.14399982e-07,6.05838771e-28,2.24178982
8.16944976e-07,1.6359991e-27,1.46883965
8.19490026e-07,8.96592989e-26,-0.946401298
8.2203502e-07,1.99216027e-28,1.43576467
8.24580013e-07,4.48627536e-29,1.89480412
8.27125007e-07,9.41334183e-31,-1.97976506
8.2967e-07,3.75649424e-33,2.47995639
8.32214994e-07,2.23908625e-36,-1.96976447
8.67845017e-07,2.71288733e-24,1.16783369
8.70390011e-07,1.08336856e-22,-0.912540317
8.72935004e-07,2.23213936e-23,-2.82900667
8.75479998e-07,1.27090071e-21,1.56087089
8.78024991e-07,3.34927818e-24,-0.666640937
8.80569985e-07,9.30829757e-24,-1.27793002
8.83114978e-07,1.25265568e-21,0.0537783019
8.85659972e-07,7.69306495e-23,-0.613677025
8.88205022e-07,1.05867264e-21,2.26494002
8.90750016e-07,5.09021524e-22,1.25062239
8.9329501e-07,5.06945949e-22,2.18036962
8.95840003e-07,5.56448369e-26,-1.21496475
8.98384997e-07,4.5956497e-28,-2.09574509
9.0092999e-07,9.39500308e-28,1.2073009
9.03474984e-07,1.83052539e-28,1.91824722
9.06019977e-07,1.14914847e-28,-2.36739659
9.08565028e-07,1.72103545e-30,2.82156563
9.11110021e-07,1.67989992e-29,1.58268356
9.13655015e-07,1.28190725e-29,-3.09667802
9.16200008e-07,1.97799009e-29,-1.48233509
9.18745002e-07,1.20093396e-28,-2.98848319
9.21289995e-07,1.70163614e-28,-1.86227322
9.23834989e-07,3.22585735e-33,-1.75258338
9.26379983e-07,5.42442358e-36,-2.68887711
9.28924976e-07,1.19082343e-41,1.04810679
9.92549985e-07,6.18290318e-29,-1.95818245
9.95094979e-07,3.73838861e-29,2.32095885
9.97639972e-07,1.70654179e-31,2.74974918
1.00018497e-06,3.53517344e-30,2.52359414
1.00272996e-06,1.81574229e-27,-2.36576843
1.00527495e-06,2.81884975e-30,1.278283
1.00781995e-06,9.27827189e-31,-0.0344070494
1.01036505e-06,2.9022597e-32,-1.91684151
1.01291005e-06,2.53195427e-30,-2.06527781
1.01545504e-06,1.0588256e-30,0.432837456
1.01800003e-06,4.87649675e-30,-0.720351279
1.02054503e-06,4.54248165e-34,0.709989309
1.02309002e-06,3.62071701e-40,-0.479845405
