Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60335003e-06,2.39595433e-14,3.08110595
1.60589502e-06,1.61281971e-13,-1.64521074
1.79931499e-06,3.4716636e-13,0.0163734686
1.80185998e-06,7.54215822e-14,-0.871848881
1.80440497e-06,1.32332561e-15,-2.95998311
1.80694997e-06,1.01930971e-14,0.109926507
1.80949496e-06,3.81929655e-15,-1.61125183
1.81203995e-06,2.93519752e-14,-2.37703538
1.81458495e-06,7.29039055e-15,0.898754299
1.81713006e-06,1.30969685e-15,-1.40845203
1.81967505e-06,2.19604854e-15,2.01666355
1.82222004e-06,2.39455605e-16,2.27094698
1.82476504e-06,7.80327747e-15,-2.73716736
1.82731003e-06,1.59903515e-18,2.43977737
1.82985502e-06,7.93373896e-19,2.28797746
1.83240002e-06,4.30865416e-21,-1.59022045
1.83494501e-06,7.02499162e-20,1.82877779
1.83749e-06,9.29349459e-24,0.309357613
1.840035e-06,4.19283797e-21,0.909450531
1.84257999e-06,3.55918248e-27,2.8242197
1.84512498e-06,4.17298283e-29,1.7870717
1.84766998e-06,6.43140592e-29,-2.09902239
1.85021497e-06,1.47126588e-29,-3.08212876
1.85275997e-06,3.81355019e-35,2.1882267
1.85530496e-06,5.62185384e-37,-2.65882516
1.95201505e-06,2.04547215e-23,3.06581926
1.95456005e-06,7.84618707e-25,-1.72852397
1.95710504e-06,1.33079371e-26,1.90586722
1.95965004e-06,4.19002145e-23,-2.93133378
1.96219503e-06,2.26934752e-24,1.11525416
1.96474002e-06,1.05959757e-24,-0.808720648
1.96728502e-06,2.37212289e-23,-0.972269773
1.96983001e-06,5.1812759e-25,0.660049677
1.972375e-06,2.34977556e-23,-0.90281868
1.97492e-06,2.24271578e-24,-2.76489091
1.97746499e-06,8.09644398e-29,2.34488773
1.98000998e-06,1.43542604e-28,-2.13083243
1.98255498e-06,1.77476532e-30,-0.413636833
1.98509997e-06,3.79462954e-31,-1.27663326
1.98764496e-06,1.27807325e-30,-2.90619779
1.99018996e-06,6.99810444e-36,2.01909399
1.99273495e-06,4.72108528e-36,0.919879496
2.1021699e-06,3.44562999e-28,2.66627526
2.10471489e-06,1.20496282e-31,0.573938251
2.10725989e-06,5.66618473e-33,1.60455215
2.10980511e-06,1.48023571e-30,-0.968139768
2.1123501e-06,5.97701967e-31,-1.58255172
2.1148951e-06,1.6717555e-31,2.25277662
2.11744009e-06,3.64824847e-33,1.38856161
2.11998508e-06,6.87835956e-36,-2.41426492
2.12253008e-06,2.55697786e-31,0.563529789
2.12507507e-06,5.14303501e-33,2.75671887
2.12762006e-06,3.06657989e-33,1.93128681
2.13016506e-06,1.01874398e-42,-0.810288727
3.36449011e-06,1.22354197e-20,1.5353688
3.36703511e-06,8.72301248e-24,-0.325085193
3.3695801e-06,3.88432096e-28,2.74441123
3.37212509e-06,1.17284405e-27,1.1672529
3.37467009e-06,4.09041443e-27,2.61237597
3.37721508e-06,1.35502352e-28,-2.58947635
3.37976007e-06,5.30492444e-28,1.37200284
3.38230507e-06,1.95800188e-34,1.12234795
3.38485006e-06,4.70174377e-33,1.02994108
3.51718995e-06,4.59849979e-27,-2.70927715
3.51973495e-06,4.81727624e-37,-0.553722084
3.52227994e-06,7.97969991e-35,0.445575058
4.90166985e-06,1.70384784e-30,-2.92968774
4.90421507e-06,5.25435894e-30,-1.93063009
4.90675984e-06,1.84825309e-33,0.0975070968
4.90930506e-06,1.87382369e-31,-0.156646788
4.91184983e-06,2.81457852e-31,-2.00180721
4.91439505e-06,5.89798505e-34,-1.63685811
4.91693982e-06,7.46315853e-33,-2.30595326
4.91948504e-06,2.7753969e-33,1.68370521
4.9220298e-06,3.32096373e-32,-2.01325798
4.92457502e-06,6.85137397e-33,2.23837852
4.92711979e-06,2.66369545e-35,2.52351642
4.92966501e-06,8.82233831e-39,-1.36187232
4.93220978e-06,3.50324616e-44,-0.573580265
