Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60657203e-06,1.86973036e-13,-2.01126933
1.80130803e-06,1.75019427e-16,-2.72021341
1.83376403e-06,8.32618588e-13,1.25279403
1.84187797e-06,4.05554674e-15,-2.11514544
1.84999203e-06,2.84554768e-15,-2.78230906
1.85810597e-06,8.09585112e-15,-0.0326316431
1.86622003e-06,4.6041121e-18,2.40902853
1.87433398e-06,9.02112427e-23,2.42554474
1.88244803e-06,2.72291809e-25,0.803624332
1.97981603e-06,4.87137623e-24,2.63167
1.98793009e-06,1.76377584e-24,0.671350539
1.99604392e-06,3.23377909e-23,3.11680245
2.00415798e-06,6.75820987e-23,2.50963688
2.01227203e-06,3.09807185e-28,0.637135863
2.02038609e-06,2.87962055e-30,0.114430659
2.02849992e-06,1.50691461e-38,-1.73787093
2.13398198e-06,3.07350565e-28,2.41780138
2.14209604e-06,5.54052006e-31,-0.59264034
2.15021009e-06,3.29869341e-31,1.19864547
2.15832392e-06,5.12779259e-32,-0.443189532
2.16643798e-06,1.40129846e-45,-1.37309647
3.36731e-06,1.99155478e-20,-0.492764831
3.37542406e-06,6.22406295e-28,-2.38710451
3.38353789e-06,1.00468272e-29,0.498847753
3.51336189e-06,3.3860641e-27,-2.37969518
3.52147595e-06,9.6473843e-35,1.53843343
4.86840008e-06,9.96550708e-30,0.00493578333
4.87651414e-06,2.38012027e-31,1.2173847
4.8846282e-06,6.22601465e-33,-0.689503253
4.8927418e-06,3.6710142e-32,-0.130689055
4.90085586e-06,8.90665304e-42,-1.99467695
