Time,Range,Angle,X,Y,Velocity
0,293.74414515985,3.02,-37.7284950019656,15.120023846532781,10.789412505668365
1,293.438956437606,3.0,-37.43252651477269,14.984297120383843,10.789412505668365
2,293.286362076484,3.01,-37.27300892118865,15.016791567702903,10.789412505668365
3,292.675984631996,3.03,-36.646442609847725,15.046163460039132,10.789412505668365
4,292.37079590975196,3.03,-36.33891686578937,15.010710216964512,10.789412505668365
5,292.065607187508,3.05,-36.01985388291905,15.075097680904527,10.789412505668365
6,291.91301282638597,3.08,-35.84874112584248,15.206991043285825,10.789412505668365
7,291.607824104142,3.06,-35.552784750658816,15.071592037520027,10.789412505668365
8,291.302635381898,3.09,-35.22790831665179,15.185323529336088,10.789412505668365
9,291.150041020776,3.15,-35.039255118830454,15.465944297177927,10.789412505668365
10,290.84485229853203,3.04,-34.795413533361454,14.883134566470055,10.789412505668365
11,290.463366395727,3.08,-34.38794739940403,15.037290928466795,10.789412505668365
12,290.158177673483,3.09,-34.07462058815821,15.051142317482224,10.789412505668365
13,290.08188049292204,3.12,-33.98039022681945,15.190892680572034,10.789412505668365
14,289.54780022899496,3.09,-33.459479298862504,14.979572663509693,10.789412505668365
15,289.318908687312,3.11,-33.21727154300612,15.05159638735067,10.789412505668365
16,289.013719965068,3.15,-32.886573648788385,15.213201852506721,10.789412505668365
17,288.708531242824,3.12,-32.596342274775566,15.029128739743719,10.789412505668365
18,288.40334252058,3.12,-32.288749643481026,14.993178109467884,10.789412505668365
19,288.098153798336,3.13,-31.975390920985262,15.00644084064777,10.789412505668365
20,287.792965076092,3.13,-31.667785187060417,14.970434257144603,10.789412505668365
