Time,Range,Angle,X,Y,Velocity,Power
0,286.49591300655504,3.18,-30.331606455780218,15.062041548899003,10.789412505668365,-19.070369583519646
1,286.11442710375,3.19,-29.941306050652088,15.065549497357836,10.789412505668365,-17.528464494222224
2,285.73294120094505,3.19,-29.556764837754827,15.020129024444394,10.789412505668365,-15.707520455803936
3,285.35145529814,3.2,-29.16644864455276,15.023430953713238,10.789412505668365,-14.266482181873458
4,285.35145529814,3.2,-29.16644864455276,15.023430953713238,10.789412505668365,-19.04128025936968
5,284.969969395335,3.21,-28.77612420625286,15.02659579366361,10.789412505668365,-16.599061038050095
6,284.58848349253003,3.22,-28.38579149441324,15.029623531114076,10.789412505668365,-15.615205696596092
7,284.206997589725,3.22,-28.001211507418247,14.983994290771541,10.789412505668365,-15.0690621112717
8,283.82551168692004,3.23,-27.610862648278328,14.986815912129977,10.789412505668365,-17.30550277590018
9,283.82551168692004,3.24,-27.60510113457815,15.035267645391194,10.789412505668365,-19.80146998674811
10,283.444025784115,3.25,-27.214743427922485,15.03788399545492,10.789412505668365,-20.660046659413766
11,283.06253988131004,3.26,-26.824377330401887,15.040363189491629,10.789412505668365,-17.695070635910785
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,281.15511036728503,3.29,-24.883940033543695,14.954750754259734,10.789412505668365,-21.197370959920097
18,,,,,,
19,,,,,,
20,280.39213856167504,3.32,-24.097341932490053,15.006037519417916,10.789412505668365,-21.269879371046155
21,280.01065265887,3.33,-23.70690783563782,15.007487112775024,10.789412505668365,-18.21531676897734
22,279.62916675606505,3.34,-23.316465038467584,15.008799426325332,10.789412505668365,-20.973074599045813
23,279.62916675606505,3.35,-23.31069975332781,15.056501645478718,10.789412505668365,-21.404468702418665
24,279.24768085326,3.35,-22.926013507355037,15.009974445722293,10.789412505668365,-14.957544557763864
25,278.866194950455,3.36,-22.535553208286103,15.011012156530796,10.789412505668365,-15.516205294984257
26,278.866194950455,3.36,-22.535553208286103,15.011012156530796,10.789412505668365,-19.963358853326703
27,278.48470904765003,3.37,-22.14508410685397,15.011912544226583,10.789412505668365,-17.492753381294413
28,278.103223144845,3.38,-21.75460616825592,15.012675594195379,10.789412505668365,-15.166522255028783
29,277.72173724204004,3.39,-21.364119357290917,15.013301291732375,10.789412505668365,-14.521597918309876
30,277.340251339235,3.4,-20.9736236383564,15.013789622041386,10.789412505668365,-19.397879623888826
