Time,Range,Angle,X,Y,Velocity
0,293.515253618167,3.06,-37.47303235989989,15.30855404157991,0.0
1,293.210064895923,3.02,-37.18871126274945,15.072439878432235,0.0
2,292.90487617367904,2.98,-36.9041915523722,14.836737901289794,0.0
3,292.599687451435,3.03,-36.56790981872041,15.051628686150544,0.0
4,292.37079590975196,2.99,-36.360252010183444,14.825117967283113,0.0
5,292.065607187508,2.99,-36.052694074383396,14.789862985303103,0.0
6,291.836715645825,3.06,-35.781778143233055,15.112593982260776,0.0
7,291.45522974301997,3.05,-35.403130123546305,15.018241325646201,0.0
8,291.150041020776,3.05,-35.09558126451964,14.982661048575046,0.0
9,290.84485229853203,3.13,-34.74174261702734,15.34468653284162,0.0
10,290.539663576288,3.09,-34.457409439811386,15.11009401699257,0.0
11,290.234474854044,3.11,-34.13829479548775,15.173480741628126,0.0
12,290.005583312361,3.09,-33.91918681917963,15.04744632007975,0.0
13,289.700394590117,3.07,-33.62312392751244,14.912644975273693,0.0
14,289.54780022899496,3.06,-33.47506659412704,14.845322907610743,0.0
15,289.16631432619005,3.13,-33.050277779856,15.14660751478678,0.0
16,288.784828423385,3.12,-32.671586665384496,15.052249841696892,0.0
17,288.479639701141,3.12,-32.363998245878065,15.016284114083902,0.0
18,288.250748159458,3.14,-32.12176795925444,15.087790165434988,0.0
19,288.02185661777503,3.13,-31.89684017441948,15.011534184705347,0.0
20,287.64037071497,3.12,-31.518080149742104,14.917372523467627,0.0
