Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.57789998e-06,3.38869205e-13,-0.870740175
1.77641004e-06,7.92427013e-10,-2.88095975
1.78913501e-06,1.92622394e-11,-0.151055887
1.80440497e-06,5.91982735e-13,2.53911781
1.93674509e-06,6.07403345e-15,0.907994628
1.93929009e-06,2.73328339e-11,-1.15332973
1.94183508e-06,5.08348822e-14,-2.53483319
1.94438007e-06,1.29941259e-21,2.22772264
1.94692507e-06,5.90875481e-19,1.12202728
1.94947006e-06,7.08181634e-20,-0.338600308
1.95201505e-06,1.12756958e-26,1.91485846
1.95710504e-06,2.53975972e-26,-2.95320988
1.95965004e-06,2.2184169e-37,-0.441052496
1.99018996e-06,1.66978186e-17,-2.95260859
1.99273495e-06,4.59468069e-20,2.26799488
2.00036993e-06,2.63469821e-19,2.11408806
2.00291493e-06,5.53315432e-16,-1.51315343
2.00545992e-06,8.22432984e-20,-1.00098956
2.00800491e-06,3.55576116e-28,-2.14677167
2.01054991e-06,8.44418643e-24,-0.520528197
2.0130949e-06,2.9218518e-25,2.93016744
2.04109006e-06,7.50379207e-27,-1.75234818
2.04363505e-06,1.03734827e-25,0.272644728
2.05381502e-06,4.93296623e-23,-1.77961576
2.05636002e-06,6.22001638e-25,-0.638207197
2.063995e-06,7.42983516e-25,-1.82301259
2.06653999e-06,7.05148501e-22,-0.961646616
2.06908499e-06,1.24691293e-22,-0.391629726
2.12253008e-06,2.17274161e-19,-0.235164389
2.12507507e-06,2.00236879e-21,1.65177572
2.12762006e-06,2.05548942e-28,1.82993042
2.13016506e-06,5.29764077e-25,-0.73596555
2.13271005e-06,1.64949737e-26,-3.07073832
2.17342995e-06,7.78132081e-24,-0.334526092
2.17597494e-06,1.38012749e-32,3.02233148
2.18360992e-06,3.62114864e-25,-0.804563999
2.18615492e-06,1.70800061e-23,-1.77792251
2.18869991e-06,4.90829794e-28,-0.0730792731
2.30577007e-06,3.93520913e-27,0.0240593031
2.30831506e-06,3.76528897e-42,2.21675825
