Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
6.79514983e-07,6.92653332e-14,2.1061821
6.82059976e-07,7.3991052e-13,2.06130409
6.84605027e-07,3.22798483e-13,2.63928246
6.8715002e-07,1.35906233e-14,3.00915074
6.89695014e-07,5.16499568e-16,0.254576325
6.92240008e-07,1.41939489e-18,-1.36116743
6.94785001e-07,1.04580941e-18,-2.82817698
6.97329995e-07,3.99801302e-23,-0.600270092
6.99874988e-07,2.99607793e-27,0.97688061
7.25324981e-07,4.60424602e-21,2.33542323
7.27869974e-07,7.89243153e-21,1.86533868
7.30415024e-07,6.36667044e-22,-0.00168284203
7.32960018e-07,2.16211802e-23,-0.15236932
7.35505012e-07,1.72695442e-28,1.82829094
7.38050005e-07,8.32261516e-37,-1.64986861
7.68589985e-07,9.68344335e-29,-2.21431446
7.71134978e-07,8.7723009e-26,2.18659806
7.73679972e-07,1.57206415e-28,-0.72341162
7.76225022e-07,5.22326401e-31,2.5294261
7.96585027e-07,5.79563296e-23,0.104632787
7.99130021e-07,7.74908846e-22,2.08410192
8.01675014e-07,5.60549514e-22,1.70679343
8.04220008e-07,5.46903776e-24,0.284258544
8.06765001e-07,2.19069986e-27,-2.49370599
8.09309995e-07,2.23820521e-36,-2.48378539
8.42395025e-07,1.31997075e-26,0.757569551
8.44940018e-07,1.07859367e-27,-1.64287782
8.47485012e-07,5.72375245e-30,-0.652511239
9.16200008e-07,1.03148022e-27,1.29175067
9.18745002e-07,5.33465081e-29,-1.76597333
