Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60335003e-06,2.39595433e-14,3.08110595
1.60589502e-06,1.61281971e-13,-1.64521074
1.79931499e-06,1.75019427e-16,-2.72021341
1.94947006e-06,1.13630148e-14,-2.27794313
1.95201505e-06,2.03029054e-14,0.524321258
1.95456005e-06,2.8315763e-15,2.88516903
1.95710504e-06,2.78209212e-18,-1.27981234
1.95965004e-06,2.28465557e-20,-0.996674657
1.96219503e-06,4.95636438e-19,-2.32912588
1.96474002e-06,8.40921071e-24,-0.0518989787
1.96728502e-06,3.57628113e-20,1.39473426
1.96983001e-06,6.24200063e-21,0.540727973
1.972375e-06,3.96412071e-24,-1.52380049
1.97492e-06,3.26749037e-27,-2.66565704
1.97746499e-06,1.84464366e-30,-1.84453094
1.98000998e-06,5.30307391e-41,-1.94611061
1.98255498e-06,3.90680983e-30,-2.05085278
1.98509997e-06,3.43355214e-27,1.86437809
1.98764496e-06,2.36914548e-30,2.1777463
1.99018996e-06,8.54546439e-36,-1.41324294
2.1021699e-06,6.83067716e-24,-1.84012854
2.10471489e-06,7.6093941e-24,-0.638512194
2.10725989e-06,1.2297968e-25,-0.572178781
2.10980511e-06,4.54306151e-27,0.0354920551
2.1123501e-06,7.87541131e-32,-0.236497402
2.11998508e-06,1.52520351e-28,2.44311166
2.12253008e-06,2.7120368e-32,2.37858462
2.25486997e-06,1.8502361e-31,0.795240998
2.25741496e-06,1.21167501e-31,-0.994642794
3.36703511e-06,1.68313335e-23,-2.00606608
3.3695801e-06,2.34212109e-23,-2.05898809
3.37212509e-06,4.76148777e-27,1.18430328
3.37467009e-06,1.31371744e-29,-2.54140091
3.37721508e-06,1.22630133e-33,-0.568595707
3.38485006e-06,6.06100891e-28,-0.101501316
3.38739505e-06,1.82511512e-35,0.244120866
3.51973495e-06,3.39242834e-28,-2.40955734
3.52227994e-06,3.41716007e-35,3.09080696
4.78205493e-06,3.48077725e-31,1.24604237
4.78460015e-06,2.98755886e-31,-3.08470392
4.78714492e-06,1.84424751e-39,-0.0806161612
4.78969014e-06,1.80662169e-37,-2.83644581
