Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60657203e-06,1.86973036e-13,-2.01126933
1.80130803e-06,1.75019427e-16,-2.72021341
1.85810597e-06,4.57337949e-15,1.88899386
1.86622003e-06,2.4336357e-13,-2.98417926
1.87433398e-06,9.63298288e-20,-2.89097047
1.88244803e-06,3.91467005e-20,1.01694083
1.89056198e-06,3.10939283e-29,-3.03122735
1.89867603e-06,1.77922647e-27,0.951898932
2.01227203e-06,1.94536712e-23,0.422805935
2.02038609e-06,2.98782251e-25,1.63394105
2.02849992e-06,2.38502903e-28,-2.79852796
2.03661398e-06,1.38422006e-31,2.74694681
2.16643798e-06,7.21911518e-30,1.46881282
3.36731e-06,6.17594596e-23,0.227144316
3.37542406e-06,2.74230761e-26,0.165035963
3.38353789e-06,4.05672106e-28,0.104284152
3.39165194e-06,3.84039916e-35,-2.20566177
3.52147595e-06,2.44094456e-28,-2.68767095
4.87651414e-06,3.75197672e-31,-0.753046334
