Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60349998e-06,2.39595433e-14,3.08110595
1.60499997e-06,1.61281971e-13,-1.64521074
1.79949996e-06,1.75019427e-16,-2.72021341
1.87650005e-06,3.69474247e-14,-2.23275113
1.87700005e-06,5.86570072e-13,2.25475836
1.87750004e-06,1.24340127e-13,2.79212499
1.87800003e-06,7.2558981e-16,-2.55993605
1.87850003e-06,1.23932914e-18,-0.400640428
1.87900002e-06,2.01438755e-16,0.700964093
1.87950002e-06,2.6648803e-17,-1.62520659
1.88000001e-06,1.47042868e-16,2.36066008
1.88050001e-06,4.72880177e-16,0.380896777
1.881e-06,2.08473999e-16,-1.72888196
1.8815e-06,3.86039997e-17,-1.88091409
1.88199999e-06,1.69011892e-17,2.74282527
1.88249999e-06,5.43122654e-18,-3.13029337
1.88299998e-06,5.50278329e-17,1.79271305
1.88349998e-06,7.13881062e-15,2.94024658
1.88399997e-06,3.00699045e-17,-1.47739553
1.88449997e-06,1.68198072e-16,2.18283367
1.88499996e-06,2.4668172e-17,-0.565982461
1.88549996e-06,7.56016981e-16,-1.6095562
1.88599995e-06,9.17310874e-17,-2.96009851
1.88649994e-06,1.02303019e-15,1.70261848
1.88700005e-06,2.24554043e-17,0.684142113
1.88750005e-06,9.16695901e-16,1.47869122
1.88800004e-06,6.73410378e-15,-2.47463083
1.88850004e-06,2.63668254e-16,-1.76004219
1.88900003e-06,2.90022096e-17,-1.35379112
1.88950003e-06,2.99900146e-15,2.02065229
1.89000002e-06,8.5175284e-18,-2.9449718
1.89050002e-06,4.29487659e-16,-1.21150637
1.89100001e-06,1.23166942e-14,0.313010722
1.89150001e-06,4.71938859e-16,2.19535685
1.892e-06,9.30707825e-17,-1.06418335
1.89249999e-06,2.29423956e-15,0.159015253
1.89299999e-06,2.38754491e-19,0.325512707
1.89349998e-06,3.38197059e-19,-1.27847016
1.89399998e-06,5.59374737e-19,1.58174229
1.89449997e-06,9.62033386e-18,-0.893301904
1.89499997e-06,3.80663456e-17,3.00547838
1.89549996e-06,1.07128823e-16,-0.226558089
1.89599996e-06,1.01054e-17,-0.441849977
1.89649995e-06,5.18374105e-16,-0.604602754
1.89699995e-06,2.78285197e-17,2.46224833
1.89750006e-06,1.72345211e-16,1.09713221
1.89800005e-06,7.61707422e-15,2.30861759
1.89850005e-06,2.09178042e-16,-2.02644658
1.89900004e-06,4.46291469e-17,-1.63987291
1.89950003e-06,4.95369379e-16,-0.181632593
1.90000003e-06,1.43217241e-17,2.03443146
1.90050002e-06,4.72512036e-19,0.189380214
1.90100002e-06,7.12980158e-15,0.585009217
1.90150001e-06,1.37683212e-17,1.35437608
1.90200001e-06,4.16948194e-19,-1.56198192
1.9025e-06,9.35979808e-20,1.80446267
1.903e-06,2.36612895e-19,-2.02157307
1.90349999e-06,9.51782641e-20,1.01844144
1.90399999e-06,1.34265156e-21,-0.10459803
1.90449998e-06,1.48166304e-20,-0.637421489
1.90499998e-06,1.10368706e-19,-1.36688995
1.90549997e-06,2.49484911e-20,-0.784047008
1.90599997e-06,4.67258657e-21,-2.80585551
1.90649996e-06,3.77463387e-20,-0.9095667
1.90699996e-06,1.09450561e-19,2.09505582
1.90750006e-06,2.34011929e-19,-0.351998538
1.90800006e-06,2.57367376e-20,-2.79550982
1.90850005e-06,3.34702086e-24,-1.54647624
1.90900005e-06,1.05196606e-20,-1.64264071
1.90950004e-06,1.36151594e-24,-2.84957767
1.91000004e-06,9.19656378e-23,-0.819786847
1.91050003e-06,4.71950425e-23,0.960963368
1.91100003e-06,1.62370738e-21,2.75631285
