Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
6.48975004e-07,7.00139409e-14,0.239738032
6.51519997e-07,4.93941707e-14,-2.55962682
6.54064991e-07,3.23905975e-14,-0.0746792406
6.56609984e-07,1.74617414e-13,1.70387471
6.59154978e-07,2.52664345e-13,0.396654218
6.61700028e-07,1.54271452e-13,2.88093352
6.64245022e-07,5.69558235e-14,-0.795587182
6.66790015e-07,1.77221153e-13,1.98335445
6.69335009e-07,4.23581255e-13,1.94981766
6.71880002e-07,2.0829771e-16,0.495860457
6.74424996e-07,2.66961177e-17,-2.28026485
6.76969989e-07,2.37759137e-17,-0.469518244
6.79514983e-07,9.63535856e-19,0.271912128
6.82059976e-07,1.58071746e-19,-2.3799665
6.84605027e-07,3.10034738e-19,-2.67947221
6.8715002e-07,1.94557048e-20,0.848192632
6.89695014e-07,8.82238013e-20,1.61350775
6.92240008e-07,6.1583011e-21,-1.771631
6.94785001e-07,1.06144378e-19,-2.21724582
6.97329995e-07,1.00758464e-21,1.12574959
6.99874988e-07,4.40020924e-20,0.970229089
7.02419982e-07,6.90029947e-21,-2.31666684
7.04964975e-07,5.57720621e-23,-0.3559452
7.07510026e-07,4.15261804e-26,1.27089393
7.10055019e-07,1.62538355e-25,0.66394484
7.12600013e-07,1.19635415e-25,0.942321301
7.15145006e-07,5.63876296e-26,-2.08958483
7.1769e-07,2.79702097e-26,0.187776849
7.20234993e-07,7.59001596e-27,-1.55531502
7.22779987e-07,9.22460508e-27,-0.242116183
7.25324981e-07,2.58345832e-28,1.96747315
7.27869974e-07,2.56795102e-27,-1.88156271
7.30415024e-07,1.2745495e-28,-2.29631972
7.32960018e-07,1.08522031e-27,-3.05000663
7.35505012e-07,3.10019639e-27,-2.59648824
7.38050005e-07,1.82463701e-29,0.714730263
7.40594999e-07,5.65352759e-33,-2.04908562
7.43139992e-07,2.37170174e-34,-1.05361903
7.45684986e-07,6.02255939e-39,2.13463569
7.66044991e-07,1.21541276e-22,2.81231403
7.68589985e-07,6.11060051e-23,-0.428728253
7.71134978e-07,3.78175929e-22,-3.13538933
7.73679972e-07,3.53404112e-21,-2.81267524
7.76225022e-07,6.22275545e-22,2.62520742
7.78770016e-07,7.7813477e-22,0.547463119
7.81315009e-07,1.06479995e-23,2.38142657
7.83860003e-07,1.46780004e-23,-0.082570225
7.86404996e-07,1.51710579e-21,-0.390936643
7.8894999e-07,5.07664834e-22,0.165328503
7.91494983e-07,7.83210258e-26,0.736741602
7.94039977e-07,7.02522976e-26,-1.30657053
7.96585027e-07,4.6702668e-31,-0.695708275
7.99130021e-07,5.50749857e-28,0.646315396
8.01675014e-07,9.91282845e-27,1.47844696
8.04220008e-07,6.05712479e-28,1.09836781
8.06765001e-07,9.12602656e-30,2.60278916
8.09309995e-07,6.36324545e-29,-1.53768384
8.11854989e-07,3.26376875e-29,-2.03061008
8.14399982e-07,7.59079769e-29,-0.222936884
8.16944976e-07,1.69937995e-29,1.90664792
8.19490026e-07,7.71377298e-30,2.28527141
8.2203502e-07,3.41699887e-28,-2.94660854
8.24580013e-07,1.67198254e-30,0.13896054
8.27125007e-07,1.99566913e-34,2.01134992
8.2967e-07,6.72247154e-38,2.48823619
8.83114978e-07,1.01105881e-28,-2.9972508
8.85659972e-07,4.18835446e-30,-0.0224797968
8.88205022e-07,1.09513812e-30,3.113796
8.90750016e-07,2.31384329e-28,-3.03387618
8.9329501e-07,2.55700384e-27,-0.91057986
8.95840003e-07,4.2293162e-30,1.80994034
8.98384997e-07,2.54576511e-30,-1.03729069
9.0092999e-07,5.0843857e-32,-1.40717983
9.03474984e-07,6.85012882e-30,-0.706886113
9.06019977e-07,1.18642212e-29,-1.8435086
9.08565028e-07,3.46229871e-31,-1.40221262
9.11110021e-07,1.93880624e-36,0.626268923
9.13655015e-07,2.85906926e-41,0.544888437
