Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60335003e-06,2.39595433e-14,3.08110595
1.60589502e-06,1.61281971e-13,-1.64521074
1.79931499e-06,1.75019427e-16,-2.72021341
1.92656489e-06,9.34841289e-13,-2.56611252
1.92911011e-06,4.84955907e-14,-2.02496386
1.93165511e-06,1.56327673e-16,-0.279462457
1.9342001e-06,4.4777842e-15,0.710927308
1.93674509e-06,4.55263438e-15,-1.46618998
1.93929009e-06,1.66979315e-14,1.63203967
1.94183508e-06,1.7425836e-14,-1.79213333
1.94438007e-06,2.47729906e-17,-0.74511826
1.94692507e-06,4.3056328e-15,2.49887395
1.94947006e-06,6.64148624e-15,-2.59052682
1.95201505e-06,5.45471896e-15,1.43453884
1.95456005e-06,1.19135835e-18,2.88783383
1.95710504e-06,1.07870672e-19,-1.3076216
1.95965004e-06,9.48959952e-20,1.25723958
1.96219503e-06,2.00254016e-18,1.29647231
1.96474002e-06,5.54800747e-25,1.16711926
1.96728502e-06,1.16695815e-22,2.60263777
1.96983001e-06,9.8567295e-29,-1.22459447
1.972375e-06,5.36039808e-29,-3.09384418
1.97492e-06,1.89695379e-26,0.0270960983
1.97746499e-06,3.31101904e-29,-1.38301539
1.98000998e-06,3.18109392e-37,-1.18826497
2.07926496e-06,6.67759002e-24,1.06575418
2.08180995e-06,1.28387211e-24,0.837126672
2.08435495e-06,2.21260767e-25,-0.403319359
2.08689994e-06,4.63037922e-24,-1.56901515
2.08944493e-06,1.56808755e-24,2.2125349
2.09198993e-06,3.5635258e-25,-0.604797661
2.09453492e-06,3.49269152e-24,1.31520677
2.09707991e-06,2.78530454e-26,-0.810874045
2.09962491e-06,1.97543235e-24,-2.09456801
2.1021699e-06,3.75444751e-27,-2.62928367
2.10471489e-06,1.68168887e-25,-1.45889151
2.10725989e-06,1.26470523e-29,-0.772390246
2.10980511e-06,1.03194975e-30,0.924455404
2.1123501e-06,3.38026886e-30,-1.58689559
2.1148951e-06,9.78283826e-31,2.88157415
2.11744009e-06,2.33098047e-35,2.1046958
2.11998508e-06,1.00029368e-35,2.4317832
2.23196503e-06,3.13316735e-28,-3.14026546
2.23451002e-06,1.81924678e-31,-2.35083508
2.23705501e-06,3.76909113e-33,1.3980161
2.23960001e-06,1.19912026e-31,2.79012513
2.242145e-06,9.30787648e-31,-2.25384188
2.24468999e-06,1.56288568e-31,0.753231525
2.24723499e-06,5.19591864e-35,-2.70837736
2.24977998e-06,1.94794872e-32,2.90666389
2.25232498e-06,5.09820834e-32,3.13238215
2.25486997e-06,4.22368124e-33,-2.71912122
2.25741496e-06,6.26455613e-37,1.42325783
2.25995996e-06,7.14662217e-43,-1.41244972
3.36449011e-06,8.66973251e-21,-3.04602623
3.36703511e-06,1.71801473e-23,2.63068914
3.3695801e-06,3.61075542e-27,-0.03209823
3.37212509e-06,1.02856455e-29,3.11765599
3.37467009e-06,8.67865501e-29,-1.64444339
3.37721508e-06,6.16642593e-27,1.70423448
3.37976007e-06,2.55355199e-29,2.23679948
3.38230507e-06,4.66399241e-34,2.86491704
3.38485006e-06,2.18197574e-37,0.253060341
3.51718995e-06,7.33396665e-27,-2.25339794
3.51973495e-06,2.89019109e-37,0.896752536
3.52227994e-06,4.75971553e-35,-2.3551054
4.77187496e-06,2.02568578e-30,1.8382802
4.77442018e-06,5.80675477e-30,2.74092793
4.77696494e-06,1.05120522e-32,0.911041975
4.77951016e-06,3.10568105e-32,-0.660225332
4.78205493e-06,5.15152171e-32,-2.45724845
4.78460015e-06,1.3213394e-33,1.94634426
4.78714492e-06,3.29363378e-33,2.25899458
4.78969014e-06,1.50304602e-35,1.20240963
4.7922349e-06,2.79685694e-32,2.80476546
4.79478012e-06,1.14313123e-32,1.96916723
4.79732489e-06,5.54488606e-35,1.20267677
4.79987011e-06,1.18247282e-38,-2.78732276
4.80241488e-06,1.86372696e-43,-2.32194948
