time,range,angle,x,y,velocity
0,293.66784797928904,2.79,-37.78062154257134,13.970592758942132,0.0
1,293.362659257045,2.83,-37.4506157811507,14.137102131373588,0.0
2,292.98117335424,2.83,-37.066082926457455,14.094111193293443,0.0
3,292.599687451435,2.77,-36.71494231949214,13.750888923110804,0.0
4,292.370795909752,2.96,-36.37739994733107,14.675175597205488,0.0
7,291.45522974302,2.82,-35.53337395592433,13.872296777966802,0.0
8,291.607824104142,3.08,-35.539564270361154,15.185543765991468,0.0
9,290.921149479093,3.19,-34.78353650382081,15.651932345910367,0.0
10,290.69225793741,2.75,-34.80275521457236,13.438502619210071,0.0
11,290.234474854044,3.03,-34.184336726428114,14.776716631822552,0.0
12,289.9292861318,3.07,-33.85381081725507,14.93941470969242,0.0
13,289.62409740955604,3.16,-33.49419227054261,15.349074187638614,0.0
14,289.318908687312,3.15,-33.192465339796115,15.263470937134135,0.0
15,289.013719965068,3.11,-32.90804075954247,15.02984713321883,0.0
16,288.708531242824,3.1,-32.606207521340366,14.944612348512592,0.0
17,288.40334252058,3.1,-32.298604152195765,14.90875371029496,0.0
18,288.17445097889697,3.13,-32.05063971185979,15.029544882110336,0.0
19,287.869262256653,3.14,-31.7372754610314,15.0426961367345,0.0
20,287.56407353440903,3.14,-31.429670518737964,15.006619630273905,0.0
