time,x,y,range,angle,velocity
0,-38.071,12.731,293.82,2.54,0.0
1,-37.396,15.3,293.439,3.06,0.0
2,-37.126,14.253,293.057,2.86,0.0
3,-36.819,14.218,292.752,2.86,0.0
4,-36.61,13.992,292.523,2.82,0.0
11,-34.215,15.182,290.311,3.11,0.0
12,-33.913,15.097,290.006,3.1,0.0
13,-33.617,14.962,289.7,3.08,0.0
14,-33.369,15.084,289.472,3.11,0.0
15,-32.973,15.138,289.09,3.13,0.0
16,-32.666,15.102,288.785,3.13,0.0
17,-32.364,15.016,288.48,3.12,0.0
18,-32.11,15.186,288.251,3.16,0.0
19,-31.803,15.15,287.946,3.16,0.0
20,-31.512,14.967,287.64,3.13,0.0
